County,Claim Month_Yr,ProgramCode,Year,Sponsor Name,Meals Type,SiteQty,DaysServedQty,Meals Served,Avg Daily Meals
SAN DIEGO,Aug 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,2,23,1012,44
SAN DIEGO,Aug 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,2,23,1388,60.3478
SAN DIEGO,Aug 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,2,23,973,42.3043
SAN DIEGO,Aug 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,2,23,208,9.0435
SAN DIEGO,Aug 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,2,23,266,11.5652
SAN DIEGO,Aug 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_SNACK_PM,2,23,356,15.4783
SAN DIEGO,Sep 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,2,21,1003,47.7619
SAN DIEGO,Sep 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,2,21,1381,65.7619
SAN DIEGO,Sep 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,2,21,946,45.0476
SAN DIEGO,Sep 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_SNACK_PM,2,21,287,13.6667
SAN DIEGO,Aug 2016,CACF,2016,All Kids Academy Head Start Inc.,HS_CHILD_BREAKFAST,5,19,1515,79.7368
SAN DIEGO,Aug 2016,CACF,2016,All Kids Academy Head Start Inc.,HS_CHILD_LUNCH,5,19,1910,100.5263
SAN DIEGO,Aug 2016,CACF,2016,All Kids Academy Head Start Inc.,HS_CHILD_SNACK_PM,5,19,1207,63.5263
SAN DIEGO,Sep 2016,CACF,2016,All Kids Academy Head Start Inc.,HS_CHILD_BREAKFAST,12,21,7392,352
SAN DIEGO,Sep 2016,CACF,2016,All Kids Academy Head Start Inc.,HS_CHILD_LUNCH,12,21,10725,510.7143
SAN DIEGO,Sep 2016,CACF,2016,All Kids Academy Head Start Inc.,HS_CHILD_SNACK_PM,12,21,7108,338.4762
SAN DIEGO,Aug 2016,CACF,2016,AMERICARE ADHC INC ,ADULT_BREAKFAST,1,23,2678,116.4348
