County,Claim Month/ Year,ProgramCode,Year,Name,Meal Group,Days Served,Free Eligible,Reduced Eligible,Paid Eligible,Enroll,Free Meals,Reduced Meals,Paid Meals,Total Meals,Average Daily Meals
SAN DIEGO,Oct 2015,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,22,77,4,4,85,987,51,51,1089,49.5
SAN DIEGO,Oct 2015,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,22,77,4,4,85,1251,65,65,1381,62.7727
SAN DIEGO,Oct 2015,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,22,77,4,4,85,699,36,37,772,35.0909
SAN DIEGO,Oct 2015,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,22,19,2,3,24,36,4,5,45,2.0455
SAN DIEGO,Oct 2015,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,22,19,2,3,24,36,4,5,45,2.0455
SAN DIEGO,Oct 2015,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_SNACK_PM,22,19,2,3,24,291,31,45,367,16.6818
SAN DIEGO,Nov 2015,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,19,77,4,4,85,780,41,40,861,45.3158
SAN DIEGO,Nov 2015,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,19,77,4,4,85,1054,55,55,1164,61.2632
SAN DIEGO,Nov 2015,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,19,77,4,4,85,706,37,36,779,41
SAN DIEGO,Nov 2015,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,19,19,2,3,24,52,5,9,66,3.4737
SAN DIEGO,Nov 2015,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,19,19,2,3,24,56,6,9,71,3.7368
SAN DIEGO,Nov 2015,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_SNACK_PM,19,19,2,3,24,248,26,39,313,16.4737
SAN DIEGO,Dec 2015,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,21,77,4,4,85,795,41,42,878,41.8095
SAN DIEGO,Dec 2015,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,21,77,4,4,85,1175,61,61,1297,61.7619
SAN DIEGO,Dec 2015,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,21,77,4,4,85,793,41,41,875,41.6667
SAN DIEGO,Dec 2015,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,21,19,2,3,24,81,8,13,102,4.8571
SAN DIEGO,Dec 2015,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,21,19,2,3,24,86,9,13,108,5.1429
SAN DIEGO,Dec 2015,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_SNACK_PM,21,19,2,3,24,257,27,41,325,15.4762
SAN DIEGO,Jan 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,21,98,4,4,106,863,35,35,933,44.4286
SAN DIEGO,Jan 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,21,98,4,4,106,1228,50,50,1328,63.2381
SAN DIEGO,Jan 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,21,98,4,4,106,763,31,31,825,39.2857
SAN DIEGO,Jan 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,21,28,2,3,33,42,3,5,50,2.381
SAN DIEGO,Jan 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,21,28,2,3,33,41,3,4,48,2.2857
SAN DIEGO,Jan 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_SNACK_PM,21,28,2,3,33,296,21,32,349,16.619
SAN DIEGO,Feb 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,21,98,4,4,106,1172,48,48,1268,60.381
SAN DIEGO,Feb 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,21,98,4,4,106,1531,62,63,1656,78.8571
SAN DIEGO,Feb 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,21,98,4,4,106,1080,44,44,1168,55.619
SAN DIEGO,Feb 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,21,28,2,3,33,68,5,7,80,3.8095
SAN DIEGO,Feb 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,21,28,2,3,33,46,3,5,54,2.5714
SAN DIEGO,Feb 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_SNACK_PM,21,28,2,3,33,372,27,39,438,20.8571
SAN DIEGO,Mar 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,23,121,6,4,131,1085,54,36,1175,51.087
SAN DIEGO,Mar 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,23,121,6,4,131,2330,116,77,2523,109.6957
SAN DIEGO,Mar 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,23,121,6,4,131,975,48,32,1055,45.8696
SAN DIEGO,Mar 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,23,36,1,2,39,190,5,11,206,8.9565
SAN DIEGO,Mar 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,23,36,1,2,39,223,6,13,242,10.5217
SAN DIEGO,Mar 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_SNACK_PM,23,36,1,2,39,422,12,23,457,19.8696
SAN DIEGO,Apr 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,21,121,6,4,131,1085,54,36,1175,55.9524
SAN DIEGO,Apr 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,21,121,6,4,131,1386,69,46,1501,71.4762
SAN DIEGO,Apr 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,21,121,6,4,131,969,48,32,1049,49.9524
SAN DIEGO,Apr 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,21,36,1,2,39,27,1,1,29,1.381
SAN DIEGO,Apr 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,21,36,1,2,39,42,1,2,45,2.1429
SAN DIEGO,Apr 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_SNACK_PM,21,36,1,2,39,428,12,24,464,22.0952
SAN DIEGO,May 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,21,121,6,4,131,1272,63,42,1377,65.5714
SAN DIEGO,May 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,21,121,6,4,131,1409,70,46,1525,72.619
SAN DIEGO,May 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,21,121,6,4,131,999,50,33,1082,51.5238
SAN DIEGO,May 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_SNACK_PM,21,36,1,2,39,443,12,25,480,22.8571
SAN DIEGO,Jun 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,22,121,6,4,131,975,48,33,1056,48
SAN DIEGO,Jun 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,22,121,6,4,131,1297,64,43,1404,63.8182
SAN DIEGO,Jun 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,22,121,6,4,131,950,47,32,1029,46.7727
SAN DIEGO,Jun 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,22,36,1,2,39,249,7,14,270,12.2727
SAN DIEGO,Jun 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,22,36,1,2,39,337,9,19,365,16.5909
SAN DIEGO,Jun 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_SNACK_PM,22,36,1,2,39,414,11,23,448,20.3636
SAN DIEGO,Jul 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,20,121,6,4,131,681,34,22,737,36.85
SAN DIEGO,Jul 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,20,121,6,4,131,1015,50,34,1099,54.95
SAN DIEGO,Jul 2016,CACF,2016,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,20,121,6,4,131,804,40,26,870,43.5
SAN DIEGO,Jul 2016,CACF,2016,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,20,36,1,2,39,240,7,13,260,13
