sitename1,sitename2,sitename3,sponsorname1,sponsorname2,sponsorname3
37 ECB,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
A.B & JESSIE POLINSKY CHILDREN'S CENTER,,,,SAN DIEGO COUNTY DEPT. OF SOCIAL SERVICES,
ABRAXAS CONTINUATION HIGH,,,POWAY UNIFIED,POWAY UNIFIED,
ADA W. HARRIS ELEMENTARY,,,CARDIFF ELEMENTARY,CARDIFF ELEMENTARY,
ADAMS ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
ADOBE BLUFFS ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
ALAMOSA PARK ELEMENTARY,,,VISTA UNIFIED,VISTA UNIFIED,
ALBA,ALBA-ANNEX,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,,SAN DIEGO UNIFIED,ALBERT EINSTEIN ACADEMIES,
ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,,,SAN DIEGO UNIFIED,ALBERT EINSTEIN ACADEMIES,
ALBERT EINSTEIN ACADEMY ELEMENTARY,,,,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS SCIENCES (AEALAS)",
"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS & SCIENCES - AGUA DULC",,,,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS SCIENCES (AEALAS)",
"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS & SCIENCES - ODYSSEY",,,,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS SCIENCES (AEALAS)",
"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS AND SCIENCES",,,,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS SCIENCES (AEALAS)",
ALCOTT ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
ALL TRIBES CHARTER,,,WARNER UNIFIED,,
ALL TRIBES ELEMENTARY CHARTER,,,WARNER UNIFIED,,
ALLEN (ELLA B.) ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
ALPINE ELEMENTARY,,,ALPINE UNION ELEMENTARY,ALPINE UNION ELEMENTARY,
ALTA VISTA ACADEMY,,,SWEETWATER UNION HIGH,,
ALTA VISTA HIGH (CONTINUATION),,,VISTA UNIFIED,VISTA UNIFIED,
ALVIN M. DUNN ELEMENTARY,,,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,
