"Sponsor Name","Site Name","Site Address","City","State","Zip Code","Contact Name","Telephone","ProgramTypes"
"A PLACE OF OUR OWN CHILD","A PLACE OF OUR OWN CDC 2","1851 E WASHINGTON AVE","ESCONDIDO","CA",92027,"MRS. ERICA GONZALEZ","760-745-0115","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC), SCHOOL AGE CENTER (SAC)"
"A PLACE OF OUR OWN CHILD","A PLACE OF OUR OWN CHILD DEVELOPMENT CENTER","2355 E VALLEY PARKWAY","ESCONDIDO","CA",92027,"MRS. FELICIA PEOPLES","760-737-8660","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC), SCHOOL AGE CENTER (SAC)"
"ALL KIDS ACADEMY HEAD START INC.","AKA HEAD START - DARNALL","6020 HUGHES STREET","SAN DIEGO","CA",92115,"MS. CLARISE FERNANDEZ","619-955-8730","HEAD START CENTER (HSC)"
"ALL KIDS ACADEMY HEAD START INC.","AKA HEAD START - GRANADA","3920 NORTH GRANADA","SPRING VALLLEY","CA",91977,"MRS. VALERIE YORK","619-670-6101","HEAD START CENTER (HSC)"
"ALL KIDS ACADEMY HEAD START INC.","AKA HEAD START - ROLANDO PARK","6620 MARLOWE DRIVE","SAN DIEGO","CA",92115,"MS. MELISSA MILLER","619-795-4650","HEAD START CENTER (HSC)"
"ALL KIDS ACADEMY HEAD START INC.","AKA HEAD START - SAN MARTIN DE PORRES","9119 JAMACHA RD., STE. 100A","SPRING VALLEY","CA",91977,"MS. LESLIE STOPANI","619-461-8200","HEAD START CENTER (HSC)"
"ALL KIDS ACADEMY HEAD START INC.","BANCROFT HEAD START","3845 SPRING DRIVE","SPRING VALLEY","CA",91977,"MS. DEBORAH RICHARDSON","619-713-2262","HEAD START CENTER (HSC)"
"ALL KIDS ACADEMY HEAD START INC.","CASA DE ORO HEAD START","10235 RAMONA DR","SPRING VALLEY","CA",91977,"DEBORAH DURHAM","619-660-9722","HEAD START CENTER (HSC)"
"ALL KIDS ACADEMY HEAD START INC.","FARRAGUT CIRCLE HEAD START","490 FARRAGUT CIRCLE","EL CAJON","CA",92020,"MS. ADONICA GOETTSCH","619-593-8010","HEAD START CENTER (HSC)"
"ALL KIDS ACADEMY HEAD START INC.","GRAND AVE HEAD START","905 GRAND AVE","SPRING VALLEY","CA",91977,"MS. BETTY SMITH","619-460-6710","HEAD START CENTER (HSC)"
"ALL KIDS ACADEMY HEAD START INC.","LA MESA HEAD START","7520 EL CAJON BLVD ST. 201/203","LA MESA","CA",91940,"MS. TINA CRUZ","619-463-1093","HEAD START CENTER (HSC)"
"ALL KIDS ACADEMY HEAD START INC.","REDWOOD HEAD START","1145 REDWOOD","EL CAJON","CA",92019,"MS. HORTENSIA MURILLO","619-579-0366","HEAD START CENTER (HSC)"
"ALL KIDS ACADEMY HEAD START INC.","REDWOOD HEAD START","533 S. FIRST STREET","EL CAJON","CA",92019,"MS. HORTENSIA MURILLO","619-579-0366","HEAD START CENTER (HSC)"
"ALL KIDS ACADEMY HEAD START INC.","SAN MIGUEL HEAD START","7059 SAN MIGUEL AVE","LEMON GROVE","CA",91945,"MS. GLORIA SANCHEZ","619-460-6611","HEAD START CENTER (HSC)"
"ALL KIDS ACADEMY HEAD START INC.","VISTA LA MESA HEAD START","3900 VIOLET STREET","LA MESA","CA",91941,"MS. DANIELLE ANGELETTA","619-825-5600","HEAD START CENTER (HSC)"
"AMERICARE ADHC INC","AMERICARE ADHCC","340 RANCHEROS DR #196","SAN MARCOS","CA",92069,"MRS. IRENE NASHTUT","760-682-2424","ADULT DAY HEALTH (ADH)"
"ASSOC STUDENTS CSU SAN DIEGO CHILDRENS CENTER","ASSOC STUDENTS CHILD CARE CTR","5500CAMPANILE DR","SAN DIEGO","CA",92182,"MRS. ROBIN JUDD","619-594-7298","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC)"
"ATC PACIFIC LLC","ATC PACIFIC LLC","2403 ALPINE BLVD","ALPINE","CA",91901,"MRS. BRITTANY SILVA","619-445-5462","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC), SCHOOL AGE CENTER (SAC)"
"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","BAKER BRANCH","835 W. 15TH AVE.","ESCONDIDO","CA",92025,"MR. CHRIS ALTO","760-745-0515","AT RISK SITE (ATR)"
"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","BRONNER BRANCH","28751 COLE GRADE RD.","VALLEY CENTER","CA",92082,"MR. JONATHAN KERSTETTER","760-749-9822","AT RISK SITE (ATR)"
"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","CLAIREMONT BRANCH","4635 CLAIREMONT MESA BLVD.","SAN DIEGO","CA",92117,"MRS. RUTH CASSIDY","858-273-1645","AT RISK SITE (ATR)"
"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","DEL DIOS X-TRACK","1400 W. 9TH.","ESCONDIDO","CA",92025,"MS. JENNIFER COOPER","760-877-1788","AT RISK SITE (ATR)"
"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","ENCANTO BRANCH","6785 IMPERIAL AVE.","SAN DIEGO","CA",92114,"MS. JESSICA BARAJAS","619-263-6407","AT RISK SITE (ATR)"
"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","HIDDEN VALLEY MIDDLE","2700 REED RD.","ESCONDIDO","CA",92027,"MR. CHRIS DOTSON","760-208-7559","AT RISK SITE (ATR)"
"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","MISSION MIDDLE SCHOOL X-TRACK","939 E. MISSION AVE.","ESCONDIDO","CA",92025,"MR. DAVID LUEVANOS","760-215-0277","AT RISK SITE (ATR)"
"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","MITCHELL BRANCH","115 W WOODWARD AVE","ESCONDIDO","CA",92025,"MR. ANDREW AGUIRRE","760-746-3315","AT RISK SITE (ATR), PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC), SCHOOL AGE CENTER (SAC)"
"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","PAYNE FAMILY BRANCH (FORMERLY NATIONAL CITY BRANCH)","1430 D. AVE.","NATIONAL CITY","CA",91950,"MS. CONNIE ALVAREZ","619-477-5445","AT RISK SITE (ATR)"
"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","RAMONA BRANCH","622 E. ST.","RAMONA","CA",92065,"MRS. SIMONE MCCUNE","760-789-8203","AT RISK SITE (ATR)"
"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","RINCON X-TRACK","925 LEHNER AVE.","ESCONDIDO","CA",92026,"MR. ROY CORNETT","760-532-8866","AT RISK SITE (ATR)"
"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","RON ROBERTS BRANCH (FORMERLY LINDA VISTA BRANCH)","2230 E. JEWETT ST.","SAN DIEGO","CA",92111,"MR. HUY NGUYEN","858-277-6670","AT RISK SITE (ATR)"
"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","SULPIZIO FAMILY BRANCH","12988  BOWRON RD.","POWAY","CA",92064,"MISS JAMILAH BARNES","858-748-9933","AT RISK SITE (ATR)"
"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","WILLIAM J OAKES BRANCH","2930 MARCY AVE.","SAN DIEGO","CA",92113,"MR. RICARDO SANDOVAL","619-525-1739","AT RISK SITE (ATR)"
"BOYS & GIRLS CLUB OF IMPERIAL BEACH","BOYS&GIRLS CLUB-ENCINA","847 ENCINA AVE","IMPERIAL BEACH","CA",91932,"MR. AARON RUIZ","619-424-2266","AT RISK SITE (ATR)"
"BOYS & GIRLS CLUBS OF OCEANSIDE, CALIFORNIA, INCORPORATED","BOYS & GIRLS CLUBS OF OCEANSIDE","401 COUNTRY CLUB LANE","OCEANSIDE","CA",92054,"MISS HILLARY ADAMS","760-433-8920","AT RISK SITE (ATR)"
"BOYS CLUB OF FALLBROOK","INGOLD UNIT","445 E. IVY STREET","FALLBROOK","CA",92028,"MRS. LISA WARE","760-728-5871","AT RISK SITE (ATR)"
"BUILDING BETTER COMMUNITIES","MT ERIE BAPTIST CHURCH","530 S. 47TH STREET","SAN DIEGO","CA",92113,"MRS. KAILYN WELLS","619-263-1914","PRESCHOOL AGE CENTER (CCC)"
"BUILDING BETTER COMMUNITIES","MT ERIE CHRISTIAN ACADEMY-INFANT CENTER","535 47TH STREET","SAN DIEGO","CA",92113,"MRS. KAILYN WELLS","619-335-1611","INFANT/TODDLER (ITC)"
"BUILDING BETTER COMMUNITIES","MT ERIE TROLLEY CARE","280 47TH STREET","SAN DIEGO","CA",92102,"MRS. KAILYN WELLS","619-335-1611","PRESCHOOL AGE CENTER (CCC)"
"CA RELIABLE MEDICAL SYSTEMS INC","ELM ADHC CENTER","1220 ELM AVENUE","IMPERIAL BEACH","CA","91932-2311","MRS. MARLENA YOUNG","619-827-0573","ADULT DAY HEALTH (ADH)"
"CA RELIABLE MEDICAL SYSTEMS INC","GOLDEN LIFE ADHC CENTER","7373 UNIVERSITY AVE. #101","LA MESA","CA",91942,"MRS. JENNIFER SMITH","619-433-3398","ADULT DAY HEALTH (ADH)"
"CASA DE AMPARO","CASA DE AMPARO 2","103 RANCHO DEL ORO DR","OCEANSIDE","CA",92057,"MS. MELISSA GREENWAY","760-439-4149","PRESCHOOL AGE CENTER (CCC), HEAD START CENTER (HSC)"
"CENTRO DE SALUD DE LA","SAN YSIDRO ADULT DAY HEALTH CARE CENTER","3364 BEYER BLVD.","SAN YSIDRO","CA",92173,"MS. SHERI MCFADDEN","619-205-1373","ADULT DAY HEALTH (ADH)"
"CHICANO FEDERATION OF SAN DIEGO COUNTY INC","BARRIO CHILD DEVELOPMENT CTR","2138 LOGAN AVE","SAN DIEGO","CA",92113,"WENDY SANTACRUZ","619-233-3460","STATE PRE SCHOOL CENTER (SPS)"
"CHILD DEVELOPMENT ASSOC INC","CDA FINNEY CHILD DEVLOPMENT CT","3950 BYRD STREET","SAN DIEGO","CA",92154,"ARMIDA CARBAJAL","619-690-0147","PRESCHOOL AGE CENTER (CCC)"
"CHILD DEVELOPMENT ASSOC INC","CDA HILLTOP CHILD DEVELOPMENT CENTER","690 CORTE MARIA AVENUE","CHULA VISTA","CA",91910,"SUSAN HOLLEY","619-691-6850","PRESCHOOL AGE CENTER (CCC)"
"CHILD DEVELOPMENT ASSOC INC","CDA/CHILD DEV CTR THE PARKS","2200 E AVENUE","NATIONAL CITY","CA",91950,"MARIA SIFUENTES","619-477-9602","PRESCHOOL AGE CENTER (CCC)"
"CHILDREN OF THE RAINBOW INC","CHILDREN OF THE RAINBOW, INC","4890 LOGAN AVENUE","SAN DIEGO","CA",92113,"YANIRA MOLINA","619-615-0652","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC)"
"CHILDRENS PARADISE INC","CHILDRENS PARADISE VALE TERRACE","990 VALE TERRACE DR","VISTA","CA","92084-5212","KELLEY HILLS","760-941-7578","PRESCHOOL AGE CENTER (CCC), HEAD START CENTER (HSC), INFANT/TODDLER (ITC), SCHOOL AGE CENTER (SAC)"
"CHILDRENS PARADISE INC","CP/SHADOWRIDGE","145 NORTH MELROSE","VISTA","CA",92083,"LONA PICKLE","760-724-5600","PRESCHOOL AGE CENTER (CCC), HEAD START CENTER (HSC), INFANT/TODDLER (ITC), SCHOOL AGE CENTER (SAC)"
"CHILDRENS PARADISE INC","EL NORTE PARKWAY CENTER - ESCONDIDO","986 W. EL NORTE PARKWAY","ESCONDIDO","CA",92026,"MS. BRITTNEY SMITH","760-480-1300","PRESCHOOL AGE CENTER (CCC), HEAD START CENTER (HSC), INFANT/TODDLER (ITC), SCHOOL AGE CENTER (SAC)"
"CHILDTIME CHILD CARE INC CHILDREN'S CENTERS","C/TIME CHILDRENS C/INC SCH AGE","5565 LAKE PARK WAY","LA MESA","CA",91942,"DEANNE ROMERO","619-460-0310","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC), SCHOOL AGE CENTER (SAC)"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT","FEASTER (MAE L.) CHARTER","670 FLOWER STREET","CHULA VISTA","CA",91910,"RITA PALET","619-425-9600","STATE PRE SCHOOL CENTER (SPS)"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT","FINNEY (MYRTLE S.) ELEMENTARY","3950 BYRD STREET","CHULA VISTA","CA",92154,"RITA PALET","619-425-9600","STATE PRE SCHOOL CENTER (SPS)"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT","HARBORSIDE ELEMENTARY","681 NAPLES STREET","CHULA VISTA","CA",91911,"RITA PALET","619-425-9600","STATE PRE SCHOOL CENTER (SPS)"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT","JUAREZ-LINCOLN ELEMENTARY","849 TWINING AVENUE","SAN DIEGO","CA",92154,"RITA PALET","619-425-9600","STATE PRE SCHOOL CENTER (SPS)"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT","KELLOGG (KARL H.) ELEMENTARY","229 E. NAPLES ST.","CHULA VISTA","CA",91911,"RITA PALET","619-425-9600","STATE PRE SCHOOL CENTER (SPS)"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT","LAUDERBACH (J. CALVIN) ELEMENTARY","390 PALOMAR STREET","CHULA VISTA","CA",91911,"RITA PALET","619-425-9600","STATE PRE SCHOOL CENTER (SPS)"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT","LOMA VERDE ELEMENTARY","1450 LOMA LANE","CHULA VISTA","CA",91911,"RITA PALET","619-425-9600","STATE PRE SCHOOL CENTER (SPS)"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT","MONTGOMERY (JOHN J.) ELEMENTARY","1601 FOURTH AVENUE","CHULA VISTA","CA",91911,"RITA PALET","619-425-9600","STATE PRE SCHOOL CENTER (SPS)"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT","MUELLER CHARTER (ROBERT L.)","715 I STREET","CHULA VISTA","CA",91910,"RITA PALET","619-425-9600","STATE PRE SCHOOL CENTER (SPS)"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT","OTAY ELEMENTARY","1651 ALBANY AVENUE","CHULA VISTA","CA",91911,"RITA PALET","619-425-9600","STATE PRE SCHOOL CENTER (SPS)"
