Sponsor Name,Site Name,Site Street Address,Site City,Site State,Site Zip,Site Contact,Site Phone,Meal Types,Start Date,End Date,Site Program,Site Type
BELLA MENTE CHARTER SCHOOL,BELLA MENTE MONTESSORI ACADEMY,1737 WEST VISTA WAY,VISTA,CA,92083-2112,GLADYS ESPINO,760-621-8948 #304 #304,"B, L",6/15/2016,8/23/2016,SSFO,OPEN
BOYS & GIRLS CLUB OF GREATER SAN DIEGO,BAKER BRANCH,835 W 15TH AVE,ESCONDIDO,CA,92025,CHRIS ALTO,760-745-0515,"L, PM",6/10/2016,8/23/2016,SFSP,OPEN
BOYS & GIRLS CLUB OF GREATER SAN DIEGO,BRONNER BRANCH,28751 COLE GRADE RD.,VALLEY CENTER,CA,92082,JONATHAN KERSTETTER,760-749-9822,"L, PM",6/10/2016,8/24/2016,SFSP,OPEN
BOYS & GIRLS CLUB OF GREATER SAN DIEGO,CLAIREMONT BRANCH,4635 CLAIREMONT MESA BLVD,SAN DIEGO,CA,92117,RUTH CASSIDY,858-273-1645,"L, PM",6/22/2016,8/26/2016,SFSP,OPEN
BOYS & GIRLS CLUB OF GREATER SAN DIEGO,ENCANTO BRANCH,6785 IMPERIAL AVE,SAN DIEGO,CA,92114,JESSICA BARAJAS,619-263-6407,"L, PM",6/22/2016,8/26/2016,SFSP,OPEN
BOYS & GIRLS CLUB OF GREATER SAN DIEGO,MITCHELL BRANCH,115 W WOODWARD AVE,ESCONDIDO,CA,92025,ANDREW AGUIRRE,760-746-3315 #215 #215,"L, PM",6/10/2016,8/23/2016,SFSP,OPEN
BOYS & GIRLS CLUB OF GREATER SAN DIEGO,PAYNE FAMILY BRANCH (FORMERLY NATIONAL CITY BRANCH),1430 D AVE,NATIONAL CITY,CA,91950,CONNIE ALVAREZ,619-477-5445,"L, PM",6/9/2016,7/29/2016,SFSP,OPEN
BOYS & GIRLS CLUB OF GREATER SAN DIEGO,RAMONA BRANCH,622 E ST,RAMONA,CA,92065,SIMONE MCCUNE,760-789-8203,PM,6/9/2016,8/19/2016,SFSP,OPEN
BOYS & GIRLS CLUB OF GREATER SAN DIEGO,RON ROBERTS BRANCH (FORMERLY LINDA VISTA BRANCH),2230 E JEWETT ST,SAN DIEGO,CA,92111,HUY NGUYEN,858-277-6670,"L, PM",6/22/2016,8/26/2016,SFSP,OPEN
BOYS & GIRLS CLUB OF GREATER SAN DIEGO,SULPIZIO FAMILY BRANCH,12988 BOWRON RD,POWAY,CA,92064,JAMILAH BARNES,858-748-9933,"L, PM",6/10/2016,8/15/2016,SFSP,OPEN
BOYS & GIRLS CLUB OF GREATER SAN DIEGO,WILLIAM J OAKES BRANCH,2930 MARCY AVE,SAN DIEGO,CA,92113,RICARDO SANDOVAL,619-525-1739,"L, PM",6/22/2016,8/26/2016,SFSP,OPEN
CAJON VALLEY UNION SCHOOL DISTRICT,CAJON VALLEY MIDDLE,550 PARK AVE.,EL CAJON,CA,92020-3922,MARK MENDOZA,619-588-3111,"B, L",6/20/2016,7/29/2016,SSFO,OPEN
CAJON VALLEY UNION SCHOOL DISTRICT,CHASE AVENUE ELEMENTARY,195 EAST CHASE AVE.,EL CAJON,CA,92020-6201,MARK MENDOZA,619-588-3111,"L, PM",6/20/2016,7/29/2016,SSFO,OPEN
CAJON VALLEY UNION SCHOOL DISTRICT,EL CAJON PUBLIC LIBRARY,201 E. DOUGLAS AVE.,EL CAJON,CA,92020,MARK MENDOZA,619-588-3111,"L, PM",6/20/2016,7/29/2016,SSFO,OPEN
CAJON VALLEY UNION SCHOOL DISTRICT,FLYING HILLS ELEMENTARY,1251 FINCH ST.,EL CAJON,CA,92020-1433,MARK MENDOZA,619-588-3111,"B, L",6/20/2016,7/29/2016,SSFO,OPEN
CAJON VALLEY UNION SCHOOL DISTRICT,GREENFIELD MIDDLE,1495 GREENFIELD DR.,EL CAJON,CA,92021-3414,MARK MENDOZA,619-588-3111,L,6/20/2016,7/29/2016,SSFO,OPEN
CAJON VALLEY UNION SCHOOL DISTRICT,JF KENNEDY PARK,1675 E. MADISON AVE.,EL CAJON,CA,92019,MARK MENDOZA,619-588-3111,L,6/20/2016,7/29/2016,SSFO,OPEN
CAJON VALLEY UNION SCHOOL DISTRICT,LEXINGTON ELEMENTARY,533 SOUTH FIRST ST.,EL CAJON,CA,92019-4739,MARK MENDOZA,619-588-3111,L,6/20/2016,7/29/2016,SSFO,OPEN
CAJON VALLEY UNION SCHOOL DISTRICT,MADISON AVENUE ELEMENTARY,1615 EAST MADISON AVE.,EL CAJON,CA,92019-1046,MARK MENDOZA,619-588-3111,"L, PM",6/20/2016,7/29/2016,SSFO,OPEN
CAJON VALLEY UNION SCHOOL DISTRICT,MERIDIAN ELEMENTARY,651 SOUTH THIRD ST.,EL CAJON,CA,92019-2517,MARK MENDOZA,619-588-3111,L,6/20/2016,7/29/2016,SSFO,OPEN
CAJON VALLEY UNION SCHOOL DISTRICT,NARANCA ELEMENTARY,1030 NARANCA AVE.,EL CAJON,CA,92021-5615,MARK MENDOZA,619-588-3111,L,6/20/2016,7/29/2016,SSFO,OPEN
"CAMP OLIVER, INC.",CAMP OLIVER,8761 RIVERSIDE DRIVE,DESCANSO,CA,91916,TRISTA BRANT,619-445-5945,"B, L, S",7/10/2016,8/5/2016,SFSP,CAMP
CARLSBAD UNIFIED SCHOOL DISTRICT,CARLSBAD BOYS & GIRLS CLUB,3115 ROOSEVELT STREET,CARLSBAD,CA,92008,MICHELLE JOHNSON,760-331-5000 #5085 #50,"L, PM",6/20/2016,8/19/2016,SSFO,OPEN
CARLSBAD UNIFIED SCHOOL DISTRICT,JEFFERSON ELEMENTARY,3743 JEFFERSON ST.,CARLSBAD,CA,92008-3336,MICHELLE JOHNSON,760-331-5000 #5085 #50,L,6/20/2016,7/28/2016,SSFO,OPEN
CHULA VISTA ELEMENTARY SCHOOL DISTRICT,CITY OF CHULA VISTA CIVIC CENTER LIBRARY,CITY OF CHULA VISTA CIVIC CENTER LIBRARY 365 F STREET,CHULA VISTA,CA,91910,JEFFREY LANDERS,619-425-9600 #1401 #14,"L, PM",6/6/2016,7/8/2016,SSFO,OPEN
CHULA VISTA ELEMENTARY SCHOOL DISTRICT,CITY OF CHULA VISTA SOUTH CV LIBRARY,CITY OF CHULA VISTA SOUTH CV LIBRARY 389 ORANGE AVENUE,CHULA VISTA,CA,91911,JEFFREY LANDERS,619-425-9600 #1401 #14,"L, PM",6/6/2016,7/8/2016,SSFO,OPEN
CHULA VISTA ELEMENTARY SCHOOL DISTRICT,LOMA VERDE ELEMENTARY,1450 LOMA LN.,CHULA VISTA,CA,91911-5310,JEFFREY LANDERS,619-425-9600 #1401 #14,"B, L",6/21/2016,7/8/2016,SSFO,OPEN
CHULA VISTA ELEMENTARY SCHOOL DISTRICT,PARKVIEW ELEMENTARY,575 JUNIPER ST.,CHULA VISTA,CA,91911-3826,JEFFREY LANDERS,619-425-9600 #1401 #14,"B, L",10/1/2015,10/2/2015,SSFO,OPEN
CHULA VISTA ELEMENTARY SCHOOL DISTRICT,ROGERS (GREG) ELEMENTARY,510 EAST NAPLES ST.,CHULA VISTA,CA,91911-2519,JEFFREY LANDERS,619-425-9600 #1401 #14,"B, L",6/21/2016,7/8/2016,SSFO,OPEN
CSU SAN DIEGO (BEST),BEST SUMMER BRIDGE 2010,5500 CAMPANILE DR.,SAN DIEGO,CA,92182-8222,DAVID SCARAFONE,619-594-1196 #41196 #4,"B, L, S",7/5/2016,8/9/2016,SFSP,CAMP
ESCONDIDO UNION HIGH SCHOOL DISTRICT,(JCCS) JUVENILE COURT AND COMMUNITY SCHOOL,115 WOODWARD AVE,ESCONDIDO,CA,92025,MARLA MARTIN,760-291-4077,"B, L",6/2/2016,6/9/2016,SFSP,CLOSED
ESCONDIDO UNION HIGH SCHOOL DISTRICT,DEL LAGO ACADEMY - CAMPUS OF APPLIED SCIENCE,1740 SCENIC TRAIL WAY,ESCONDIDO,CA,92029-4211,CYNDI VANDERWOUDE,760-291-2577,"B, L",6/6/2016,7/6/2016,SFSP,OPEN
ESCONDIDO UNION HIGH SCHOOL DISTRICT,ESCONDIDO HIGH,1535 NORTH BROADWAY,ESCONDIDO,CA,92026-2015,MARLA MARTIN,760-291-4077,"B, L",6/6/2016,7/6/2016,SFSP,OPEN
ESCONDIDO UNION HIGH SCHOOL DISTRICT,GROVE PARK,745 N. ASH ST,ESCONDIDO,CA,92027,RON GIL,760-291-5077,L,6/21/2016,8/4/2016,SFSP,OPEN
ESCONDIDO UNION HIGH SCHOOL DISTRICT,IGLESIA LATINA EMANUEL,152 E. 5TH AVE,ESCONDIDO,CA,92025,YOLANDA SALAS,760-291-2251,S,6/13/2016,6/17/2016,SFSP,OPEN
ESCONDIDO UNION HIGH SCHOOL DISTRICT,ORANGE GLEN HIGH,2200 GLEN RIDGE RD.,ESCONDIDO,CA,92027-4115,BEV BERK,760-291-5077,"B, L",6/6/2016,7/13/2016,SFSP,OPEN
ESCONDIDO UNION HIGH SCHOOL DISTRICT,SAN PASQUAL HIGH,3300 BEAR VALLEY PKWY.,ESCONDIDO,CA,92025-7636,RON GIL,760-291-6077,"B, L",6/6/2016,7/13/2016,SFSP,OPEN
ESCONDIDO UNION HIGH SCHOOL DISTRICT,SPECIAL EDUCATION TRANSITION CLASS,2065 E VALLEY PARKWAY,ESCONDIDO,CA,92027,BEV BERK,760-291-3239,L,6/13/2016,7/13/2016,SFSP,CLOSED
ESCONDIDO UNION HIGH SCHOOL DISTRICT,VALLEY HIGH (CONTINUATION),410 NORTH HIDDEN TRAILS RD.,ESCONDIDO,CA,92027-5333,YOLANDA SALAS,760-291-2251,"B, L",6/13/2016,7/13/2016,SFSP,OPEN
ESCONDIDO UNION HIGH SCHOOL DISTRICT,WASHINGTON PARK CENTER,501 S. ROSE ST.,ESCONDIDO,CA,92027,RON GIL,760-291-5077,"B, L",6/13/2016,8/4/2016,SFSP,OPEN
ESCONDIDO UNION HIGH SCHOOL DISTRICT,WESTSIDE PARK,333 SOUTH SPRUCE STREET,ESCONDIDO,CA,92025,RON GIL,760-291-5077,L,6/13/2016,8/4/2016,SFSP,OPEN
ESCONDIDO UNION HIGH SCHOOL DISTRICT,YMCA ESCONDIDO,1050 N BROADWAY,ESCONDIDO,CA,92026,RON GIL,760-291-6077,"B, L",7/26/2016,8/5/2016,SFSP,OPEN
ESCONDIDO UNION SCHOOL DISTRICT,DEL DIOS ACADEMY OF ARTS AND SCIENCES,1400 WEST NINTH AVE.,ESCONDIDO,CA,92025-2204,CHRISTINE RITCHIE,760-432-2102,"B, L",7/5/2016,7/22/2016,SSFO,OPEN
ESCONDIDO UNION SCHOOL DISTRICT,FARR AVENUE ELEMENTARY,933 FARR AVE.,ESCONDIDO,CA,92026-3121,CHRISTINE RITCHIE,760-432-2102,"B, L",7/5/2016,7/22/2016,SSFO,OPEN
ESCONDIDO UNION SCHOOL DISTRICT,FELICITA ELEMENTARY,737 WEST 13TH AVE.,ESCONDIDO,CA,92025-5510,CHRISTINE RITCHIE,760-432-2102,"B, L",7/5/2016,7/22/2016,SSFO,OPEN
ESCONDIDO UNION SCHOOL DISTRICT,JUNIPER ELEMENTARY,1809 SOUTH JUNIPER ST.,ESCONDIDO,CA,92025-6240,CHRISTINE RITCHIE,760-432-2102,"B, L",7/5/2016,7/22/2016,SSFO,OPEN
ESCONDIDO UNION SCHOOL DISTRICT,LINCOLN ELEMENTARY,1029 NORTH BROADWAY,ESCONDIDO,CA,92026-3043,CHRISTINE RITCHIE,760-432-2102,"B, L",7/5/2016,8/12/2016,SSFO,OPEN
ESCONDIDO UNION SCHOOL DISTRICT,OAK HILL ELEMENTARY,1820 OAK HILL DR.,ESCONDIDO,CA,92027-1629,CHRISTINE RITCHIE,760-432-2332,"B, L",7/5/2016,7/22/2016,SSFO,OPEN
ESCONDIDO UNION SCHOOL DISTRICT,PIONEER ELEMENTARY,980 NORTH ASH ST.,ESCONDIDO,CA,92027-1629,CHRISTINE RITCHIE,760-432-2102,"B, L",7/5/2016,7/22/2016,SSFO,OPEN
ESCONDIDO UNION SCHOOL DISTRICT,ROCK SPRINGS ELEMENTARY,1155 DEODAR RD.,ESCONDIDO,CA,92026-2200,CHRISTINE RITCHIE,760-432-2102,"B, L",6/27/2016,7/22/2016,SSFO,OPEN
FALLBROOK UNION ELEMENTARY SCHOOL DISTRICT,FALLBROOK STREET ELEMENTARY,405 WEST FALLBROOK ST.,FALLBROOK,CA,92028-2108,SANDRA MCGOLDRICK,760-731-4352,"B, L",6/13/2016,8/5/2016,SSFO,OPEN
FALLBROOK UNION ELEMENTARY SCHOOL DISTRICT,NORTH COUNTY BOYS AND GIRLS CLUB,445 E IVY ST,FALLBROOK,CA,92028,SANDRA MCGOLDRICK,760-731-4352,L,6/13/2016,8/5/2016,SSFO,OPEN
FEEDING AMERICA SAN DIEGO,BORREGO SPRINGS BRANCH LIBRARY,æ587 PALM CANYON DR. #125,BORREGO SPRINGS,CA,92004,MICHAEL VOSS,760-767-5663,L,6/21/2016,9/2/2016,SFSP,OPEN
FEEDING AMERICA SAN DIEGO,BOYS AND GIRLS CLUB SAN MARCOS,1 POSITIVE PLACE,SAN MARCOS,CA,92069,MARITZA SUAZO,760-471-2490,PM,6/27/2016,8/26/2016,SFSP,OPEN
FEEDING AMERICA SAN DIEGO,CASTLE PARK ELEMENTARY,25 EMERSON ST.,CHULA VISTA,CA,91911,NATALIA JONES,619-422-5005,"L, AM",6/13/2016,7/8/2016,SFSP,OPEN
FEEDING AMERICA SAN DIEGO,JACUMBA BRANCH LIBRARY,44605 OLD HIGHWAY 80,JACUMBA,CA,91934,SARAH MISQUEZ,619-766-4608,L,6/23/2016,8/19/2016,SFSP,OPEN
FEEDING AMERICA SAN DIEGO,JULIAN BRANCH LIBRARY,1850 HIGHWAY 78,JULIAN,CA,92036,COLLEEN BAKER,760-765-1055,"B, L",6/14/2016,8/5/2016,SFSP,OPEN
FEEDING AMERICA SAN DIEGO,LINCOLN ACRES BRANCH LIBRARY,2725 GRANGER AVENUE,NATIONAL CITY,CA,91950,JOSE OCADIZ,619-475-9880,L,6/21/2016,7/29/2016,SFSP,OPEN
FEEDING AMERICA SAN DIEGO,MESA GRANDE INDIAN HOUSING AUTHORITY,27000 BLACK CANYON RD.,SANTA YSABEL,CA,92070,DANIELLE LACHUSA,760-782-9144,L,6/20/2016,8/9/2016,SFSP,OPEN
FEEDING AMERICA SAN DIEGO,RAMONA BRANCH LIBRARY,1275 MAIN STREET,RAMONA,CA,92065,CHELSIE HARRIS,760-788-5271,L,6/13/2016,8/19/2016,SFSP,OPEN
FEEDING AMERICA SAN DIEGO,VALLEY CENTER BRANCH LIBRARY,29200 COLE GRADE RD.,VALLEY CENTER,CA,92082,LAURA ZUCKERMAN,760-749-1305,L,6/13/2016,7/22/2016,SFSP,OPEN
FEEDING AMERICA SAN DIEGO,VISTA BRANCH LIBRARY,700 EUCALYPTUS AVENUE,VISTA,CA,92084,ORQUIDIA CONTRERAS,760-643-5113,L,6/13/2016,8/5/2016,SFSP,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,BOYS AND GIRLS CLUB OF EAST COUNTY,1171 E. MADISON,EL CAJON,CA,92021,VINCE SCIMONE,619-644-8183,"B, L",6/20/2016,8/17/2016,SSFO,CLOSED
GROSSMONT UNION HIGH SCHOOL DISTRICT,BOYS AND GIRLS CLUB SANTEE,8820 TAMBERLY WAY,SANTEE,CA,92071-4258,VINCE SCIMONE,619-644-8183,"B, L",6/27/2016,8/19/2016,SSFO,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,CHAPARRAL HIGH,1600 NORTH CUYAMACA ST.,EL CAJON,CA,92020-1187,VINCE SCIMONE,619-644-8183,"B, L",6/20/2016,7/8/2016,SSFO,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,EL CAJON VALLEY HIGH,1035 EAST MADISON AVE.,EL CAJON,CA,92021-6226,VINCE SCIMONE,619-644-8183,"B, L",6/20/2016,8/5/2016,SSFO,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,EL CAPITAN HIGH,10410 ASHWOOD ST.,LAKESIDE,CA,92040-2406,VINCE SCIMONE,619-644-8183,"B, L",6/20/2016,7/8/2016,SSFO,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,GRANITE HILLS HIGH,1719 EAST MADISON AVE.,EL CAJON,CA,92019-1052,VINCE SCIMONE,619-644-8183,"B, L",6/20/2016,7/8/2016,SSFO,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,GROSSMONT HIGH,1100 MURRAY DR.,LA MESA,CA,91944-1043,VINCE SCIMONE,619-644-8183,"B, L",6/20/2016,7/8/2016,SSFO,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,HELIX HIGH,7323 UNIVERSITY AVE.,LA MESA,CA,91941-6055,VINCE SCIMONE,619-644-8183,"B, L",6/6/2016,6/24/2016,SSFO,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,LAKESIDE CLUBHOUSE,12824 LAKESHORE DRIVE,LAKESIDE,CA,92040,VINCE SCIMONE,619-644-8183,"B, L",6/23/2016,8/19/2019,SSFO,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,LITERACY FIRST CHARTER,799 EAST WASHINGTON AVE.,EL CAJON,CA,92020-5327,VINCE SCIMONE,619-644-8183,"B, L",6/20/2016,7/29/2016,SSFO,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,MONTE VISTA HIGH,3230 SWEETWATER SPRINGS BLVD.,SPRING VALLEY,CA,91977-6934,VINCE SCIMONE,619-644-8183,"B, L",6/20/2016,7/29/2016,SSFO,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,MOUNT MIGUEL HIGH,8585 BLOSSOM LN.,SPRING VALLEY,CA,91977-3765,VINCE SCIMONE,619-644-8183,"B, L",6/20/2016,8/19/2016,SSFO,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,REACH ACADEMY,230 JAMACHA ROAD,EL CAJON,CA,92019-2359,VINCE SCIMONE,619-644-8183,"B, L",6/20/2016,7/29/2016,SSFO,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,SANTANA HIGH,9915 NORTH MAGNOLIA AVE.,SANTEE,CA,92071-1903,VINCE SCIMONE,619-644-8183,"B, L",6/20/2016,7/8/2016,SSFO,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,SANTEE ASES PROGRAM,9303 PROSPECT AVE,SANTEE,CA,92071,VINCE SCIMONE,619-644-8183,"L, PM",6/27/2016,8/12/2016,SSFO,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,SANTEE RECREATION CENTER,"10601 MAGNOLIA AVENUE, BUILDING #6",SANTEE,CA,92071,VINCE SCIMONE,619-644-8183,"L, PM",6/23/2016,8/19/2016,SSFO,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,STEELE CANYON HIGH,12440 CAMPO RD.,SPRING VALLEY,CA,91978-2331,VINCE SCIMONE,619-644-8183,"B, L",6/13/2016,7/1/2016,SSFO,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,VALHALLA HIGH,1725 HILLSDALE RD.,EL CAJON,CA,92019-3742,VINCE SCIMONE,619-644-8183,"B, L",6/20/2016,7/8/2016,SSFO,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,WEST HILLS HIGH,8756 MAST BLVD.,SANTEE,CA,92071-2046,VINCE SCIMONE,619-644-8183,"B, L",6/20/2016,8/5/2016,SSFO,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,YMCA - LA MESA,8881 DALLAS STREET,"LA MESA, CA",CA,91942,VINCE SCIMONE,619-644-8183,"B, L",6/27/2016,8/12/2016,SSFO,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,YMCA - MCGRATH,12006 CAMPO RD,SPRING VALLEY,CA,91978,VINCE SCIMONE,619-644-8183,"B, L",6/27/2016,8/12/2016,SSFO,OPEN
GROSSMONT UNION HIGH SCHOOL DISTRICT,YMCA - SANTEE,10123 RIVERWALK DRIVE,SANTEE,CA,92071-4258,VINCE SCIMONE,619-644-8183,"B, L",6/27/2016,8/12/2016,SSFO,OPEN
HARVEY MUDD COLLEGE UPWARD BOUND,64 DEGREES,9500 GILMAN DRIVE,LA JOLLA,CA,92093,ERNESTO PARTIDA,909-621-8123,"B, L, S",6/26/2016,7/29/2016,SFSP,CAMP
