CountyDesc,FnsReportTypeDesc,FnsReportDate,ProgramCode,ProgramGroupYear,Name,SponsorTypeCode,MealGroupCode,MealTypeCode,SiteQty,DaysServedQty,MlsServedFree,MlsServedRedc,MlsServedPaid,MlsServedTotal,MlsServedFinal,AvgDailyMeals,AvgDailyParticipationQty
SAN DIEGO,Summer Food Service Program (FNS418),Oct 2014,SFSP,2015,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,11,23,28564,0,0,28564,28564,1241.913,1235
SAN DIEGO,Summer Food Service Program (FNS418),Oct 2014,SFSP,2015,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,7,23,4935,0,0,4935,4935,214.5652,211
SAN DIEGO,Summer Food Service Program (FNS418),Oct 2014,SFSP,2015,KAREN ORGANIZATION OF SAN DIEGO,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,1,3,50,0,0,50,50,16.6667,17
SAN DIEGO,Summer Food Service Program (FNS418),Nov 2014,SFSP,2015,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,11,17,19547,0,0,19547,19547,1149.8235,1149
SAN DIEGO,Summer Food Service Program (FNS418),Nov 2014,SFSP,2015,KAREN ORGANIZATION OF SAN DIEGO,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,1,4,70,0,0,70,70,17.5,18
SAN DIEGO,Summer Food Service Program (FNS418),Nov 2014,SFSP,2015,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,7,18,5248,0,0,5248,5248,291.5556,286
SAN DIEGO,Summer Food Service Program (FNS418),Jan 2015,SFSP,2015,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,11,19,22223,0,0,22223,22223,1169.6316,1164
SAN DIEGO,Summer Food Service Program (FNS418),Jan 2015,SFSP,2015,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,7,21,4937,0,0,4937,4937,235.0952,231
SAN DIEGO,Summer Food Service Program (FNS418),Dec 2014,SFSP,2015,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,11,18,19622,0,0,19622,19622,1090.1111,1087
SAN DIEGO,Summer Food Service Program (FNS418),Dec 2014,SFSP,2015,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,7,24,4678,0,0,4678,4678,194.9167,192
SAN DIEGO,Summer Food Service Program (FNS418),Dec 2014,SFSP,2015,KAREN ORGANIZATION OF SAN DIEGO,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,1,3,48,0,0,48,48,16,16
SAN DIEGO,Summer Food Service Program (FNS418),Mar 2015,SFSP,2015,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,11,17,25937,0,0,25937,25937,1525.7059,1525
SAN DIEGO,Summer Food Service Program (FNS418),Feb 2015,SFSP,2015,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,11,20,22782,0,0,22782,22782,1139.1,1139
SAN DIEGO,Summer Food Service Program (FNS418),Feb 2015,SFSP,2015,KAREN ORGANIZATION OF SAN DIEGO,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,1,5,68,0,0,68,68,13.6,14
SAN DIEGO,Summer Food Service Program (FNS418),Feb 2015,SFSP,2015,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,7,21,4950,0,0,4950,4950,235.7143,232
SAN DIEGO,Summer Food Service Program (FNS418),May 2015,SFSP,2015,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,11,20,23704,0,0,23704,23704,1185.2,1186
SAN DIEGO,Summer Food Service Program (FNS418),Mar 2015,SFSP,2015,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,8,23,5609,0,0,5609,5609,243.8696,240
SAN DIEGO,Summer Food Service Program (FNS418),Mar 2015,SFSP,2015,KAREN ORGANIZATION OF SAN DIEGO,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,1,7,90,0,0,90,90,12.8571,13
