sponsor_id,report_date,academic_year,programgroupyear,sponsorname,meals_group,meals_type,days_served,freeeligible,reducedeligible,paideligible,enrollment,meals_free,meals_reduced,meals_paid,meals_total,freeligible
2,2013-10-01,2013-2014,2014,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,CHILD_BREAKFAST,23,86,4,5,95,918,43,53,1014,
2,2013-10-01,2013-2014,2014,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,CHILD_LUNCH,23,86,4,5,95,1165,54,68,1287,
2,2013-10-01,2013-2014,2014,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,CHILD_SNACK_PM,23,86,4,5,95,755,35,44,834,
5,2013-10-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_BREAKFAST,CHILD_BREAKFAST,23,19,2,39,60,171,18,351,540,
5,2013-10-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_LUNCH,CHILD_LUNCH,23,19,2,39,60,282,30,577,889,
5,2013-10-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_SNACK_PM,CHILD_SNACK_PM,23,19,2,39,60,258,27,529,814,
5,2013-10-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_SUPPER,CHILD_SUPPER,23,19,2,39,60,2,0,4,6,
5,2013-10-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,OSCH_CHILD_BREAKFAST,OSCH_CHILD_BREAKFAST,23,5,0,11,16,77,0,169,246,
5,2013-10-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,OSCH_CHILD_SNACK_PM,OSCH_CHILD_SNACK_PM,23,5,0,11,16,65,0,143,208,
5,2013-10-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,OSCH_CHILD_SUPPER,OSCH_CHILD_SUPPER,23,5,0,11,16,1,0,2,3,
6,2013-10-01,2013-2014,2014,ALL KIDS ACADEMY HEAD START INC.,HS_CHILD_BREAKFAST,HS_CHILD_BREAKFAST,22,1126,0,0,1126,10842,0,0,10842,
6,2013-10-01,2013-2014,2014,ALL KIDS ACADEMY HEAD START INC.,HS_CHILD_LUNCH,HS_CHILD_LUNCH,22,1126,0,0,1126,17603,0,0,17603,
6,2013-10-01,2013-2014,2014,ALL KIDS ACADEMY HEAD START INC.,HS_CHILD_SNACK_PM,HS_CHILD_SNACK_PM,22,1126,0,0,1126,10084,0,0,10084,
7,2013-10-01,2013-2014,2014,AMERICARE ADHC INC ,ADULT_BREAKFAST,ADULT_BREAKFAST,23,180,0,1,181,2118,0,12,2130,
7,2013-10-01,2013-2014,2014,AMERICARE ADHC INC ,ADULT_LUNCH,ADULT_LUNCH,23,180,0,1,181,2123,0,12,2135,
7,2013-10-01,2013-2014,2014,AMERICARE ADHC INC ,ADULT_SNACK_AM,ADULT_SNACK_AM,23,180,0,1,181,5,0,0,5,
7,2013-10-01,2013-2014,2014,AMERICARE ADHC INC ,ADULT_SNACK_PM,ADULT_SNACK_PM,23,180,0,1,181,437,0,2,439,
10,2013-10-01,2013-2014,2014,ASSOC STUDENTS CSU SAN DIEGO CHILDRENS CENTER ,CHILD_BREAKFAST,CHILD_BREAKFAST,23,51,3,156,210,527,31,1610,2168,
10,2013-10-01,2013-2014,2014,ASSOC STUDENTS CSU SAN DIEGO CHILDRENS CENTER ,CHILD_LUNCH,CHILD_LUNCH,23,51,3,156,210,816,48,2495,3359,
10,2013-10-01,2013-2014,2014,ASSOC STUDENTS CSU SAN DIEGO CHILDRENS CENTER ,CHILD_SNACK_PM,CHILD_SNACK_PM,23,51,3,156,210,776,46,2374,3196,
11,2013-10-01,2013-2014,2014,ATC PACIFIC LLC,CHILD_BREAKFAST,CHILD_BREAKFAST,23,9,3,27,39,75,25,224,324,
11,2013-10-01,2013-2014,2014,ATC PACIFIC LLC,CHILD_LUNCH,CHILD_LUNCH,23,9,3,27,39,114,38,343,495,
11,2013-10-01,2013-2014,2014,ATC PACIFIC LLC,CHILD_SNACK_PM,CHILD_SNACK_PM,23,9,3,27,39,102,34,305,441,
11,2013-10-01,2013-2014,2014,ATC PACIFIC LLC,OSCH_CHILD_BREAKFAST,OSCH_CHILD_BREAKFAST,23,7,0,6,13,51,0,43,94,
11,2013-10-01,2013-2014,2014,ATC PACIFIC LLC,OSCH_CHILD_SNACK_PM,OSCH_CHILD_SNACK_PM,23,7,0,6,13,71,0,61,132,
14,2013-10-01,2013-2014,2014,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,CHILD_BREAKFAST,CHILD_BREAKFAST,23,45,11,1,57,552,135,12,699,
14,2013-10-01,2013-2014,2014,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,CHILD_LUNCH,CHILD_LUNCH,23,45,11,1,57,722,176,16,914,
14,2013-10-01,2013-2014,2014,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,CHILD_SNACK_PM,CHILD_SNACK_PM,23,45,11,1,57,677,165,15,857,
14,2013-10-01,2013-2014,2014,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,OSCH_CHILD_BREAKFAST,OSCH_CHILD_BREAKFAST,23,31,5,0,36,36,6,0,42,
14,2013-10-01,2013-2014,2014,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,OSCH_CHILD_LUNCH,OSCH_CHILD_LUNCH,23,31,5,0,36,28,4,0,32,
