sponsor_id,sponsorname,site_id,sitename,year,address,city,zip,programtypes,contact,telephone
2,A PLACE OF OUR OWN CHILD,,A PLACE OF OUR OWN CDC 2,2015,1851 E WASHINGTON AVE,ESCONDIDO,92027,"PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC), SCHOOL AGE CENTER (SAC)",MRS. ERICA GONZALEZ,760-745-0115
2,A PLACE OF OUR OWN CHILD,,A PLACE OF OUR OWN CHILD DEVELOPMENT CENTER,2015,2355 E VALLEY PARKWAY,ESCONDIDO,92027,"PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC), SCHOOL AGE CENTER (SAC)",MRS. FELICIA PEOPLES,760-737-8660
6,ALL KIDS ACADEMY HEAD START INC.,,AKA HEAD START - DARNALL,2015,6020 HUGHES STREET,SAN DIEGO,92115,HEAD START CENTER (HSC),MS. CLARISE FERNANDEZ,619-955-8730
6,ALL KIDS ACADEMY HEAD START INC.,,AKA HEAD START - GRANADA,2015,3920 NORTH GRANADA,SPRING VALLLEY,91977,HEAD START CENTER (HSC),MRS. VALERIE YORK,619-670-6101
6,ALL KIDS ACADEMY HEAD START INC.,,AKA HEAD START - ROLANDO PARK,2015,6620 MARLOWE DRIVE,SAN DIEGO,92115,HEAD START CENTER (HSC),MS. MELISSA MILLER,619-795-4650
6,ALL KIDS ACADEMY HEAD START INC.,,AKA HEAD START - SAN MARTIN DE PORRES,2015,"9119 JAMACHA RD., STE. 100A",SPRING VALLEY,91977,HEAD START CENTER (HSC),MS. LESLIE STOPANI,619-461-8200
6,ALL KIDS ACADEMY HEAD START INC.,,BANCROFT HEAD START,2015,3845 SPRING DRIVE,SPRING VALLEY,91977,HEAD START CENTER (HSC),MS. DEBORAH RICHARDSON,619-713-2262
6,ALL KIDS ACADEMY HEAD START INC.,,CASA DE ORO HEAD START,2015,10235 RAMONA DR,SPRING VALLEY,91977,HEAD START CENTER (HSC),DEBORAH DURHAM,619-660-9722
6,ALL KIDS ACADEMY HEAD START INC.,,FARRAGUT CIRCLE HEAD START,2015,490 FARRAGUT CIRCLE,EL CAJON,92020,HEAD START CENTER (HSC),MS. ADONICA GOETTSCH,619-593-8010
6,ALL KIDS ACADEMY HEAD START INC.,,GRAND AVE HEAD START,2015,905 GRAND AVE,SPRING VALLEY,91977,HEAD START CENTER (HSC),MS. BETTY SMITH,619-460-6710
