County Name,ClaimDate,ProgramCode,ProgramGroupYear,Name,MealGroupCode,DaysServedQty,,,,,MlsServedFree,MlsServedRedc,MlsServedPaid,MlsServedTotal,avg
SAN DIEGO,Apr 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,21,,,,,1682,37,25,1744,
SAN DIEGO,Aug 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,22,,,,,1402,24,16,1442,
SAN DIEGO,Dec 2017,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,19,,,,,1100,100,88,1288,
SAN DIEGO,Feb 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,19,,,,,1562,34,23,1619,
SAN DIEGO,Jan 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,20,,,,,2009,44,30,2083,
SAN DIEGO,Jul 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,21,,,,,822,14,9,845,
SAN DIEGO,Jun 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,21,,,,,1013,17,12,1042,
SAN DIEGO,Mar 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,22,,,,,1614,36,23,1673,
SAN DIEGO,May 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,22,,,,,1803,40,26,1869,
SAN DIEGO,Nov 2017,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,19,,,,,1071,97,86,1254,
SAN DIEGO,Oct 2017,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,22,,,,,1505,137,119,1761,
SAN DIEGO,Apr 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,21,,,,,1604,35,24,1663,
SAN DIEGO,Aug 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,22,,,,,1519,26,17,1562,
SAN DIEGO,Dec 2017,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,19,,,,,1067,97,85,1249,
SAN DIEGO,Feb 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,19,,,,,1454,32,22,1508,
SAN DIEGO,Jan 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,20,,,,,2201,49,32,2282,
SAN DIEGO,Jul 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,21,,,,,1267,22,14,1303,
SAN DIEGO,Jun 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,21,,,,,1179,20,14,1213,
SAN DIEGO,Mar 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,22,,,,,1525,34,22,1581,
SAN DIEGO,May 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,22,,,,,1625,36,24,1685,
SAN DIEGO,Nov 2017,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,19,,,,,1195,109,95,1399,
SAN DIEGO,Oct 2017,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,22,,,,,1553,141,124,1818,
SAN DIEGO,Apr 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,21,,,,,1497,33,22,1552,
SAN DIEGO,Aug 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,22,,,,,1338,23,15,1376,
SAN DIEGO,Dec 2017,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,19,,,,,921,84,73,1078,
SAN DIEGO,Feb 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,19,,,,,1267,28,19,1314,
SAN DIEGO,Jan 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,20,,,,,1557,34,23,1614,
SAN DIEGO,Jul 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,21,,,,,1084,19,12,1115,
SAN DIEGO,Jun 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,21,,,,,984,17,11,1012,
SAN DIEGO,Mar 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,22,,,,,1408,31,21,1460,
SAN DIEGO,May 2018,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,22,,,,,1485,33,22,1540,
SAN DIEGO,Nov 2017,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,19,,,,,996,91,79,1166,
SAN DIEGO,Oct 2017,CACF,2018,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,22,,,,,1146,104,91,1341,
SAN DIEGO,Apr 2018,CACF,2018,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,21,,,,,114,8,9,131,
SAN DIEGO,Aug 2018,CACF,2018,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,22,,,,,416,18,18,452,
SAN DIEGO,Dec 2017,CACF,2018,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,19,,,,,44,9,7,60,
SAN DIEGO,Feb 2018,CACF,2018,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,19,,,,,42,3,3,48,
SAN DIEGO,Jan 2018,CACF,2018,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,20,,,,,95,7,7,109,
SAN DIEGO,Jul 2018,CACF,2018,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,22,,,,,762,33,32,827,
SAN DIEGO,Jun 2018,CACF,2018,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,21,,,,,648,39,39,726,
SAN DIEGO,Mar 2018,CACF,2018,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,22,,,,,135,10,10,155,
SAN DIEGO,May 2018,CACF,2018,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,22,,,,,42,3,3,48,
SAN DIEGO,Nov 2017,CACF,2018,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,19,,,,,45,9,7,61,
SAN DIEGO,Oct 2017,CACF,2018,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,22,,,,,27,5,4,36,
SAN DIEGO,Apr 2018,CACF,2018,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,21,,,,,115,8,9,132,
SAN DIEGO,Aug 2018,CACF,2018,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,22,,,,,490,21,21,532,
SAN DIEGO,Dec 2017,CACF,2018,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,19,,,,,60,12,9,81,
SAN DIEGO,Feb 2018,CACF,2018,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,19,,,,,65,5,5,75,
SAN DIEGO,Jan 2018,CACF,2018,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,20,,,,,98,7,7,112,
SAN DIEGO,Jul 2018,CACF,2018,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,22,,,,,1032,44,44,1120,
SAN DIEGO,Jun 2018,CACF,2018,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,21,,,,,863,52,51,966,
SAN DIEGO,Mar 2018,CACF,2018,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,22,,,,,174,13,12,199,
SAN DIEGO,May 2018,CACF,2018,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,22,,,,,6,0,1,7,
