sponsor_id,fnsreportdate,academicyear,programgroupyear,sponsorname,mealgroup,mealtype,daysservedquanity,freeeligible,reducedeligible,paideligible,enrollment,freemeals,reducedmeals,paidmeals,totalmeals
2,2013-10-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_BREAKFAST,CHILD_BREAKFAST,23,19,2,39,60,171,18,351,540
2,2013-10-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,OSCH_CHILD_BREAKFAST,OSCH_CHILD_BREAKFAST,23,5,0,11,16,77,0,169,246
2,2013-11-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_LUNCH,CHILD_LUNCH,19,19,2,39,60,231,24,474,729
2,2013-11-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,OSCH_CHILD_LUNCH,OSCH_CHILD_LUNCH,19,5,0,11,16,10,0,23,33
2,2013-12-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_LUNCH,CHILD_LUNCH,24,19,2,39,60,241,25,494,760
2,2013-12-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,OSCH_CHILD_LUNCH,OSCH_CHILD_LUNCH,24,5,0,11,16,10,0,21,31
2,2014-01-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_SNACK_PM,CHILD_SNACK_PM,26,19,2,39,60,243,26,497,766
2,2014-01-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,OSCH_CHILD_SNACK_PM,OSCH_CHILD_SNACK_PM,26,5,0,11,16,53,0,117,170
2,2014-02-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_SNACK_AM,CHILD_SNACK_AM,23,19,2,39,60,243,26,497,766
2,2014-02-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,OSCH_CHILD_SNACK_PM,OSCH_CHILD_SNACK_PM,23,5,0,11,16,48,0,105,153
2,2014-03-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_SUPPER,CHILD_SUPPER,26,19,2,39,60,1,0,3,4
2,2014-04-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_LUNCH,CHILD_LUNCH,26,19,2,39,60,333,35,685,1053
2,2014-04-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,OSCH_CHILD_BREAKFAST,OSCH_CHILD_BREAKFAST,26,5,0,11,16,58,0,127,185
2,2014-04-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,OSCH_CHILD_SUPPER,OSCH_CHILD_SUPPER,26,5,0,11,16,2,0,3,5
2,2014-05-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_SNACK_PM,CHILD_SNACK_PM,27,26,10,41,77,304,117,480,901
2,2014-05-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,OSCH_CHILD_SNACK_PM,OSCH_CHILD_SNACK_PM,27,4,0,12,16,48,0,142,190
2,2014-06-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_SNACK_AM,CHILD_SNACK_AM,25,33,12,40,85,381,139,461,981
2,2014-06-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,OSCH_CHILD_LUNCH,OSCH_CHILD_LUNCH,25,5,2,10,17,21,8,42,71
2,2014-07-01,2014-2015,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_BREAKFAST,CHILD_BREAKFAST,27,33,12,40,85,247,90,300,637
2,2014-07-01,2014-2015,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_SNACK_PM,CHILD_SNACK_PM,27,33,12,40,85,352,128,426,906
2,2014-07-01,2014-2015,2014,ALL ABOUT KIDS PRESCHOOL,OSCH_CHILD_SNACK_AM,OSCH_CHILD_SNACK_AM,27,5,2,10,17,64,26,128,218
2,2014-08-01,2014-2015,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_LUNCH,CHILD_LUNCH,26,27,9,33,69,313,104,384,801
2,2014-08-01,2014-2015,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_SUPPER,CHILD_SUPPER,26,27,9,33,69,86,29,106,221
2,2014-08-01,2014-2015,2014,ALL ABOUT KIDS PRESCHOOL,OSCH_CHILD_SNACK_PM,OSCH_CHILD_SNACK_PM,26,7,3,7,17,71,31,71,173
2,2014-09-01,2014-2015,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_SNACK_AM,CHILD_SNACK_AM,26,17,4,28,49,213,50,351,614
2,2014-09-01,2014-2015,2014,ALL ABOUT KIDS PRESCHOOL,OSCH_CHILD_BREAKFAST,OSCH_CHILD_BREAKFAST,26,6,5,10,21,43,36,72,151
2,2013-10-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_SUPPER,CHILD_SUPPER,23,19,2,39,60,2,0,4,6
2,2013-11-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_BREAKFAST,CHILD_BREAKFAST,19,19,2,39,60,140,15,287,442
2,2013-11-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,OSCH_CHILD_BREAKFAST,OSCH_CHILD_BREAKFAST,19,5,0,11,16,55,0,121,176
2,2013-12-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_BREAKFAST,CHILD_BREAKFAST,24,19,2,39,60,158,17,323,498
2,2013-12-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,OSCH_CHILD_BREAKFAST,OSCH_CHILD_BREAKFAST,24,5,0,11,16,61,0,133,194
2,2014-01-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_LUNCH,CHILD_LUNCH,26,19,2,39,60,267,28,548,843
2,2014-01-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,OSCH_CHILD_LUNCH,OSCH_CHILD_LUNCH,26,5,0,11,16,7,0,16,23
2,2014-02-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_LUNCH,CHILD_LUNCH,23,19,2,39,60,257,27,526,810
2,2014-02-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,OSCH_CHILD_LUNCH,OSCH_CHILD_LUNCH,23,5,0,11,16,4,0,8,12
2,2014-03-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_SNACK_PM,CHILD_SNACK_PM,26,19,2,39,60,262,28,536,826
2,2014-04-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_BREAKFAST,CHILD_BREAKFAST,26,19,2,39,60,200,21,410,631
2,2014-04-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_SUPPER,CHILD_SUPPER,26,19,2,39,60,9,1,17,27
2,2014-04-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,OSCH_CHILD_SNACK_PM,OSCH_CHILD_SNACK_PM,26,5,0,11,16,61,0,135,196
2,2014-05-01,2013-2014,2014,ALL ABOUT KIDS PRESCHOOL,CHILD_SNACK_AM,CHILD_SNACK_AM,27,26,10,41,77,309,119,487,915
