site_id,sitename,address,city,state,zip,lat,lon,accuracy,bos_district,council_distict,councill_code,elementary_dist,hs_dist,unified_dist,state_assembly_dist,state_senate_dist,congressional_dist
1,1ST SAMOAN CONGREGATIONAL CHURCH,,,,91978,33,-117,LOW,2,,,GEN ELEM LA MESA-SPRING VALLEY,HIGH GROSSMONT UNION,,71,38,53
2,37 ECB,,,,92105,33,-117,LOW,4,3,SD,,,UNIFIED SAN DIEGO,78,39,53
4,A.B & JESSIE POLINSKY CHILDREN'S CENTER,,,,92123,33,-117,LOW,4,6,SD,,,UNIFIED SAN DIEGO,77,39,52
7,ACADEMY OF ARTS AND SCIENCES,,,,92120,33,-117,LOW,2,7,SD,,,UNIFIED SAN DIEGO,79,39,53
9,ACADEMY OF ARTS AND SCIENCES: DEL MAR MIDDLE & HIGH (6-12),,,,92120,33,-117,LOW,2,7,SD,,,UNIFIED SAN DIEGO,79,39,53
23,ALBERT EINSTEIN ACADEMY ELEMENTARY,,,,92102,33,-117,LOW,4,3,SD,,,UNIFIED SAN DIEGO,78,39,53
24,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS & SCIENCES - AGUA DULC",,,,92102,33,-117,LOW,4,3,SD,,,UNIFIED SAN DIEGO,78,39,53
25,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS & SCIENCES - ODYSSEY",,,,92101,33,-117,LOW,4,3,SD,,,UNIFIED SAN DIEGO,78,39,52
26,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS AND SCIENCES",,,,92102,33,-117,LOW,4,3,SD,,,UNIFIED SAN DIEGO,78,39,53
43,ASELTINE,,,,92103,33,-117,LOW,4,3,SD,,,UNIFIED SAN DIEGO,78,39,53
50,AUTUMN,,,,92083,33,-117,LOW,5,1,VS,,,UNIFIED VISTA,76,36,49
59,BALBOA CITY SCHOOL-ANNEX,,,,92103,33,-117,LOW,4,3,SD,,,UNIFIED SAN DIEGO,78,39,53
63,BALDERRAMA PARK,,,,92058,33,-117,LOW,5,1,OC,,,UNIFIED OCEANSIDE,76,36,49
64,BALLINGTON ACADEMY FOR THE ARTS AND SCIENCES,,,,,33,-116,LOW,,,,,,,,40,51
65,BALLINGTON ACADEMY FOR THE ARTS AND SCIENCES - SAN BERNARDINO,,,,,34,-117,LOW,,,,,,,,,
