site_id,sitename,address,city,state,zip,lat,lon,accuracy,bos_district,council_distict,councill_code,elementary_dist,hs_dist,unified_dist,state_assembly_dist,state_senate_dist,congressional_dist
1,NOT MATCHED,,,,92101.0,32.715738,-117.1610838,LOW,4.0,3.0,SD,,,UNIFIED SAN DIEGO,78.0,39.0,52.0
2,CIRCLE OF FRIENDS,,,,92064.0,33.0192528,-117.05325230000001,LOW,2.0,2.0,PW,,,"UNIF BOND POWAY-SFID 2002-1,PROP U, 2014 REF",77.0,38.0,52.0
3,NATIVITY PREP ACADEMY,,,,92105.0,32.734186300000005,-117.0767588,LOW,4.0,4.0,SD,,,UNIFIED SAN DIEGO,79.0,39.0,51.0
4,EUCLID CDC,,,,92105.0,32.7519179,-117.09423729999999,LOW,4.0,9.0,SD,,,UNIFIED SAN DIEGO,80.0,40.0,51.0
5,A.B & JESSIE POLINSKY CHILDREN'S CENTER,,,,92123.0,32.8293934,-117.12270659999999,LOW,4.0,6.0,SD,,,UNIFIED SAN DIEGO,77.0,39.0,52.0
6,KENNEDY CDC,,,,92113.0,32.698614899999995,-117.09341570000001,LOW,1.0,4.0,SD,,,UNIFIED SAN DIEGO,79.0,40.0,51.0
9,ABRAXAS CONTINUATION HIGH,12450 Glenoak Road,Poway,CA,92064.0,32.973675,-117.06088000000001,HIGH,2.0,1.0,PW,,,"UNIF BOND POWAY-SFID 2002-1,PROP U, 2014 REF",77.0,38.0,52.0
10,NEW HAVEN-THOMSON HOUSE,,,,92083.0,33.211977000000005,-117.24721909999998,LOW,5.0,1.0,VS,,,UNIFIED VISTA,76.0,36.0,49.0
11,NEW HAVEN-DEBRA LANE,,,,92083.0,33.21249,-117.25401000000001,LOW,5.0,1.0,VS,,,UNIFIED VISTA,76.0,36.0,49.0
13,ACADEMY OF ARTS AND SCIENCES,,,,92120.0,32.7805515,-117.0965317,LOW,2.0,7.0,SD,,,UNIFIED SAN DIEGO,79.0,39.0,53.0
14,CAMPO HEADSTART CENTER,,,,92154.0,32.5854153,-117.0619622,LOW,1.0,8.0,SD,"GEN BOND CHULA VISTA-SFID 1 2012C,PROP E 11/06/12",HIGH SWEETWATER UNION,,80.0,40.0,51.0
15,EMPOWER ACADEMY/CDS,,,,92020.0,32.795836699999995,-116.9548773,LOW,2.0,2.0,EC,GEN ELEM CAJON VALLEY UNION,HIGH GROSSMONT UNION,,71.0,38.0,53.0
16,HIGH TECH HIGH CHULA VISTA,1945 Discovery Falls Drive,Chula Vista,CA,91915.0,32.62223,-116.95962,HIGH,1.0,3.0,CV,GEN ELEM CHULA VISTA,HIGH SWEETWATER UNION,,79.0,40.0,53.0
17,ACADEMY OF ARTS AND SCIENCES: DEL MAR ELEMENTARY (K-5),850 Hampshire Road Suite C,Thousand Oaks,CA,,34.155695,-118.83089,LOW,,,,,,,,,
18,HIGH TECH HIGH EXPLORER,,,,92106.0,32.7320361,-117.2177039,LOW,4.0,2.0,SD,,,UNIFIED SAN DIEGO,78.0,39.0,52.0
19,STEP PROGRAM,,,,92123.0,32.824331,-117.121721,LOW,4.0,6.0,SD,,,UNIFIED SAN DIEGO,77.0,39.0,52.0
20,37 ECB,,,,92105.0,32.7555351,-117.1130686,LOW,4.0,3.0,SD,,,UNIFIED SAN DIEGO,78.0,39.0,53.0
21,ACADEMY OF ARTS AND SCIENCES: DEL MAR MIDDLE & HIGH (6-12),,,,92120.0,32.78105,-117.09628000000001,LOW,2.0,7.0,SD,,,UNIFIED SAN DIEGO,79.0,39.0,53.0
25,ACADEMY OF ARTS AND SCIENCES: EL CAJON ELEMENTARY (K-5),850 Hampshire Road Suite C,Thousand Oaks,CA,,34.155695,-118.83089,LOW,,,,,,,,,
29,ACADEMY OF ARTS AND SCIENCES: EL CAJON MIDDLE AND HIGH (6-12),850 Hampshire Road Suite C,Thousand Oaks,CA,,34.155695,-118.83089,LOW,,,,,,,,,
33,ADA W. HARRIS ELEMENTARY,1508 Windsor Road,Cardiff-by-the-Sea,CA,92007.0,33.031279999999995,-117.27349,HIGH,3.0,3.0,EN,GEN ELEM CARDIFF,HIGH SAN DIEGUITO UNION,,76.0,36.0,49.0
37,ADAMS ELEMENTARY,4672 35th Street,San Diego,CA,92116.0,32.761559999999996,-117.11786000000001,HIGH,4.0,3.0,SD,,,UNIFIED SAN DIEGO,78.0,39.0,53.0
41,ADOBE BLUFFS ELEMENTARY,8707 Adobe Bluffs Drive,San Diego,CA,92129.0,32.974268,-117.14039,HIGH,3.0,5.0,SD,,,"UNIF BOND POWAY-SFID 2002-1,PROP U, 2014 REF",77.0,39.0,52.0
45,ALAMOSA PARK ELEMENTARY,5130 Alamosa Park Drive,Oceanside,CA,92057.0,33.239596,-117.28112,HIGH,5.0,4.0,OC,,,UNIFIED VISTA,76.0,36.0,49.0
49,ALBA,4041 Oregon St,San Diego,CA,92104.0,32.751186,-117.13508999999999,HIGH,4.0,3.0,SD,,,UNIFIED SAN DIEGO,78.0,39.0,53.0
53,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,3035 ASH ST.,SAN DIEGO,CA,92102.0,32.7201619,-117.1291186,HIGH,4.0,3.0,SD,,,UNIFIED SAN DIEGO,78.0,39.0,53.0
57,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,458 26th Street,San Diego,CA,92102.0,32.709719,-117.13816000000001,HIGH,1.0,8.0,SD,,,UNIFIED SAN DIEGO,80.0,40.0,51.0
61,ALBERT EINSTEIN ACADEMY ELEMENTARY,,,,92102.0,32.7195928,-117.1305227,LOW,4.0,3.0,SD,,,UNIFIED SAN DIEGO,78.0,39.0,53.0
65,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS & SCIENCES - AGUA DULC",,,,92102.0,32.7195928,-117.1305227,LOW,4.0,3.0,SD,,,UNIFIED SAN DIEGO,78.0,39.0,53.0
69,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS & SCIENCES - ODYSSEY",,,,92101.0,32.715738,-117.1610838,LOW,4.0,3.0,SD,,,UNIFIED SAN DIEGO,78.0,39.0,52.0
73,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS AND SCIENCES",,,,92102.0,32.7195928,-117.1305227,LOW,4.0,3.0,SD,,,UNIFIED SAN DIEGO,78.0,39.0,53.0
77,ALCOTT ELEMENTARY,4680 Hidalgo Avenue,San Diego,CA,92117.0,32.832311,-117.22046,HIGH,4.0,2.0,SD,,,UNIFIED SAN DIEGO,77.0,39.0,52.0
81,ALL TRIBES CHARTER,34320 Valley Center Road,Valley Center,CA,92082.0,33.277583,-116.95371000000002,HIGH,5.0,,,,,UNIFIED VALLEY CENTER-PAUMA,75.0,38.0,50.0
85,ALL TRIBES ELEMENTARY CHARTER,"34320 Valley Center Road, Suite B",Valley Center,CA,92082.0,33.277583,-116.95371000000002,HIGH,5.0,,,,,UNIFIED VALLEY CENTER-PAUMA,75.0,38.0,50.0
89,ALLEN (ELLA B.) ELEMENTARY,4300 Allen School Road,Bonita,CA,91902.0,32.656765,-117.03358,HIGH,1.0,1.0,CV,"GEN BOND CHULA VISTA-SFID 1 2012C,PROP E 11/06/12",HIGH SWEETWATER UNION,,80.0,40.0,53.0
93,ALPINE ELEMENTARY,1850 Alpine Boulevard,Alpine,CA,91901.0,32.837485,-116.77453999999999,HIGH,2.0,,,GEN ELEM ALPINE UNION,HIGH GROSSMONT UNION,,71.0,38.0,50.0
97,ALTA VISTA ACADEMY,730 Medical Center Court,Chula Vista,CA,91911.0,32.61872,-117.02445,HIGH,1.0,3.0,CV,"GEN BOND CHULA VISTA-SFID 1 2012C,PROP E 11/06/12",HIGH SWEETWATER UNION,,79.0,40.0,53.0
101,ALTA VISTA HIGH (CONTINUATION),1575 Bonair Drive,Vista,CA,92084.0,33.222471,-117.2196,HIGH,5.0,2.0,VS,,,UNIFIED VISTA,76.0,36.0,49.0
105,ALVIN M. DUNN ELEMENTARY,3697 LA MIRADA DR.,SAN MARCOS,CA,92078.0,33.143404100000005,-117.2031193,HIGH,5.0,1.0,SM,,,"UNIF BOND SAN MARCOS SFID #1-6/04/96, 2004-1 REF",75.0,38.0,50.0
109,AMERICA'S FINEST CHARTER,730 45th Street,San Diego,CA,92102.0,32.712835999999996,-117.09808000000001,HIGH,1.0,4.0,SD,,,UNIFIED SAN DIEGO,80.0,40.0,51.0
113,ANGIER ELEMENTARY,8450 Hurlbut Street,San Diego,CA,92123.0,32.804911,-117.14533999999999,HIGH,4.0,7.0,SD,,,UNIFIED SAN DIEGO,79.0,39.0,53.0
117,ANZA ELEMENTARY,1005 SOUTH ANZA ST.,EL CAJON,CA,92020.0,32.7813337,-116.94789650000001,HIGH,2.0,4.0,EC,GEN ELEM CAJON VALLEY UNION,HIGH GROSSMONT UNION,,71.0,38.0,50.0
121,ARROYO PASEO CHARTER HIGH,3773 El Cajon Boulevard,San Diego,CA,92105.0,32.754981,-117.10784,HIGH,4.0,9.0,SD,,,UNIFIED SAN DIEGO,80.0,40.0,51.0
125,ARROYO VISTA CHARTER,2491 School House Road,Chula Vista,CA,91915.0,32.638128,-116.95251999999999,HIGH,1.0,1.0,CV,GEN ELEM CHULA VISTA,HIGH SWEETWATER UNION,,79.0,40.0,53.0
129,ASELTINE,,,,92103.0,32.751433,-117.14771999999999,LOW,4.0,3.0,SD,,,UNIFIED SAN DIEGO,78.0,39.0,53.0
133,ASHLEY FALLS ELEMENTARY,13030 Ashley Falls Drive,San Diego,CA,92130.0,32.957549,-117.20781000000001,HIGH,3.0,1.0,SD,GEN ELEM DEL MAR UNION,HIGH SAN DIEGUITO UNION,,77.0,39.0,52.0
137,AUDEO CHARTER,10170 Huennekens Street,San Diego,CA,92121.0,32.902951,-117.18378999999999,HIGH,3.0,6.0,SD,,,UNIFIED SAN DIEGO,77.0,39.0,52.0
141,AUDEO CHARTER II,"3821 Plaza Drive, Suite 402",Oceanside,CA,92056.0,33.180779,-117.29137,HIGH,5.0,3.0,OC,,,UNIFIED CARLSBAD,76.0,36.0,49.0
145,AUDEO CHARTER SCHOOL III,200 East Via Rancho Parkway,Escondido,CA,92025.0,33.070485,-117.06492,HIGH,3.0,4.0,ES,GEN ELEM ESCONDIDO UNION,HIGH ESCONDIDO UNION,,75.0,38.0,50.0
149,AUDUBON K-8,8111 San Vicente,San Diego,CA,92114.0,32.711209999999994,-117.03008,HIGH,4.0,4.0,SD,,,UNIFIED SAN DIEGO,79.0,40.0,53.0
153,AUTUMN,,,,92083.0,33.211977000000005,-117.24721909999998,LOW,5.0,1.0,VS,,,UNIFIED VISTA,76.0,36.0,49.0
157,AVIARA OAKS ELEMENTARY,6900 Ambrosia Lane,Carlsbad,CA,92011.0,33.101346,-117.27667,HIGH,5.0,4.0,CB,,,UNIFIED CARLSBAD,76.0,36.0,49.0
161,AVIARA OAKS MIDDLE,6880 Ambrosia Lane,Carlsbad,CA,92011.0,33.103077,-117.27893999999999,HIGH,5.0,3.0,CB,,,UNIFIED CARLSBAD,76.0,36.0,49.0
165,AVOCADO ELEMENTARY,3845 Avocado School Road,La Mesa,CA,91941.0,32.750432,-116.96075,HIGH,2.0,,,GEN ELEM CAJON VALLEY UNION,HIGH GROSSMONT UNION,,71.0,38.0,53.0
169,AVONDALE ELEMENTARY,8401 STANSBURY ST.,SPRING VALLEY,CA,91977.0,32.7182426,-117.01704740000001,HIGH,2.0,,,GEN ELEM LA MESA-SPRING VALLEY,HIGH GROSSMONT UNION,,71.0,40.0,53.0
173,BAKER ELEMENTARY,4041 T Street,San Diego,CA,92113.0,32.698826000000004,-117.10711,HIGH,1.0,9.0,SD,,,UNIFIED SAN DIEGO,80.0,40.0,51.0
