site_id,start_date,end_date,summer_year,sitename,sponsorname,sponsor_id,meals_type,site_contact,site_phone,site_type
4261,2018-06-06,2018-08-14,2018,BAKER BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,"L, PM",CHRIS ALTO,760-745-0515,OPEN
4269,2018-06-14,2018-08-24,2018,CLAIREMONT BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,"L, PM",RUTH CASSIDY,858-273-1645,OPEN
4281,2018-06-18,2018-08-24,2018,ENCANTO BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,"L, PM",JESSICA BARAJAS,619-263-6407,OPEN
4305,2018-06-14,2018-08-24,2018,RON ROBERTS BRANCH (FORMERLY LINDA VISTA BRANCH),BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,"L, PM",HUY NGUYEN,858-277-6670,OPEN
4273,2018-06-06,2018-08-14,2018,CONRAD PREBYS ESCONDIDO,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,"L, PM",DAVE LUEVANOS,760-746-3315,OPEN
4297,2018-06-11,2018-07-20,2018,PAYNE FAMILY BRANCH (FORMERLY NATIONAL CITY BRANCH),BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,"L, PM",SOMMER CARTIER,619-477-5445,OPEN
4301,2018-07-10,2018-08-17,2018,RAMONA BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,"L, PM",SIMONE MCCUNE,760-789-8203,OPEN
4313,2018-06-18,2018-08-24,2018,WILLIAM J OAKES BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,"L, PM",RICARDO SANDOVAL,619-525-1739,OPEN
4265,2018-06-15,2018-08-22,2018,BRONNER BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,"L, PM",KALEIKAUMAKA ORNELLAS,760-749-9822,OPEN
4309,2018-06-13,2018-08-21,2018,SULPIZIO FAMILY BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,"L, PM",JACOB HALE,858-748-9933,OPEN
5153,2018-06-18,2018-08-17,2018,BGC KUMEYAAY NATION,BOYS & GIRLS CLUBS OF AMERICA,10,"B, L",ALISON SUH,619-445-1188,CLOSED
5161,2018-06-06,2018-07-20,2018,IMPERIAL BEACH,BOYS & GIRLS CLUBS OF AMERICA,10,"B, S",AARON RUIZ,619-422-2664,CLOSED
