"academicyear","countycode","districtcode","schoolcode","countyname","districname","schoolname","districttype","schooltype","educationaloptiontype","nslpstatus","ischarterschool","charterschoolnumber","charterfundingtype","isirc","lowgrade","highgrade","enrollment_k-12","freemealcount_k-12","percenteligiblefree_k-12","frpmcount_k-12","percenteligiblefrpm_k-12","enrollment_5-17","freemealcount_5-17","percenteligiblefree_5-17","frpmcount_5-17","percenteligiblefrpm_5-17","iscalpadscertified","schooltypegroup"
"2017-2018",37,10371,115998,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SAN PASQUAL ACADEMY","County Office of Education (COE)","Juvenile Court Schools","JUVENILE COURT SCHOOL",NA,NA,NA,NA,FALSE,"9","12",63,63,100,63,100,56,56,100,56,100,TRUE,"Other"
"2017-2018",37,10371,120485,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","DAVILA DAY","County Office of Education (COE)","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL",NA,NA,NA,NA,FALSE,"P","8",33,8,24.2,8,24.2,30,8,26.7,8,26.7,TRUE,"Other"
"2017-2018",37,10371,120493,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","MONARCH","County Office of Education (COE)","County Community","COUNTY COMMUNITY SCHOOL",NA,NA,NA,NA,FALSE,"K","12",273,273,100,273,100,266,266,100,266,100,TRUE,"Other"
"2017-2018",37,10371,128520,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SAN DIEGO COUNTY COMMUNITY","County Office of Education (COE)","County Community","COUNTY COMMUNITY SCHOOL",NA,NA,NA,NA,FALSE,"K","12",580,468,80.7,474,81.7,405,332,82,337,83.2,TRUE,"Other"
"2017-2018",37,10371,128538,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SAN DIEGO COUNTY COURT","County Office of Education (COE)","Juvenile Court Schools","JUVENILE COURT SCHOOL",NA,NA,NA,NA,FALSE,"K","12",387,387,100,387,100,351,351,100,351,100,TRUE,"Other"
"2017-2018",37,10371,136085,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SCHOLARSHIP PREP - OCEANSIDE","County Office of Education (COE)","Elementary Schools (Public)","TRADITIONAL",NA,NA,1883,"DIRECTLY FUNDED",TRUE,"K","8",236,94,39.8,105,44.5,229,93,40.6,104,45.4,TRUE,"Elementary School"
"2017-2018",37,10371,136192,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SCHOOL OF UNIVERSAL LEARNING (SOUL)","County Office of Education (COE)","High Schools (Public)","TRADITIONAL",NA,NA,1872,"DIRECTLY FUNDED",TRUE,"7","12",41,9,22,9,22,41,9,22,9,22,TRUE,"High School"
"2017-2018",37,10371,1996545,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","NORTH COASTAL CONSORTIUM SCHOOLS","County Office of Education (COE)","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL",NA,NA,NA,NA,FALSE,"P","12",89,30,33.7,30,33.7,80,27,33.8,27,33.8,TRUE,"Other"
"2017-2018",37,10371,6069355,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SAN DIEGO COUNTY SPECIAL EDUCATION","County Office of Education (COE)","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL",NA,NA,NA,NA,FALSE,"K","12",40,5,12.5,5,12.5,29,4,13.8,4,13.8,TRUE,"Other"
"2017-2018",37,10371,6119119,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","LITERACY FIRST CHARTER","County Office of Education (COE)","K-12 Schools (Public)","TRADITIONAL",NA,NA,405,"DIRECTLY FUNDED",TRUE,"K","12",1680,748,44.5,831,49.5,1669,743,44.5,826,49.5,TRUE,"Elementary School"
