siteid,academicyear,schoolname,districtname,schooltype,nslpstatus,ischarterschool,charterschoolnumber,charterfundingtype,isirc,lowgrade,highgrade,enrollment_k-12,freemealcount_k-12,frpmcount_k-12,enrollment_5-17,freemealcount_5-17,frpmcount_5-17,iscalpadscertified,schooltypegroup,districttype,educationaloptiontype,districtcode,schoolcode
481,2014-2015,CARDIFF ELEMENTARY,CARDIFF ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,K,3,361,36,40,346,36,39,TRUE,Elementary School,Elementary School District,TRADITIONAL,68007,6037766
3841,2014-2015,SYCAMORE RIDGE,DEL MAR UNION ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,K,6,500,26,47,499,26,47,TRUE,Elementary School,Elementary School District,TRADITIONAL,68056,110114
1173,2014-2015,FALLBROOK HIGH,FALLBROOK UNION HIGH,High Schools (Public),,FALSE,,,FALSE,9,12,2183,1062,1246,2032,969,1145,TRUE,High School,High School District,TRADITIONAL,68122,3732179
2009,2014-2015,LA PRESA MIDDLE,LA MESA-SPRING VALLEY,Intermediate/Middle Schools (Public),,FALSE,,,FALSE,7,8,530,372,450,530,372,450,TRUE,Middle School,Elementary School District,TRADITIONAL,68197,6067003
297,2014-2015,BLACK MOUNTAIN MIDDLE,POWAY UNIFIED,Intermediate/Middle Schools (Public),,FALSE,,,FALSE,6,8,1275,210,294,1275,210,294,TRUE,Middle School,Unified School District,TRADITIONAL,68296,6093223
93,2014-2015,ALPINE ELEMENTARY,ALPINE UNION ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,1,5,384,111,149,384,111,149,TRUE,Elementary School,Elementary School District,TRADITIONAL,67967,6037519
1873,2014-2015,KELLOGG (KARL H.) ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,6,306,161,223,296,156,217,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6037923
1193,2014-2015,FARR AVENUE ELEMENTARY,ESCONDIDO UNION,Elementary Schools (Public),,FALSE,,,FALSE,K,5,691,585,646,677,573,633,TRUE,Elementary School,Elementary School District,TRADITIONAL,68098,102608
2869,2014-2015,OAK GROVE MIDDLE,JAMUL-DULZURA UNION ELEMENTARY,Intermediate/Middle Schools (Public),,FALSE,,,FALSE,6,8,216,52,66,216,52,66,TRUE,Middle School,Elementary School District,TRADITIONAL,68155,6097182
21,2014-2015,ACADEMY OF ARTS AND SCIENCES: DEL MAR MIDDLE & HIGH (6-12),MOUNTAIN EMPIRE UNIFIED,K-12 Schools (Public),,TRUE,1454,DIRECTLY FUNDED,TRUE,6,12,172,45,59,160,45,58,TRUE,Elementary School,Unified School District,TRADITIONAL,68213,127084
