name,alt_names,is_district 
A B VINES MINISTRIES,A B VINES MINISTRIES,FALSE
A PLACE OF OUR OWN CHILD,A PLACE OF OUR OWN CHILD,FALSE
ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMIES,FALSE
"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS SCIENCES (AEALAS)","ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS SCIENCES (AEALAS)",FALSE
ALL KIDS ACADEMY HEAD START INC.,ALL KIDS ACADEMY HEAD START INC.,FALSE
ALPINE UNION ELEMENTARY,ALPINE UNION ELEMENTARY,TRUE
AMERICA'S FINEST CHARTER  SCHOOL,AMERICA'S FINEST CHARTER  SCHOOL,FALSE
AMERICARE ADHC INC,AMERICARE ADHC INC,FALSE
ASSOC STUDENTS CSU SAN DIEGO CHILDRENS CENTER,ASSOC STUDENTS CSU SAN DIEGO CHILDRENS CENTER,FALSE
ATC PACIFIC LLC,ATC PACIFIC LLC,FALSE
"BEACON CLASSICAL ACADEMY, INC.","BEACON CLASSICAL ACADEMY, INC.",FALSE
BELLA MENTE CHARTER SCHOOL,BELLA MENTE CHARTER SCHOOL,FALSE
BONSALL UNIFIED,BONSALL UNIFIED,TRUE
BORREGO SPRINGS UNIFIED,BORREGO SPRINGS UNIFIED,TRUE
BOYS & GIRLS CLUB OF GREATER SAN DIEGO,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,FALSE
BOYS & GIRLS CLUB OF IMPERIAL BEACH,BOYS & GIRLS CLUB OF IMPERIAL BEACH,FALSE
"BOYS & GIRLS CLUBS OF OCEANSIDE, CALIFORNIA, INCORPORATED","BOYS & GIRLS CLUBS OF OCEANSIDE, CALIFORNIA, INCORPORATED",FALSE
BOYS CLUB OF FALLBROOK,BOYS CLUB OF FALLBROOK,FALSE
BUILDING BETTER COMMUNITIES,BUILDING BETTER COMMUNITIES,FALSE
CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE
CALVIN CHRISTIAN SCHOOL,CALVIN CHRISTIAN SCHOOL,FALSE
"CAMP OLIVER, INC.","CAMP OLIVER, INC.",FALSE
CARDIFF ELEMENTARY,CARDIFF ELEMENTARY,TRUE
CARLSBAD UNIFIED,CARLSBAD UNIFIED,TRUE
CENTER FOR POSITIVE CHANGES INC.,CENTER FOR POSITIVE CHANGES INC.,FALSE
CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE
CIRCLE OF FRIENDS,CIRCLE OF FRIENDS,FALSE
CITY HEIGHTS PREPARATORY CHARTER SCHOOL,CITY HEIGHTS PREPARATORY CHARTER SCHOOL,FALSE
COLEMAN TECH CHARTER HIGH SCHOOL,COLEMAN TECH CHARTER HIGH SCHOOL,FALSE
CORONADO UNIFIED,CORONADO UNIFIED,TRUE
CSU SAN DIEGO (BEST),CSU SAN DIEGO (BEST),FALSE
DEHESA ELEMENTARY,DEHESA ELEMENTARY,TRUE
DEL MAR UNION ELEMENTARY,DEL MAR UNION ELEMENTARY,TRUE
DINO DAY CARE INC,DINO DAY CARE INC,FALSE
EJE ACADEMIES,EJE ACADEMIES,FALSE
EMPOWER CHARTER SCHOOL,EMPOWER CHARTER SCHOOL,FALSE
ENCINITAS UNION ELEMENTARY,ENCINITAS UNION ELEMENTARY,TRUE
EPIPHANY PREP SCHOOL OF SAN DIEGO,EPIPHANY PREP SCHOOL OF SAN DIEGO,FALSE
ESCONDIDO UNION,ESCONDIDO UNION,TRUE
ESCONDIDO UNION HIGH,"ESCONDIDO UNION HIGH, ESCONDIDO UNION HIGH SCHOOL DISTRICT",TRUE
EXPLORER ELEMENTARY CHARTER SCHOOL,EXPLORER ELEMENTARY CHARTER SCHOOL,FALSE
FALLBROOK UNION ELEMENTARY,FALLBROOK UNION ELEMENTARY,TRUE
FALLBROOK UNION HIGH,FALLBROOK UNION HIGH,TRUE
FALLBROOK CHILD DEVELOP CENTER,FALLBROOK CHILD DEVELOP CENTER,FALSE
FEEDING AMERICA SAN DIEGO,FEEDING AMERICA SAN DIEGO,FALSE
GOOD SHEPHERD CATHOLIC SCHOOL,GOOD SHEPHERD CATHOLIC SCHOOL,FALSE
GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,TRUE
GUAJOME PARK ACADEMY INC,GUAJOME PARK ACADEMY INC,FALSE
"HARRIET TUBMAN VILLAGE CHARTER SCHOOL, INC.","HARRIET TUBMAN VILLAGE CHARTER SCHOOL, INC.",FALSE
"HAWKING STEAM CHARTER SCHOOLS, INC.","HAWKING STEAM CHARTER SCHOOLS, INC.",FALSE
HEAVEN'S WINDOWS,HEAVEN'S WINDOWS,FALSE
HOLY TRINITY SCHOOL,HOLY TRINITY SCHOOL,FALSE
HOWARD GARDNER COMMUNITY SCHOOL,HOWARD GARDNER COMMUNITY SCHOOL,FALSE
INTEGRITY CHARTER SCHOOL,INTEGRITY CHARTER SCHOOL,FALSE
JAMUL-DULZURA UNION ELEMENTARY,JAMUL-DULZURA UNION ELEMENTARY,TRUE
JULIAN UNION ELEMENTARY,JULIAN UNION ELEMENTARY,TRUE
JULIAN UNION HIGH,JULIAN UNION HIGH,TRUE
KAREN ORGANIZATION OF SAN DIEGO,KAREN ORGANIZATION OF SAN DIEGO,FALSE
LA JOLLA BAND OF LUISENO,LA JOLLA BAND OF LUISENO,FALSE
LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,TRUE
LAKESIDE UNION ELEMENTARY,LAKESIDE UNION ELEMENTARY,TRUE
LEMON GROVE,LEMON GROVE,TRUE
LEONARDO DA VINCI HEALTH SCIENCES CHARTER SCHOOL,LEONARDO DA VINCI HEALTH SCIENCES CHARTER SCHOOL,FALSE
MOUNTAIN EMPIRE UNIFIED,MOUNTAIN EMPIRE UNIFIED,TRUE
NATIONAL ELEMENTARY,NATIONAL ELEMENTARY,TRUE
"NATIVITY PREP ACADEMY, INC.","NATIVITY PREP ACADEMY, INC.",FALSE
"NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS","NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS",FALSE
NEW ALTERNATIVES,NEW ALTERNATIVES,FALSE
NEW HAVEN YOUTH AND FAMILY SERVICES,NEW HAVEN YOUTH AND FAMILY SERVICES,FALSE
NORTH COUNTY TRADE TECH HIGH SCHOOL,NORTH COUNTY TRADE TECH HIGH SCHOOL,FALSE
OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE
OUR LADY SACRED HEART SCHOOL,OUR LADY SACRED HEART SCHOOL,FALSE
PHOENIX HOUSE SAN DIEGO INC,PHOENIX HOUSE SAN DIEGO INC,FALSE
POWAY UNIFIED,POWAY UNIFIED,TRUE
PROJECT SELF SUFFICIENCY TREATMENT,PROJECT SELF SUFFICIENCY TREATMENT,FALSE
RAMONA CITY UNIFIED,RAMONA CITY UNIFIED,TRUE
RANCHO SANTA FE ELEMENTARY,RANCHO SANTA FE ELEMENTARY,TRUE
SALVATION ARMY-SAN DIEGO A CALIFORNIA CORPORATION,SALVATION ARMY-SAN DIEGO A CALIFORNIA CORPORATION,FALSE
SAN DIEGO CENTER FOR CHILDREN,SAN DIEGO CENTER FOR CHILDREN,FALSE
SAN DIEGO CO PROBATION DEPT,SAN DIEGO CO PROBATION DEPT,FALSE
SAN DIEGO COUNTY DEPT. OF SOCIAL SERVICES,SAN DIEGO COUNTY DEPT. OF SOCIAL SERVICES,FALSE
SAN DIEGO COUNTY OFFICE OF EDUCATION,SAN DIEGO COUNTY OFFICE OF EDUCATION,FALSE
SAN DIEGO IMPERIAL COUNCIL BSA,SAN DIEGO IMPERIAL COUNCIL BSA,FALSE
SAN DIEGO STATE UNIVERSITY RESEARCH FOUNDATION,SAN DIEGO STATE UNIVERSITY RESEARCH FOUNDATION,FALSE
SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE
SAN DIEGUITO UNION HIGH,SAN DIEGUITO UNION HIGH,TRUE
SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,TRUE
SAN PASQUAL UNION ELEMENTARY,SAN PASQUAL UNION ELEMENTARY,TRUE
SAN YSIDRO ELEMENTARY,SAN YSIDRO ELEMENTARY,TRUE
SANTEE,SANTEE,TRUE
SBC - HIGH TECH HIGH,"SBC - HIGH TECH HIGH, HIGH TECH HIGH CHARTER SCHOOL",FALSE
SBE - AUDEO CHARTER II,SBE - AUDEO CHARTER II,FALSE
SBE - BAYPOINT PREPARATORY ACADEMY SAN DIEGO,SBE - BAYPOINT PREPARATORY ACADEMY SAN DIEGO,FALSE
SBE - COLLEGE PREPARATORY MIDDLE - LA MESA SPRING VALLEY,SBE - COLLEGE PREPARATORY MIDDLE - LA MESA SPRING VALLEY,FALSE
SBE - GROSSMONT SECONDARY,SBE - GROSSMONT SECONDARY,FALSE
SBE - SWEETWATER SECONDARY,SBE - SWEETWATER SECONDARY,FALSE
SBE - THRIVE PUBLIC,"SBE - THRIVE PUBLIC, THRIVE PUBLIC SCHOOLS",FALSE
SBE - VISTA SPRINGS CHARTER,SBE - VISTA SPRINGS CHARTER,FALSE
SHILOAH SPRINGS BIBLE RETREAT,SHILOAH SPRINGS BIBLE RETREAT,FALSE
SOLANA BEACH ELEMENTARY,SOLANA BEACH ELEMENTARY,TRUE
SOUTH BAY UNION,SOUTH BAY UNION,TRUE
SPENCER VALLEY ELEMENTARY,SPENCER VALLEY ELEMENTARY,TRUE
ST DIDACUS SCHOOL,ST DIDACUS SCHOOL,FALSE
ST MICHAELS SCHOOL,ST MICHAELS SCHOOL,FALSE
ST PATRICKS SCHOOL,ST PATRICKS SCHOOL,FALSE
ST RITAS SCHOOL,ST RITAS SCHOOL,FALSE
SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE
THRIVE PUBLIC SCHOOLS,THRIVE PUBLIC SCHOOLS,FALSE
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","UNIVERSITY OF CALIFORNIA, SAN DIEGO",FALSE
UNIVERSITY OF SAN DIEGO TRIO UPWARD BOUND,UNIVERSITY OF SAN DIEGO TRIO UPWARD BOUND,
VALLECITOS ELEMENTARY,VALLECITOS ELEMENTARY,TRUE
VALLEY CENTER-PAUMA UNIFIED,VALLEY CENTER-PAUMA UNIFIED,TRUE
VISTA UNIFIED,VISTA UNIFIED,TRUE
"VISTA, CITY OF","VISTA, CITY OF",FALSE
VOLUNTEERS OF AMERICA,VOLUNTEERS OF AMERICA,FALSE
"WAHUPA EDUCATIONAL ENTERPRISES, INC","WAHUPA EDUCATIONAL ENTERPRISES, INC",FALSE
WARNER UNIFIED,WARNER UNIFIED,TRUE
YMCA OF SAN DIEGO COUNTY,YMCA OF SAN DIEGO COUNTY,FALSE
CA RELIABLE MEDICAL SYSTEMS INC,CA RELIABLE MEDICAL SYSTEMS INC,FALSE
CASA DE AMPARO,CASA DE AMPARO,FALSE
CENTRO DE SALUD DE LA,CENTRO DE SALUD DE LA,FALSE
CHICANO FEDERATION OF SAN DIEGO COUNTY INC,CHICANO FEDERATION OF SAN DIEGO COUNTY INC,FALSE
CHILD DEVELOPMENT ASSOC INC,CHILD DEVELOPMENT ASSOC INC,FALSE
CHILDREN OF THE RAINBOW INC,CHILDREN OF THE RAINBOW INC,FALSE
CHILDRENS PARADISE INC,CHILDRENS PARADISE INC,FALSE
