site_id,sitename,district,is_school,school_code,district_code
1,1ST SAMOAN CONGREGATIONAL CHURCH,,0,,
2,37 ECB,,,,
3,64 DEGREES,,,,
4,A.B & JESSIE POLINSKY CHILDREN'S CENTER,,0,,
5,ABBY REINKE YOUTH CENTER,,0,,
6,ABRAXAS CONTINUATION HIGH,POWAY UNIFIED,1,3735842,68296
7,ACADEMY OF ARTS AND SCIENCES,MOUNTAIN EMPIRE UNIFIED,1,127084,68213
8,ACADEMY OF ARTS AND SCIENCES: DEL MAR ELEMENTARY (K-5),MOUNTAIN EMPIRE UNIFIED,1,127068,68213
9,ACADEMY OF ARTS AND SCIENCES: DEL MAR MIDDLE & HIGH (6-12),MOUNTAIN EMPIRE UNIFIED,1,127084,68213
10,ACADEMY OF ARTS AND SCIENCES: EL CAJON ELEMENTARY (K-5),MOUNTAIN EMPIRE UNIFIED,1,127035,68213
11,ACADEMY OF ARTS AND SCIENCES: EL CAJON MIDDLE AND HIGH (6-12),MOUNTAIN EMPIRE UNIFIED,1,127050,68213
12,ADA W. HARRIS ELEMENTARY,CARDIFF ELEMENTARY,1,6037758,68007
13,ADAMS ELEMENTARY,SAN DIEGO UNIFIED,1,6039101,68338
14,ADAMS REC CENTER,,0,,
15,ADMIRAL HARTMAN CYP,,0,,
16,ADOBE BLUFFS ELEMENTARY,POWAY UNIFIED,1,6110878,68296
17,AL RAHMA LEARNING CENTER,,,,
18,ALAMOSA PARK ELEMENTARY,VISTA UNIFIED,1,6107031,68452
19,ALBA,,1,3731130,68338
20,ALBA-ANNEX,SAN DIEGO UNIFIED,1,,
21,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,SAN DIEGO UNIFIED,1,6120935,68338
22,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,SAN DIEGO UNIFIED,1,111898,68338
23,ALBERT EINSTEIN ACADEMY ELEMENTARY,,1,,
24,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS & SCIENCES - AGUA DULC",,1,,
25,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS & SCIENCES - ODYSSEY",,1,,
26,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS AND SCIENCES",,1,,
27,ALCOTT ELEMENTARY,SAN DIEGO UNIFIED,1,6039119,68338
28,ALL TRIBES CHARTER,WARNER UNIFIED,1,6119275,75416
29,ALL TRIBES ELEMENTARY CHARTER,WARNER UNIFIED,1,122796,75416
30,ALLEN (ELLA B.) ELEMENTARY,CHULA VISTA ELEMENTARY,1,6037832,68023
31,ALLIED GARDENS PARK & REC,,0,,
32,ALPINE COMMUNITY DAY,ALPINE UNION ELEMENTARY,1,,
33,ALPINE ELEMENTARY,ALPINE UNION ELEMENTARY,1,6037519,67967
34,ALTA VISTA ACADEMY,SWEETWATER UNION HIGH,1,3731460,68411
35,ALTA VISTA HIGH (CONTINUATION),VISTA UNIFIED,1,3732039,68452
36,ALVIN M. DUNN ELEMENTARY,SAN MARCOS UNIFIED,1,6039069,73791
37,AMERICA'S FINEST CHARTER,SAN DIEGO UNIFIED,1,136663,68338
38,AMERICA'S FINEST CHARTER HIGH,SAN DIEGO UNIFIED,1,,
39,ANGIER ELEMENTARY,SAN DIEGO UNIFIED,1,6039135,68338
40,ANZA ELEMENTARY,CAJON VALLEY UNION,1,6037568,67991
41,ARROYO PASEO CHARTER HIGH,SAN DIEGO UNIFIED,1,114520,68338
42,ARROYO VISTA CHARTER,CHULA VISTA ELEMENTARY,1,6116859,68023
43,ASELTINE,,1,,
44,ASHLEY FALLS ELEMENTARY,DEL MAR UNION ELEMENTARY,1,6115620,68056
45,ATMOSPHERE APARTMENTS,,0,,
46,AUDEO CHARTER,SAN DIEGO UNIFIED,1,3731395,68338
47,AUDEO CHARTER II,SBE - AUDEO CHARTER II,1,134577,77032
48,AUDEO CHARTER SCHOOL III,ESCONDIDO UNION HIGH,1,137034,68106
49,AUDUBON K-8,SAN DIEGO UNIFIED,1,6039143,68338
50,AUTUMN,,1,,
51,AVIARA OAKS ELEMENTARY,CARLSBAD UNIFIED,1,6109201,73551
52,AVIARA OAKS MIDDLE,CARLSBAD UNIFIED,1,6118137,73551
53,AVOCADO ELEMENTARY,CAJON VALLEY UNION,1,6069082,67991
54,AVONDALE ELEMENTARY,LA MESA-SPRING VALLEY,1,6038400,68197
55,AVVY REINKE YOUTH CENTER,,0,,
56,AZELEA REC CENTER,,0,,
57,BAKER BRANCH,,0,,
58,BAKER ELEMENTARY,SAN DIEGO UNIFIED,1,6039150,68338
59,BALBOA CITY SCHOOL-ANNEX,,1,,
60,BALBOA ELEMENTARY,SAN DIEGO UNIFIED,1,6039168,68338
61,BALBOA MORLEY FIELD SPORTS COMPLEX,,0,,
62,BALDERRAMA COMMUNITY CENTER,,0,,
63,BALDERRAMA PARK,,0,,
64,BALLINGTON ACADEMY FOR THE ARTS AND SCIENCES,,1,,
65,BALLINGTON ACADEMY FOR THE ARTS AND SCIENCES - SAN BERNARDINO,,1,,
66,BAME CDC,,0,,
67,BANCROFT ELEMENTARY,LA MESA-SPRING VALLEY,1,6038418,68197
68,BANDINI PRIMARY,SAN DIEGO UNIFIED,1,,
69,BARNARD ELEMENTARY,SAN DIEGO UNIFIED,1,6039184,68338
70,BARNETT ELEMENTARY,RAMONA CITY UNIFIED,1,6110720,68304
71,BARONA INDIAN CHARTER,LAKESIDE UNION ELEMENTARY,1,6120901,68189
72,BARONA RECREATION CENTER,,0,,
73,BARRETT,,,,
74,BAY PARK ELEMENTARY,SAN DIEGO UNIFIED,1,6039200,68338
75,BAY POINT PRE K,,1,,
76,BAY VIEW CYP,,0,,
77,BAYPOINT PREPARATORY ACADEMY - SAN DIEGO,SBE - BAYPOINT PREPARATORY ACADEMY SAN DIEGO,1,138099,77172
78,BAYSHORE PREPARATORY CHARTER,SAN MARCOS UNIFIED,1,109785,73791
79,BAYSIDE BLENDED COMMUNITY SCHOOL,,1,,
80,BAYSIDE COMMUNITY CENTER,,0,,
81,BAYSIDE ELEMENTARY,SOUTH BAY UNION,1,6040463,68395
82,BAYSIDE STEAM ACADEMY,SOUTH BAY UNION,1,6040463,68395
83,BAYVIEW CDC,,0,,
84,BEACON CLASSICAL ACADEMY ELEMENTARY CHARTER,JULIAN UNION ELEMENTARY,1,130815,68163
85,BEACON CLASSICAL ACADEMY NATIONAL CITY,NATIONAL ELEMENTARY,1,132621,68221
86,BEAR VALLEY MIDDLE,ESCONDIDO UNION,1,102590,68098
87,BEAUMONT ELEMENTARY,VISTA UNIFIED,1,6040588,68452
88,BELL MIDDLE,SAN DIEGO UNIFIED,1,6059588,68338
89,BELLA MENTE MONTESSORI ACADEMY,VISTA UNIFIED,1,128223,68452
90,BENCHLEY/WEINBERGER ELEMENTARY,SAN DIEGO UNIFIED,1,6040299,68338
91,BERNARDO ELEMENTARY,ESCONDIDO UNION,1,107870,68098
92,BERNARDO HEIGHTS MIDDLE,POWAY UNIFIED,1,6107460,68296
93,BERRY STREET PARK,,0,,
94,BEST SUMMER BRIDGE 2010,,0,,
95,BETHUNE K-8,SAN DIEGO UNIFIED,1,6106173,68338
96,BGC KUMEYAAY NATION,,,,
97,BGCSC- CHULA VISTA BRANCH,,0,,
98,BIRD ROCK ELEMENTARY,SAN DIEGO UNIFIED,1,6039242,68338
99,BIRNEY ELEMENTARY,SAN DIEGO UNIFIED,1,6039259,68338
100,BLACK MOUNTAIN MIDDLE,POWAY UNIFIED,1,6093223,68296
101,BLESSED SACRAMENT ELEMENTARY,GROSSMONT UNION HIGH,1,,
102,BLESSED SACRAMENT PARISH SCHOOL,,,,
103,BLOSSOM VALLEY ELEMENTARY,CAJON VALLEY UNION,1,6112148,67991
104,BOBIER ELEMENTARY,VISTA UNIFIED,1,6040596,68452
105,BONITA VISTA MIDDLE,SWEETWATER UNION HIGH,1,6059745,68411
