"fnsreportdate","academicyear","programcode","programgroupyear","county","sponsorname","siteid","sitename","mealtypecode","daysservedqty","mlsservedfree","mlsservedredc","mlsservedpaid","mlsservedtotal"
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"JACK & CAROL CLARK ADOLESCENT TREATMENT PROGRAM","NSLP_BREAKFAST_SEVERENEED",30,621,0,0,621
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"JACK & CAROL CLARK ADOLESCENT TREATMENT PROGRAM","NSLP_LUNCH",30,237,0,0,237
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"JACK & CAROL CLARK ADOLESCENT TREATMENT PROGRAM","NSLP_SNACK_AREAELIGIBLE",18,412,0,0,412
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"S.D.C.F.C.-SAN DIEGO CENTER FOR CHILDREN","NSLP_BREAKFAST_SEVERENEED",30,801,0,0,801
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"S.D.C.F.C.-SAN DIEGO CENTER FOR CHILDREN","NSLP_LUNCH",30,320,0,0,320
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"S.D.C.F.C.-SAN DIEGO CENTER FOR CHILDREN","NSLP_SNACK_AREAELIGIBLE",30,533,0,0,533
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"SAN DIEGO CENTER FOR CHILDREN","NSLP_BREAKFAST_SEVERENEED",18,171,47,86,304
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"SAN DIEGO CENTER FOR CHILDREN","NSLP_LUNCH",18,731,69,110,910
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"BAYSIDE BLENDED COMMUNITY SCHOOL","NSLP_BREAKFAST_SEVERENEED",22,219,0,94,313
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"BAYSIDE BLENDED COMMUNITY SCHOOL","NSLP_LUNCH",22,214,0,92,306
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"CAMP CUYAMACA","NSLP_BREAKFAST",16,492,173,3580,4245
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"CAMP CUYAMACA","NSLP_LUNCH",19,650,226,4360,5236
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"CHOICE COMMUNITY SCHOOL","NSLP_BREAKFAST_SEVERENEED",22,296,0,76,372
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"CHOICE COMMUNITY SCHOOL","NSLP_LUNCH",22,296,0,76,372
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"CTEC INDEPENDENT STUDY","NSLP_LUNCH",22,161,1,54,216
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"FIRST AVENUE LITERACY COMMUNITY SCHOOL","NSLP_BREAKFAST_SEVERENEED",22,90,4,9,103
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"FIRST AVENUE LITERACY COMMUNITY SCHOOL","NSLP_LUNCH",22,137,3,10,150
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"METRO COMMUNITY SCHOOLS","NSLP_BREAKFAST_SEVERENEED",22,968,44,152,1164
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"METRO COMMUNITY SCHOOLS","NSLP_LUNCH",22,1442,78,253,1773
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"METRO TECH ACADEMY BLENDED COMMUNITY SCHOOL","NSLP_BREAKFAST_SEVERENEED",22,93,17,4,114
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"METRO TECH ACADEMY BLENDED COMMUNITY SCHOOL","NSLP_LUNCH",22,88,17,4,109
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"MIRA MESA COMMUNITY SCHOOL","NSLP_BREAKFAST_SEVERENEED",22,111,0,145,256
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"MIRA MESA COMMUNITY SCHOOL","NSLP_LUNCH",22,111,0,145,256
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"SECOND CHANCE INDEPENDENT STUDY","NSLP_LUNCH",22,231,11,63,305
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"SPORTS SCIENCE ACADEMY","NSLP_BREAKFAST_SEVERENEED",22,325,0,159,484
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"SPORTS SCIENCE ACADEMY","NSLP_LUNCH",22,325,0,159,484
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"TEEN OPTIONS INDEPENDENT STUDY","NSLP_LUNCH",22,157,0,0,157
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"THURGOOD MARSHALL COMMUNITY SCHOOL","NSLP_BREAKFAST_SEVERENEED",22,364,4,153,521
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"THURGOOD MARSHALL COMMUNITY SCHOOL","NSLP_LUNCH",22,743,5,368,1116
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"UNIVERSITY COMMUNITY SCHOOL","NSLP_BREAKFAST_SEVERENEED",22,163,0,18,181
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"UNIVERSITY COMMUNITY SCHOOL","NSLP_LUNCH",22,163,0,18,181
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"YOUTH DAY CENTER","NSLP_BREAKFAST_SEVERENEED",22,229,0,0,229
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"YOUTH DAY CENTER","NSLP_LUNCH",22,229,0,0,229
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO CO PROBATION DEPT",NA,"BARRETT","NSLP_BREAKFAST_SEVERENEED",30,1923,0,0,1923
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO CO PROBATION DEPT",NA,"BARRETT","NSLP_LUNCH",30,1893,0,0,1893
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO CO PROBATION DEPT",NA,"EAST MESA JUVENILE DETENTION FACILITY","NSLP_BREAKFAST_SEVERENEED",30,4559,0,0,4559
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO CO PROBATION DEPT",NA,"EAST MESA JUVENILE DETENTION FACILITY","NSLP_LUNCH",30,4379,0,0,4379
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO CO PROBATION DEPT",NA,"GIRLS REHABILITATION","NSLP_BREAKFAST_SEVERENEED",30,975,0,0,975
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO CO PROBATION DEPT",NA,"GIRLS REHABILITATION","NSLP_LUNCH",30,963,0,0,963
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO CO PROBATION DEPT",NA,"JUVENILE HALL","NSLP_BREAKFAST_SEVERENEED",30,5453,0,0,5453
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO CO PROBATION DEPT",NA,"JUVENILE HALL","NSLP_LUNCH",30,5519,0,0,5519
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO CO PROBATION DEPT",NA,"MOUNTAIN REGION COURT (JUVENILE RANCH FACILITY)","NSLP_BREAKFAST_SEVERENEED",30,2195,0,0,2195
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO CO PROBATION DEPT",NA,"MOUNTAIN REGION COURT (JUVENILE RANCH FACILITY)","NSLP_LUNCH",30,2156,0,0,2156
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY DEPT. OF SOCIAL SERVICES",NA,"A.B & JESSIE POLINSKY CHILDREN'S CENTER","NSLP_BREAKFAST_SEVERENEED",30,1084,0,0,1084
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO COUNTY DEPT. OF SOCIAL SERVICES",NA,"A.B & JESSIE POLINSKY CHILDREN'S CENTER","NSLP_LUNCH",30,948,0,0,948
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","YMCA OF SAN DIEGO COUNTY",NA,"CAMP MARSTON","NSLP_MILK",29,0,0,1536,1536
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","YMCA OF SAN DIEGO COUNTY",NA,"CAMP SURF","NSLP_MILK",29,0,0,432,432
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","YMCA OF SAN DIEGO COUNTY",NA,"NORTH COAST PROJECT OZ","NSLP_BREAKFAST_SEVERENEED",30,110,0,0,110
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","YMCA OF SAN DIEGO COUNTY",NA,"NORTH COAST PROJECT OZ","NSLP_LUNCH",30,103,0,0,103
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","YMCA OF SAN DIEGO COUNTY",NA,"OZ-SAN DIEGO","NSLP_BREAKFAST_SEVERENEED",30,136,0,0,136
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","YMCA OF SAN DIEGO COUNTY",NA,"OZ-SAN DIEGO","NSLP_LUNCH",30,119,0,0,119
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","NEW HAVEN YOUTH AND FAMILY SERVICES",NA,"NEW HAVEN YOUTH AND FAMILY SERVICES","NSLP_LUNCH",30,361,0,0,361
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","NEW HAVEN YOUTH AND FAMILY SERVICES",NA,"NEW HAVEN-CONNIE GAYLE","NSLP_BREAKFAST_SEVERENEED",30,136,0,0,136
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","NEW HAVEN YOUTH AND FAMILY SERVICES",NA,"NEW HAVEN-CONNIE GAYLE","NSLP_LUNCH",30,55,0,0,55
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","NEW HAVEN YOUTH AND FAMILY SERVICES",NA,"NEW HAVEN-DEBRA LANE","NSLP_BREAKFAST_SEVERENEED",30,154,0,0,154
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","NEW HAVEN YOUTH AND FAMILY SERVICES",NA,"NEW HAVEN-DEBRA LANE","NSLP_LUNCH",30,35,0,0,35
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","NEW HAVEN YOUTH AND FAMILY SERVICES",NA,"NEW HAVEN-DURIAN HOUSE","NSLP_BREAKFAST_SEVERENEED",7,20,0,0,20
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","NEW HAVEN YOUTH AND FAMILY SERVICES",NA,"NEW HAVEN-DURIAN HOUSE","NSLP_LUNCH",7,4,0,0,4
2014-04-01,"2013-2014","NSLP",2014,"SAN DIEGO","NEW HAVEN YOUTH AND FAMILY SERVICES",NA,"NEW HAVEN-LUPE HOUSE","NSLP_BREAKFAST_SEVERENEED",30,111,0,0,111
