"ï..ClaimDate","academicyear","ProgramCode","ProgramGroupYear","County.Name","Name","siteid","SiteName","MealTypeCode","DaysServedQty","MlsServedFree","MlsServedRedc","MlsServedPaid","MlsServedTotal","report_date"
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Alpine Union Elementary School District",NA,"SHADOW HILLS ELEMENTARY","NSLP_LUNCH",13,65,20,4,89,"Alp 20ne"
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Bella Mente Charter School",NA,"Bella Mente Montessori Academy","NSLP_LUNCH",9,101,25,13,139,"Bel 20a "
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Bella Mente Charter School",NA,"Bella Mente Montessori Academy","NSLP_BREAKFAST_SEVERENEED",9,105,0,0,105,"Bel 20a "
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Bonsall Unified School District",NA,"Bonsall Elementary","NSLP_BREAKFAST_SEVERENEED",4,80,NA,33,113,"Bon 20al"
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Carlsbad Unified School District",NA,"CARLSBAD HIGH","NSLP_LUNCH",16,405,113,141,659,"Car 20sb"
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Chula Vista Elementary School District",NA,"Allen (Ella B.) Elementary","NSLP_LUNCH",9,470,199,787,1456,"Chu 20a "
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Chula Vista Elementary School District",NA,"Allen (Ella B.) Elementary","NSLP_BREAKFAST_SEVERENEED",9,208,88,196,492,"Chu 20a "
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Chula Vista Elementary School District",NA,"ARROYO VISTA CHARTER","NSLP_LUNCH",9,476,214,1738,2428,"Chu 20a "
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Chula Vista Elementary School District",NA,"ARROYO VISTA CHARTER","NSLP_BREAKFAST",9,152,49,310,511,"Chu 20a "
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Chula Vista Elementary School District",NA,"Camarena (Enrique S.) Elementary","NSLP_LUNCH",9,1137,467,3071,4675,"Chu 20a "
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Chula Vista Elementary School District",NA,"Camarena (Enrique S.) Elementary","NSLP_BREAKFAST",9,270,116,354,740,"Chu 20a "
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Chula Vista Elementary School District",NA,"Casillas (Joseph) Elementary","NSLP_LUNCH",9,668,241,727,1636,"Chu 20a "
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Chula Vista Elementary School District",NA,"Casillas (Joseph) Elementary","NSLP_BREAKFAST_SEVERENEED",9,434,120,374,928,"Chu 20a "
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Chula Vista Elementary School District",NA,"CASTLE PARK ELEMENTARY","NSLP_SNACK_AREAELIGIBLE",9,583,0,0,583,"Chu 20a "
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Chula Vista Elementary School District",NA,"CASTLE PARK ELEMENTARY","NSLP_LUNCH",9,2059,316,324,2699,"Chu 20a "
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Chula Vista Elementary School District",NA,"CASTLE PARK ELEMENTARY","NSLP_BREAKFAST_SEVERENEED",9,1173,153,87,1413,"Chu 20a "
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Chula Vista Elementary School District",NA,"CHULA VISTA HILLS ELEMENTARY","NSLP_LUNCH",9,572,375,936,1883,"Chu 20a "
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Chula Vista Elementary School District",NA,"CHULA VISTA HILLS ELEMENTARY","NSLP_BREAKFAST_SEVERENEED",9,300,146,302,748,"Chu 20a "
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Chula Vista Elementary School District",NA,"Chula Vista Learning Community Charter","NSLP_SNACK_AREAELIGIBLE",9,722,0,0,722,"Chu 20a "
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Chula Vista Elementary School District",NA,"Chula Vista Learning Community Charter","NSLP_LUNCH",9,2404,982,1489,4875,"Chu 20a "
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Chula Vista Elementary School District",NA,"Chula Vista Learning Community Charter","NSLP_BREAKFAST_SEVERENEED",9,1845,796,949,3590,"Chu 20a "
"Jul-17",NA,"NSLP",2018,"SAN DIEGO","Chula Vista Elementary School District",NA,"Clear View","NSLP_LUNCH",9,470,242,913,1625,"Chu 20a "
