"fnsreportdate","academicyear","programcode","programgroupyear","county","sponsorname","siteid","sitename","mealtypecode","daysservedqty","mlsservedfree","mlsservedredc","mlsservedpaid","mlsservedtotal"
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALBERT EINSTEIN ACADEMIES",NA,"ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY","NSLP_LUNCH","5",575,174,422,1171
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALBERT EINSTEIN ACADEMIES",NA,"ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY","NSLP_LUNCH","19",2457,712,1965,5134
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALBERT EINSTEIN ACADEMIES",NA,"ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY","NSLP_LUNCH","22",2995,832,2553,6380
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALBERT EINSTEIN ACADEMIES",NA,"ALBERT EINSTEIN ACADEMY CHARTER MIDDLE","NSLP_LUNCH","5",452,92,192,736
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALBERT EINSTEIN ACADEMIES",NA,"ALBERT EINSTEIN ACADEMY CHARTER MIDDLE","NSLP_LUNCH","19",2006,387,827,3220
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALBERT EINSTEIN ACADEMIES",NA,"ALBERT EINSTEIN ACADEMY CHARTER MIDDLE","NSLP_LUNCH","22",2222,493,1008,3723
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALPINE UNION ELEMENTARY",NA,"ALPINE ELEMENTARY","NSLP_LUNCH","10",382,118,96,596
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALPINE UNION ELEMENTARY",NA,"ALPINE ELEMENTARY","NSLP_LUNCH","19",762,225,179,1166
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALPINE UNION ELEMENTARY",NA,"ALPINE ELEMENTARY","NSLP_LUNCH","23",895,198,351,1444
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALPINE UNION ELEMENTARY",NA,"BOULDER OAKS ELEMENTARY","NSLP_LUNCH","10",368,51,211,630
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALPINE UNION ELEMENTARY",NA,"BOULDER OAKS ELEMENTARY","NSLP_LUNCH","19",860,108,584,1552
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALPINE UNION ELEMENTARY",NA,"BOULDER OAKS ELEMENTARY","NSLP_LUNCH","23",1101,172,787,2060
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALPINE UNION ELEMENTARY",NA,"CREEKSIDE EARLY LEARNING CENTER","NSLP_LUNCH","10",138,25,202,365
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALPINE UNION ELEMENTARY",NA,"CREEKSIDE EARLY LEARNING CENTER","NSLP_LUNCH","19",444,126,429,999
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALPINE UNION ELEMENTARY",NA,"CREEKSIDE EARLY LEARNING CENTER","NSLP_LUNCH","23",678,189,565,1432
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALPINE UNION ELEMENTARY",NA,"JOAN MACQUEEN MIDDLE","NSLP_LUNCH","10",550,125,431,1106
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALPINE UNION ELEMENTARY",NA,"JOAN MACQUEEN MIDDLE","NSLP_LUNCH","19",1127,273,854,2254
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALPINE UNION ELEMENTARY",NA,"JOAN MACQUEEN MIDDLE","NSLP_LUNCH","23",1311,312,1156,2779
2018-07-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALPINE UNION ELEMENTARY",NA,"SHADOW HILLS ELEMENTARY","NSLP_LUNCH","14",73,10,43,126
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALPINE UNION ELEMENTARY",NA,"SHADOW HILLS ELEMENTARY","NSLP_LUNCH","10",497,117,447,1061
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALPINE UNION ELEMENTARY",NA,"SHADOW HILLS ELEMENTARY","NSLP_LUNCH","19",1063,244,1005,2312
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","ALPINE UNION ELEMENTARY",NA,"SHADOW HILLS ELEMENTARY","NSLP_LUNCH","23",1298,267,1368,2933
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","BELLA MENTE CHARTER SCHOOL",NA,"BELLA MENTE MONTESSORI ACADEMY","NSLP_LUNCH","9",790,186,255,1231
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","BELLA MENTE CHARTER SCHOOL",NA,"BELLA MENTE MONTESSORI ACADEMY","NSLP_LUNCH","18",2071,484,569,3124
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","BELLA MENTE CHARTER SCHOOL",NA,"BELLA MENTE MONTESSORI ACADEMY","NSLP_LUNCH","22",2662,581,748,3991
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","BONSALL UNIFIED",NA,"BONSALL ELEMENTARY","NSLP_LUNCH","13",1323,317,1160,2800
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","BONSALL UNIFIED",NA,"BONSALL ELEMENTARY","NSLP_LUNCH","19",2362,563,1836,4761
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","BONSALL UNIFIED",NA,"BONSALL ELEMENTARY","NSLP_LUNCH","23",2846,545,2311,5702
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","BONSALL UNIFIED",NA,"BONSALL HIGH","NSLP_LUNCH","13",740,85,140,965
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","BONSALL UNIFIED",NA,"BONSALL HIGH","NSLP_LUNCH","19",1302,162,240,1704
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","BONSALL UNIFIED",NA,"BONSALL HIGH","NSLP_LUNCH","23",1563,181,290,2034
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","BONSALL UNIFIED",NA,"BONSALL WEST ELEMENTARY","NSLP_LUNCH","13",571,142,961,1674
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","BONSALL UNIFIED",NA,"BONSALL WEST ELEMENTARY","NSLP_LUNCH","19",942,255,1653,2850
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","BONSALL UNIFIED",NA,"BONSALL WEST ELEMENTARY","NSLP_LUNCH","23",1201,315,2167,3683
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","BONSALL UNIFIED",NA,"NORMAN L. SULLIVAN MIDDLE","NSLP_LUNCH","13",907,137,237,1281
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","BONSALL UNIFIED",NA,"NORMAN L. SULLIVAN MIDDLE","NSLP_LUNCH","19",1444,314,427,2185
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","BONSALL UNIFIED",NA,"NORMAN L. SULLIVAN MIDDLE","NSLP_LUNCH","23",1838,369,490,2697
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","BONSALL UNIFIED",NA,"VIVIAN BANKS CHARTER","NSLP_LUNCH","13",768,0,0,768
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","BONSALL UNIFIED",NA,"VIVIAN BANKS CHARTER","NSLP_LUNCH","19",1230,0,0,1230
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","BONSALL UNIFIED",NA,"VIVIAN BANKS CHARTER","NSLP_LUNCH","23",1546,0,0,1546
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","BORREGO SPRINGS UNIFIED",NA,"BORREGO SPRINGS ELEMENTARY","NSLP_LUNCH","5",704,0,121,825
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","BORREGO SPRINGS UNIFIED",NA,"BORREGO SPRINGS ELEMENTARY","NSLP_LUNCH","19",2670,0,459,3129
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","BORREGO SPRINGS UNIFIED",NA,"BORREGO SPRINGS ELEMENTARY","NSLP_LUNCH","23",3215,0,553,3768
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","BORREGO SPRINGS UNIFIED",NA,"BORREGO SPRINGS HIGH","NSLP_LUNCH","5",301,0,52,353
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","BORREGO SPRINGS UNIFIED",NA,"BORREGO SPRINGS HIGH","NSLP_LUNCH","19",1592,0,274,1866
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","BORREGO SPRINGS UNIFIED",NA,"BORREGO SPRINGS HIGH","NSLP_LUNCH","23",1689,0,290,1979
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","BORREGO SPRINGS UNIFIED",NA,"BORREGO SPRINGS MIDDLE","NSLP_LUNCH","5",282,0,49,331
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","BORREGO SPRINGS UNIFIED",NA,"BORREGO SPRINGS MIDDLE","NSLP_LUNCH","19",1177,0,202,1379
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","BORREGO SPRINGS UNIFIED",NA,"BORREGO SPRINGS MIDDLE","NSLP_LUNCH","23",1346,0,231,1577
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","CAJON VALLEY UNION",NA,"ANZA ELEMENTARY","NSLP_LUNCH","8",3653,0,128,3781
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","CAJON VALLEY UNION",NA,"ANZA ELEMENTARY","NSLP_LUNCH","19",8794,0,309,9103
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","CAJON VALLEY UNION",NA,"ANZA ELEMENTARY","NSLP_LUNCH","23",11012,0,386,11398
