siteid,reportdate,academicyear,program_year,sponsorname,sitename,sponsor_id,Program,MealTypeCode,Days.Served.Qty,Meals.Served.Free,Meals.Served.Redc,Meals.Served.Paid,Meals.Served.Total
53,2017-08-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,12,NSLP,NSLP_BREAKFAST,4,127,57,61,245
53,2017-09-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,12,NSLP,NSLP_BREAKFAST,20,843,273,348,1464
53,2017-10-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,12,NSLP,NSLP_BREAKFAST,21,953,224,325,1502
53,2017-11-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,12,NSLP,NSLP_BREAKFAST,16,647,188,249,1084
53,2017-12-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,12,NSLP,NSLP_BREAKFAST,11,450,140,164,754
53,2018-01-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,12,NSLP,NSLP_BREAKFAST,17,591,155,246,992
53,2018-02-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,12,NSLP,NSLP_BREAKFAST,18,706,189,318,1213
53,2018-03-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,12,NSLP,NSLP_BREAKFAST,17,648,187,282,1117
53,2018-04-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,12,NSLP,NSLP_BREAKFAST,16,631,172,234,1037
53,2018-05-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,12,NSLP,NSLP_BREAKFAST,22,917,191,335,1443
53,2018-06-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,12,NSLP,NSLP_BREAKFAST,16,511,104,206,821
53,2018-08-01,2018-2019,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,12,NSLP,NSLP_BREAKFAST,5,179,41,63,283
53,2018-09-01,2018-2019,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,12,NSLP,NSLP_BREAKFAST_SEVERENEED,19,752,172,258,1182
53,2018-10-01,2018-2019,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,12,NSLP,NSLP_BREAKFAST_SEVERENEED,22,854,186,312,1352
57,2017-08-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,12,NSLP,NSLP_BREAKFAST_SEVERENEED,4,13,5,8,26
57,2017-09-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,12,NSLP,NSLP_BREAKFAST_SEVERENEED,20,168,25,80,273
57,2017-10-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,12,NSLP,NSLP_BREAKFAST_SEVERENEED,21,248,43,49,340
57,2017-11-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,12,NSLP,NSLP_BREAKFAST_SEVERENEED,16,156,27,53,236
57,2017-12-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,12,NSLP,NSLP_BREAKFAST_SEVERENEED,11,122,21,41,184
57,2018-01-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,12,NSLP,NSLP_BREAKFAST_SEVERENEED,17,1346,280,570,2196
57,2018-02-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,12,NSLP,NSLP_BREAKFAST_SEVERENEED,18,193,32,64,289
57,2018-03-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,12,NSLP,NSLP_BREAKFAST_SEVERENEED,17,173,42,54,269
57,2018-04-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,12,NSLP,NSLP_BREAKFAST_SEVERENEED,16,203,44,52,299
57,2018-05-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,12,NSLP,NSLP_BREAKFAST_SEVERENEED,22,246,36,83,365
57,2018-06-01,2017-2018,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,12,NSLP,NSLP_BREAKFAST_SEVERENEED,16,121,42,33,196
57,2018-08-01,2018-2019,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,12,NSLP,NSLP_BREAKFAST_SEVERENEED,5,54,11,11,76
57,2018-09-01,2018-2019,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,12,NSLP,NSLP_BREAKFAST_SEVERENEED,19,214,28,47,289
57,2018-10-01,2018-2019,,ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,12,NSLP,NSLP_BREAKFAST_SEVERENEED,22,269,43,63,375
93,2017-08-01,2017-2018,,ALPINE UNION ELEMENTARY,ALPINE ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,4,112,20,21,153
93,2017-09-01,2017-2018,,ALPINE UNION ELEMENTARY,ALPINE ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,20,564,115,98,777
93,2017-10-01,2017-2018,,ALPINE UNION ELEMENTARY,ALPINE ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,22,644,165,103,912
93,2017-11-01,2017-2018,,ALPINE UNION ELEMENTARY,ALPINE ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,16,440,105,62,607
93,2017-12-01,2017-2018,,ALPINE UNION ELEMENTARY,ALPINE ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,14,400,71,60,531
93,2018-01-01,2017-2018,,ALPINE UNION ELEMENTARY,ALPINE ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,17,499,118,70,687
93,2018-02-01,2017-2018,,ALPINE UNION ELEMENTARY,ALPINE ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,18,567,137,90,794
93,2018-03-01,2017-2018,,ALPINE UNION ELEMENTARY,ALPINE ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,17,535,149,67,751
93,2018-04-01,2017-2018,,ALPINE UNION ELEMENTARY,ALPINE ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,15,412,113,41,566
93,2018-05-01,2017-2018,,ALPINE UNION ELEMENTARY,ALPINE ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,22,665,193,78,936
93,2018-06-01,2017-2018,,ALPINE UNION ELEMENTARY,ALPINE ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,20,440,111,42,593
93,2018-08-01,2018-2019,,ALPINE UNION ELEMENTARY,ALPINE ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,10,195,61,19,275
93,2018-09-01,2018-2019,,ALPINE UNION ELEMENTARY,ALPINE ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,19,468,113,47,628
93,2018-10-01,2018-2019,,ALPINE UNION ELEMENTARY,ALPINE ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,23,502,88,127,717
353,2017-08-01,2017-2018,,ALPINE UNION ELEMENTARY,BOULDER OAKS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,4,51,10,31,92
353,2017-09-01,2017-2018,,ALPINE UNION ELEMENTARY,BOULDER OAKS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,20,344,46,211,601
353,2017-10-01,2017-2018,,ALPINE UNION ELEMENTARY,BOULDER OAKS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,22,364,25,307,696
353,2017-11-01,2017-2018,,ALPINE UNION ELEMENTARY,BOULDER OAKS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,16,343,10,173,526
353,2017-12-01,2017-2018,,ALPINE UNION ELEMENTARY,BOULDER OAKS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,14,305,4,144,453
353,2018-01-01,2017-2018,,ALPINE UNION ELEMENTARY,BOULDER OAKS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,17,365,21,170,556
353,2018-02-01,2017-2018,,ALPINE UNION ELEMENTARY,BOULDER OAKS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,18,368,12,170,550
353,2018-03-01,2017-2018,,ALPINE UNION ELEMENTARY,BOULDER OAKS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,17,323,10,149,482
353,2018-04-01,2017-2018,,ALPINE UNION ELEMENTARY,BOULDER OAKS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,15,239,5,117,361
353,2018-05-01,2017-2018,,ALPINE UNION ELEMENTARY,BOULDER OAKS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,22,421,5,225,651
353,2018-06-01,2017-2018,,ALPINE UNION ELEMENTARY,BOULDER OAKS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,20,310,5,146,461
353,2018-08-01,2018-2019,,ALPINE UNION ELEMENTARY,BOULDER OAKS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,10,200,18,100,318
353,2018-09-01,2018-2019,,ALPINE UNION ELEMENTARY,BOULDER OAKS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,19,510,76,208,794
353,2018-10-01,2018-2019,,ALPINE UNION ELEMENTARY,BOULDER OAKS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,23,541,98,265,904
809,2017-08-01,2017-2018,,ALPINE UNION ELEMENTARY,CREEKSIDE EARLY LEARNING CENTER,24,NSLP,NSLP_BREAKFAST_SEVERENEED,4,28,2,17,47
809,2017-09-01,2017-2018,,ALPINE UNION ELEMENTARY,CREEKSIDE EARLY LEARNING CENTER,24,NSLP,NSLP_BREAKFAST_SEVERENEED,20,330,65,264,659
809,2017-10-01,2017-2018,,ALPINE UNION ELEMENTARY,CREEKSIDE EARLY LEARNING CENTER,24,NSLP,NSLP_BREAKFAST_SEVERENEED,22,425,74,350,849
809,2017-11-01,2017-2018,,ALPINE UNION ELEMENTARY,CREEKSIDE EARLY LEARNING CENTER,24,NSLP,NSLP_BREAKFAST_SEVERENEED,16,308,53,225,586
809,2017-12-01,2017-2018,,ALPINE UNION ELEMENTARY,CREEKSIDE EARLY LEARNING CENTER,24,NSLP,NSLP_BREAKFAST_SEVERENEED,14,288,42,163,493
809,2018-01-01,2017-2018,,ALPINE UNION ELEMENTARY,CREEKSIDE EARLY LEARNING CENTER,24,NSLP,NSLP_BREAKFAST_SEVERENEED,17,361,59,186,606
809,2018-02-01,2017-2018,,ALPINE UNION ELEMENTARY,CREEKSIDE EARLY LEARNING CENTER,24,NSLP,NSLP_BREAKFAST_SEVERENEED,18,391,70,214,675
809,2018-03-01,2017-2018,,ALPINE UNION ELEMENTARY,CREEKSIDE EARLY LEARNING CENTER,24,NSLP,NSLP_BREAKFAST_SEVERENEED,17,381,48,198,627
809,2018-04-01,2017-2018,,ALPINE UNION ELEMENTARY,CREEKSIDE EARLY LEARNING CENTER,24,NSLP,NSLP_BREAKFAST_SEVERENEED,15,333,47,161,541
809,2018-05-01,2017-2018,,ALPINE UNION ELEMENTARY,CREEKSIDE EARLY LEARNING CENTER,24,NSLP,NSLP_BREAKFAST_SEVERENEED,22,508,60,228,796
809,2018-06-01,2017-2018,,ALPINE UNION ELEMENTARY,CREEKSIDE EARLY LEARNING CENTER,24,NSLP,NSLP_BREAKFAST_SEVERENEED,20,325,26,137,488
809,2018-08-01,2018-2019,,ALPINE UNION ELEMENTARY,CREEKSIDE EARLY LEARNING CENTER,24,NSLP,NSLP_BREAKFAST_SEVERENEED,10,87,10,58,155
809,2018-09-01,2018-2019,,ALPINE UNION ELEMENTARY,CREEKSIDE EARLY LEARNING CENTER,24,NSLP,NSLP_BREAKFAST_SEVERENEED,19,349,23,131,503
809,2018-10-01,2018-2019,,ALPINE UNION ELEMENTARY,CREEKSIDE EARLY LEARNING CENTER,24,NSLP,NSLP_BREAKFAST_SEVERENEED,23,495,25,135,655
1745,2017-08-01,2017-2018,,ALPINE UNION ELEMENTARY,JOAN MACQUEEN MIDDLE,24,NSLP,NSLP_BREAKFAST_SEVERENEED,4,103,12,52,167
1745,2017-09-01,2017-2018,,ALPINE UNION ELEMENTARY,JOAN MACQUEEN MIDDLE,24,NSLP,NSLP_BREAKFAST_SEVERENEED,20,989,89,465,1543
1745,2017-10-01,2017-2018,,ALPINE UNION ELEMENTARY,JOAN MACQUEEN MIDDLE,24,NSLP,NSLP_BREAKFAST_SEVERENEED,22,1166,145,609,1920
1745,2017-11-01,2017-2018,,ALPINE UNION ELEMENTARY,JOAN MACQUEEN MIDDLE,24,NSLP,NSLP_BREAKFAST_SEVERENEED,16,855,146,449,1450
1745,2017-12-01,2017-2018,,ALPINE UNION ELEMENTARY,JOAN MACQUEEN MIDDLE,24,NSLP,NSLP_BREAKFAST_SEVERENEED,14,733,112,368,1213
1745,2018-01-01,2017-2018,,ALPINE UNION ELEMENTARY,JOAN MACQUEEN MIDDLE,24,NSLP,NSLP_BREAKFAST_SEVERENEED,17,833,149,423,1405
1745,2018-02-01,2017-2018,,ALPINE UNION ELEMENTARY,JOAN MACQUEEN MIDDLE,24,NSLP,NSLP_BREAKFAST_SEVERENEED,18,1006,139,487,1632
1745,2018-03-01,2017-2018,,ALPINE UNION ELEMENTARY,JOAN MACQUEEN MIDDLE,24,NSLP,NSLP_BREAKFAST_SEVERENEED,17,1024,132,532,1688
1745,2018-04-01,2017-2018,,ALPINE UNION ELEMENTARY,JOAN MACQUEEN MIDDLE,24,NSLP,NSLP_BREAKFAST_SEVERENEED,15,893,96,425,1414
1745,2018-05-01,2017-2018,,ALPINE UNION ELEMENTARY,JOAN MACQUEEN MIDDLE,24,NSLP,NSLP_BREAKFAST_SEVERENEED,22,1401,179,594,2174
1745,2018-06-01,2017-2018,,ALPINE UNION ELEMENTARY,JOAN MACQUEEN MIDDLE,24,NSLP,NSLP_BREAKFAST_SEVERENEED,20,877,90,365,1332
1745,2018-08-01,2018-2019,,ALPINE UNION ELEMENTARY,JOAN MACQUEEN MIDDLE,24,NSLP,NSLP_BREAKFAST_SEVERENEED,10,334,62,159,555
1745,2018-09-01,2018-2019,,ALPINE UNION ELEMENTARY,JOAN MACQUEEN MIDDLE,24,NSLP,NSLP_BREAKFAST_SEVERENEED,19,826,182,372,1380
1745,2018-10-01,2018-2019,,ALPINE UNION ELEMENTARY,JOAN MACQUEEN MIDDLE,24,NSLP,NSLP_BREAKFAST_SEVERENEED,23,974,209,541,1724
3617,2017-08-01,2017-2018,,ALPINE UNION ELEMENTARY,SHADOW HILLS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,4,48,5,43,96
3617,2017-09-01,2017-2018,,ALPINE UNION ELEMENTARY,SHADOW HILLS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,20,260,54,292,606
3617,2017-10-01,2017-2018,,ALPINE UNION ELEMENTARY,SHADOW HILLS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,22,276,138,397,811
3617,2017-11-01,2017-2018,,ALPINE UNION ELEMENTARY,SHADOW HILLS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,16,243,118,238,599
3617,2017-12-01,2017-2018,,ALPINE UNION ELEMENTARY,SHADOW HILLS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,14,207,113,178,498
3617,2018-01-01,2017-2018,,ALPINE UNION ELEMENTARY,SHADOW HILLS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,17,236,125,275,636
3617,2018-02-01,2017-2018,,ALPINE UNION ELEMENTARY,SHADOW HILLS ELEMENTARY,24,NSLP,NSLP_BREAKFAST_SEVERENEED,18,317,109,275,701
