AgencyRef,AgencyName,Addr1,City,Zip,City Council District,County Board of Supervisor District,State Senate District,State Assembly District,Federal Congressional District
CFDP-1830,31st Street Seventh Day Adventist Church,414 South 31st Street,San Diego,92113,,,,,
CFDP-1814,32nd St Church of Christ ,232 N 32nd St,San Diego,92102,,,,,
CFDP-1913,38th Street Church of Christ,567 South 38th Street,San Diego,92113,,,,,
CFDP-10031,Abiding Place Ministries,9850 Carroll Canyon Road,San Diego,92131,,,,,
CFDP-10032,Abiding Place Ministries (North County),9850 Carroll Canyon Road,San Diego,92131,,,,,
CFDP-1704,"Able-Disabled Advocacy, Inc",4283 El Cajon Blvd ,San Diego,92105,,,,,
CFDP-2001,Advocate's Christian Ministries Incorporated,2250-7 North Broadway,Escondido,92026,,,,,
CSFP-0152,Alabama Manor,3836 Alabama Street,San Diego,92104,,,,,
CFDP-2069,Alcance Victoria Vista (Victory Outreach Spanish Vista),33780 Double Canyon Rd.,Valley Center,92082,,,,,
CFDP-3063,"All Kids Academy Head Start, Inc.",620 W. Madison Ave,San Diego,92115,,,,,
CFDP-2089,All Saints Episcopal Church,651 Eucalyptus Avenue,Vista,92084,,,,,
CFDP-3024,Alliance for Quality Education,8460 Mira Mesa Boulevard,San Diego,92126,,,,,
DR-1692,American Red Cross,3950 Calle Fortunada,San Diego,92123,,,,,
CFDP-2059,American Relief Organization DBA Got your Back San Diego,4061 Oceanside Boulevard,Oceanside,92056,,,,,
CFDP-1949,American Roundball Corporation,4149 Newton Ave,San Diego,92113,,,,,
BP-1588-64,America's Finest Charter School,730 45th St,San Diego,92102,,,,,
VCH-3017,Anglican Church of the Resurrection,Food Bank Voucher Program,Vista,92081,,,,,
EFAP-D4067,Apostolic Assembly First Church San Diego,611 South 35th Street,San Diego,92113,,,,,
EFAP-D4002,Ascension Lutheran Evangelical Church,5106 Zion Avenue,San Diego,92120,,,,,
CFDP-1900,Assistance for Veterans ,7785 Othello Avenue,San Diego,92111,,,,,
CFDP-1933,Associated Students of San Diego State University,5500 Campanile Drive,San Diego,92182,,,,,
CFDP-2096,"Associated Students, Inc.of CSU San Marcos",333 S. Twin Oaks Valley Road,San Marcos,92096,,,,,
CFDP-3039,Audeo 2 Charter School,10170 Huennekens Street,San Diego,92121,,,,,
CFDP-3040,Audeo 3 Charter School,272 East Via Rancho Parkway,Escondido,92025,,,,,
CFDP-3037,Audeo Charter School,10170 Huennekens Street,San Diego,92121,,,,,
BP-1588-34,Audubon Elementary (SDSUSD Traditional),8111 San Vicente St. ,San Diego ,92114,,,,,
CSFP-0091,Back Country Support,45612 Old Highway 80,Jacumba,91934,,,,,
BP-1588-18,Balboa Elementary (SDUSD Traditional),1844 S. 40th St.,San Diego,92113,,,,,
JOY-1528,Basket Brigade of San Diego,315 Walnut Avenue,Carlsbad,92008,,,,,
CSFP-0128,Bayside Community Center,2202 Comstock Street,San Diego ,92111,,,,,
CFDP-3010,Bayview Baptist Church,6126 Benson Avenue,San Diego,92114,,,,,
EFAP-D4003,Being Alive,3940 4th Avenue,San Diego,92103,,,,,
OTG-0003,Bell Junior High School (DISTRICT),620 Brairwood Rd,San Diego,92139,,,,,
CFDP-1611,Berean Bible Baptist Church,345 Fifth Avenue,Chula Vista,91910,,,,,
EFAP-D2054,Bethlehem Food Pantry,737 Grant Ave,El Cajon,92020,,,,,
CFDP-1021,Big Sister League of San Diego,115 Redwood Street,San Diego,92103,,,,,
CFDP-1862,Bilateral Safety Corridor Coalition,121 East 31st Street,National City,91950,,,,,
EFAP-D6101,Birthline of San Diego - Chula Vista,1220 Third Ave ,Chula Vista,91911,,,,,
EFAP-D6100,Birthline of San Diego - Clairemont,3660 Clairemont Drive,San Diego,92117,,,,,
BP-1588-05,Bobier Elementary (Vista Unified),220 W. Bobier Drive,Vista,92083,,,,,
BP-1588-36,Boone Elementary (SDUSD Traditional),7330 Brookhaven Rd. ,San Diego ,92114,,,,,
BP-1588-62,Borrego Springs Elementary,1315 Palm Canyon Dr,Borrego Springs,92004,,,,,
CFDP-3061,Boys & Girls Club of Oceanside,401 Country Club Lane,Oceanside,92054,,,,,
CFDP-3046,Boys & Girls Club of San Marcos,1 Positive Place,San Marcos,92069,,,,,
CSFP-0033,Boys and Girls Club Clairemont,4635 Clairemont Mesa Boulevard ,San Diego,92117,,,,,
CFDP-1783,Bread of Life Rescue Mission,1919 Apple Street,Oceanside,92054,,,,,
CFDP-2006,Breath of Life Ministries,1365 McDonald Road,Fallbrook,92028,,,,,
CFDP-1725,Bridge of Hope SD Incorporated,3406 Fairmont Ave,San Diego,92105,,,,,
EFAP-D6001,Brother Benno Foundation,3260 Production Avenue,Oceanside,92058,,,,,
SK-001,Brother Benno Foundation,P.O. Box 308,Oceanside,92054,,,,,
CFDP-1504,Buckheart Ranch,16881 Old Survey Road,Escondido,92025,,,,,
CFD-1504,Buckheart Ranch (Distribution),16881 Old Survey Road,Escondido,92025,,,,,
CFDP-1859,Buddhist Tzu Chi Foundation,5754 Pacific Center Boulevard,San Diego,92121,,,,,
CFD-2096,Cal State University San Marcos (mobile pantry),333 S Twin Oaks Valley Road,San Marcos,92078,,,,,
CSFP-0074,Calexico-Catholic Charities ,545 Encinas Avenue,Calexico,92231,,,,,
CFDP-1908,California Independent Provider Training Center,4855 Seminole Drive,San Diego,92115,,,,,
CFDP-1032,Calvary Chapel / La Mesa,7525 El Cajon Blvd,La Mesa,91942,,,,,
CFD-2036,Calvary Chapel Mission Hills (Distribution),456 East Mission Road,San Marcos,92069,,,,,
CFDP-1860,Calvary Chapel Ramona,114 14th Street,Ramona,92065,,,,,
EFAP-D4066,Calvary Evangelical Lutheran Church,3060 54th Street,San Diego,92105,,,,,
BP-1588-13,Calvin J. Lauderbach Elementary (Chula Vista Elem),390 Palomar Street,Chula Vista,91911,,,,,
CFDP-3076,Cammies & Canines ,1375 Barrett Lake Road ,Dulzura,91917,,,,,
CFDP-2009,Camp Cookie Children's Foundation,26088 Bear Valley Heights Road,Escondido,92027,,,,,
CFDP-1891,CARITAS Care,7767 University Avenue,La Mesa,91941,,,,,
CSFP-0006,Carlsbad Community Center ,3368 Eureka Street,Carlsbad,92008,,,,,
CFDP-3071,Casa de Amparo,325 Buena Creek Road,San Marcos,92069,,,,,
CFDP-1751,Casa de Oracion,201 Fir Street,San Diego,92101,,,,,
CFDP-1922,Casa Raphael (Alpha Project),993 Postal Way,Vista,92083,,,,,
EFAP-D4015,Catholic Charities College Area,6360 El Cajon Boulevard,San Diego,92115,,,,,
CFDP-1941,Catholic Charities Diocese of San Diego: SNAP-Ed Program,"4575 Mission Gorge Pl, ",San Diego,92120,,,,,
EFAP-D1038,Catholic Charities Downtown,349 Cedar Street,San Diego,92101,,,,,
SK-002,Catholic Charities La Posada,2478 Impala Drive,Carlsbad,92010,,,,,
EFAP-D5013,Catholic Charities Vista,917 East Vista Way,Vista,92084,,,,,
CFDP-2088,Cause of Christ,745 Carmel Circle,Vista,92084,,,,,
CFDP-3043,"Center for Employment Opportunities, Inc. (CEO)",450 A Street,San Diego,92101,,,,,
CFDP-1943,Center for Employment Training,4153 Market Street,San Diego,92102,,,,,
BP-1588-69,Central Elementary (Escondido Union),122 W 4th Ave,Escondido,92025,,,,,
CFDP-3041,"Charter School of San Diego,The",10170 Huennekens Street,San Diego,92121,,,,,
BP-1588-12,Cherokee Point Elementary (SDUSD Year Round),3735 38th Street,San Diego,92105,,,,,
CFDP-1050,Children's Choice,1465 East Madison Avenue,El Cajon,92019,,,,,
CFDP-3059,Choices in Recovery,733 S. Santa Fe Avenue,Vista,92083,,,,,
BP-1588-33,Chollas Meade Elementary (SDUSD Traditional),4525 Market St,San Diego ,92102,,,,,
CFDP-1944,Chollas View Church Food Pantry,904 47th Street,San Diego,92102,,,,,
CFDP-1884,Christ the King Lutheran Church,1620 S Stage Coach Lane,Fallbrook,92028,,,,,
CFD-1884,Christ the King Lutheran Church (Distribution),1620 South Stage Coach Lane,Fallbrook,92028,,,,,
EFAP-D5030,Christian Credit Counselors,5838 Edison Place,Carlsbad,92008,,,,,
EFAP-D4008,Christian Fellowship Church,1601 Kelton Road,San Diego,92114,,,,,
CFDP-1430,Christian Life Center of San Diego Incorporated,9617 Campo Road,Spring Valley,91977,,,,,
CFDP-1487,Christie's  Place,2440 Third Avenue,San Diego,92101,,,,,
CSFP-0141,Chula Vista Silvercrest Apartments ,636 3rd Avenue,Chula Vista,91910,,,,,
EFAP-D4058,"Church of Nazarene in Mid-City, The",4101 University Avenue,San Diego,92105,,,,,
CFDP-1843,Church of the Loving God,4202 Delta Street,San Diego,92113,,,,,
CFDP-1077,City Heights Assembly of God,3737 Wightman Street,San Diego,92105,,,,,
CFDP-1068,City Heights CDC,4372 Home Avenue,San Diego,92105,,,,,
CSFP-0133,College Avenue Center Jewish Family Service of San Diego,6299 Capri Drive,San Diego,92120,,,,,
EFAP-D3003,Community Christian Service Agency,4167 Rappahannock Avenue,San Diego,92117,,,,,
EFAP-D1001,Community Food Bank of National City,2605 Highland Avenue,National City,91950,,,,,
EFAP-D3036,Community Food Connection. The,14047 Twin Peaks Road,Poway,92064,,,,,
CFDP-1853,Community Lutheran Church,4507 Mission Avenue,Oceanside,92057,,,,,
EFAP-D5004,Community Resource Center,650 Second Street,Encinitas,92024,,,,,
CFDP-3034,Community Through Hope,465 C Street,Chula Vista,91910,,,,,
CSFP-001,CommunityActionPartnership OC,Orange County Food Bank,Garden Grove,92841,,,,,
BP-1588-51,Coronado Unified School District (delivered to Silver Strand,1350 Leyte Road ,Coronado,92118,,,,,
CFDP-1069,CRF Calworks Step Forward,2772 4th Avenue,San Diego,92103,,,,,
EFAP-D1018,CRF Casa Del Sol Clubhouse,1157 30th Street,San Diego,92154,,,,,
CFDP-2010,CRF Casa Pacifica,321 Cassidy Street,Oceanside,92054,,,,,
CFDP-2095,CRF East Corner Clubhouse,1060 Estes St Suite 104,El Cajon,92020,,,,,
CFDP-1919,CRF Esperanza Crisis Center,490 N. Grape Street,Escondido,92025,,,,,
CFDP-1206,CRF Halcyon Crisis Center,1664 Broadway Street,El Cajon,92021,,,,,
CFDP-1101,CRF Jary Baretto Crisis Center,2865 Logan Avenue,San Diego,92113,,,,,
