"schoolname","districtname","state_district_id","state_school_id","lat","lon","nces_id"
"ABRAXAS CONTINUATION HIGH","POWAY UNIFIED","68296","3735842",32.974251,-117.060935,"063153004883"
"ADA W. HARRIS ELEMENTARY","CARDIFF ELEMENTARY","68007","6037758",33.031151,-117.274662,"060747000706"
"ADAMS ELEMENTARY","SAN DIEGO UNIFIED","68338","6039101",32.761727,-117.118699,"063432005407"
"ADOBE BLUFFS ELEMENTARY","POWAY UNIFIED","68296","6110878",32.973282,-117.14104,"063153001203"
"ALAMOSA PARK ELEMENTARY","VISTA UNIFIED","68452","6107031",33.239219,-117.28178,"064119009204"
"ALBA","SAN DIEGO UNIFIED","68338","3731130",32.75097,-117.134611,"063432007682"
"ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY","SAN DIEGO UNIFIED","68338","6120935",32.720062,-117.129762,"063432010637"
"ALBERT EINSTEIN ACADEMY CHARTER MIDDLE","SAN DIEGO UNIFIED","68338","111898",32.71005,-117.138401,"063432011766"
"ALCOTT ELEMENTARY","SAN DIEGO UNIFIED","68338","6039119",32.832637,-117.221097,"063432005408"
"ALL TRIBES CHARTER","WARNER UNIFIED","75416","6119275",33.278715,-116.954152,"060004210387"
"ALL TRIBES ELEMENTARY CHARTER","WARNER UNIFIED","75416","122796",33.278715,-116.954152,"060004212735"
"ALLEN (ELLA B.) ELEMENTARY","CHULA VISTA ELEMENTARY","68023","6037832",32.656437,-117.033212,"060861000855"
"ALPINE ELEMENTARY","ALPINE UNION ELEMENTARY","67967","6037519",32.838093,-116.774237,"060210000091"
"ALTA VISTA ACADEMY","SWEETWATER UNION HIGH","68411","3731460",32.618318,-117.025397,"063864010385"
"ALTA VISTA HIGH (CONTINUATION)","VISTA UNIFIED","68452","3732039",33.222315,-117.219078,"064119006812"
"ALVIN M. DUNN ELEMENTARY","SAN MARCOS UNIFIED","73791","6039069",33.143074,-117.203374,"063488005889"
"AMERICA'S FINEST CHARTER","SAN DIEGO UNIFIED","68338","124206",32.71302,-117.098641,"063432012854"
"ANGIER ELEMENTARY","SAN DIEGO UNIFIED","68338","6039135",32.80518,-117.145684,"063432005410"
"ANZA ELEMENTARY","CAJON VALLEY UNION","67991","6037568",32.781477,-116.947286,"060681000603"
"ARROYO PASEO CHARTER HIGH","SAN DIEGO UNIFIED","68338","114520",32.749493,-117.107952,"063432011912"
"ARROYO VISTA CHARTER","CHULA VISTA ELEMENTARY","68023","6116859",32.638773,-116.953087,"060861008299"
"ASHLEY FALLS ELEMENTARY","DEL MAR UNION ELEMENTARY","68056","6115620",32.956235,-117.209008,"061074007660"
"AUDEO CHARTER","SAN DIEGO UNIFIED","68338","3731395",32.902729,-117.184139,"063432010634"
"AUDEO CHARTER II","SBE - AUDEO CHARTER II","77032","134577",32.90276,-117.184081,"060144114028"
"AUDUBON K-8","SAN DIEGO UNIFIED","68338","6039143",32.710685,-117.030631,"063432005411"
"AVIARA OAKS ELEMENTARY","CARLSBAD UNIFIED","73551","6109201",33.103968,-117.277413,"060750009747"
"AVIARA OAKS MIDDLE","CARLSBAD UNIFIED","73551","6118137",33.104025,-117.277359,"060750008606"
"AVOCADO ELEMENTARY","CAJON VALLEY UNION","67991","6069082",32.750641,-116.959841,"060681000604"
"AVONDALE ELEMENTARY","LA MESA-SPRING VALLEY","68197","6038400",32.71835,-117.017785,"062025002424"
"BAKER ELEMENTARY","SAN DIEGO UNIFIED","68338","6039150",32.698513,-117.107497,"063432005412"
"BALBOA ELEMENTARY","SAN DIEGO UNIFIED","68338","6039168",32.687257,-117.10837,"063432005413"
"BANCROFT ELEMENTARY","LA MESA-SPRING VALLEY","68197","6038418",32.72932,-117.007495,"062025002425"
"BARNARD ELEMENTARY","SAN DIEGO UNIFIED","68338","6039184",32.80243,-117.223651,"063432005414"
"BARNETT ELEMENTARY","RAMONA CITY UNIFIED","68304","6110720",33.017475,-116.810509,"063171001207"
"BARONA INDIAN CHARTER","LAKESIDE UNION ELEMENTARY","68189","6120901",32.942276,-116.855931,"062079010631"
"BAY PARK ELEMENTARY","SAN DIEGO UNIFIED","68338","6039200",32.787374,-117.203562,"063432005416"
"BAYSHORE PREPARATORY CHARTER","SAN MARCOS UNIFIED","73791","109785",33.13765,-117.191691,"063488011405"
"BAYSIDE STEAM ACADEMY","SOUTH BAY UNION","68395","6040463",32.588689,-117.112826,"063738006315"
