"schoolname","districtname","state_district_id","state_school_id","lat","lon","nces_id"
"SAN PASQUAL ACADEMY","SAN DIEGO COUNTY OFFICE OF EDUCATION","71037","998","33.090580","-116.95009","0691030"
"DAVILA DAY","SAN DIEGO COUNTY OFFICE OF EDUCATION","71037","485","32.635041","-117.08832","0691030"
"MONARCH","SAN DIEGO COUNTY OFFICE OF EDUCATION","71037","493","32.702375","-117.15045","0691030"
"SAN DIEGO COUNTY COMMUNITY","SAN DIEGO COUNTY OFFICE OF EDUCATION","71037","520","32.769578","-117.17984","0691030"
"SAN DIEGO COUNTY COURT","SAN DIEGO COUNTY OFFICE OF EDUCATION","71037","538","32.794147","-117.15396","0691030"
"HOPE INFANT-TODDLER SPECIAL EDUCATION","SAN DIEGO COUNTY OFFICE OF EDUCATION","71037","202","32.769578","-117.17984","0691030"
"SCHOLARSHIP PREP - OCEANSIDE","SAN DIEGO COUNTY OFFICE OF EDUCATION","71037","085","33.232373","-117.31700","0691030"
"SCHOOL OF UNIVERSAL LEARNING (SOUL)","SAN DIEGO COUNTY OFFICE OF EDUCATION","71037","192","32.994301","-117.26532","0691030"
"COMMUNITY MONTESSORI","SAN DIEGO COUNTY OFFICE OF EDUCATION","71037","695","33.129426","-117.11209","0691030"
"DIMENSIONS COLLABORATIVE","SAN DIEGO COUNTY OFFICE OF EDUCATION","71037","752","33.129426","-117.11209","0691030"
"PACIFIC SPRINGS CHARTER","SAN DIEGO COUNTY OFFICE OF EDUCATION","71037","016","32.620433","-116.97632","0691030"
"CLASSICAL ACADEMY VISTA","SAN DIEGO COUNTY OFFICE OF EDUCATION","71037","404","33.165025","-117.27027","0691030"
"NATIONAL UNIVERSITY ACADEMY DUAL LANGUAGE INSTITUTE","SAN DIEGO COUNTY OFFICE OF EDUCATION","71037","594","33.172999","-117.21997","0691030"
"JCS - MANZANITA","SAN DIEGO COUNTY OFFICE OF EDUCATION","71037","792","32.775721","-117.01398","0691030"
"NORTH COASTAL CONSORTIUM SCHOOLS","SAN DIEGO COUNTY OFFICE OF EDUCATION","71037","545","33.142539","-117.16504","0691030"
"SAN DIEGO COUNTY SPECIAL EDUCATION","SAN DIEGO COUNTY OFFICE OF EDUCATION","71037","355","32.769409","-117.17960","0691030"
"LITERACY FIRST CHARTER","SAN DIEGO COUNTY OFFICE OF EDUCATION","71037","119","32.787667","-116.95201","0691030"
NA,"ALPINE UNION ELEMENTARY",".7679","000","32.824651","-116.77533","0602100"
"ALPINE ELEMENTARY","ALPINE UNION ELEMENTARY","76796","519","32.837485","-116.77454","0602100"
"JOAN MACQUEEN MIDDLE","ALPINE UNION ELEMENTARY","76796","535","32.825432","-116.77538","0602100"
"SHADOW HILLS ELEMENTARY","ALPINE UNION ELEMENTARY","76796","256","32.831900","-116.81522","0602100"
"BOULDER OAKS ELEMENTARY","ALPINE UNION ELEMENTARY","76796","086","32.819163","-116.77617","0602100"
"MOUNTAIN VIEW LEARNING ACADEMY","ALPINE UNION ELEMENTARY","76796","953","32.832208","-116.81507","0602100"
"CREEKSIDE EARLY LEARNING CENTER","ALPINE UNION ELEMENTARY","76796","723","32.832208","-116.81507","0602100"
NA,"BORREGO SPRINGS UNIFIED",".7679","000","33.265514","-116.38373","0605700"
"SAN DIEGO WORKFORCE INNOVATION HIGH","BORREGO SPRINGS UNIFIED","76798","890","32.689527","-117.08510","0605700"
"BORREGO SPRINGS HIGH","BORREGO SPRINGS UNIFIED","76798","447","33.265514","-116.38373","0605700"
"BORREGO SPRINGS ELEMENTARY","BORREGO SPRINGS UNIFIED","76798","550","33.256865","-116.34685","0605700"
"BORREGO SPRINGS MIDDLE","BORREGO SPRINGS UNIFIED","76798","315","33.264682","-116.38367","0605700"
NA,"CAJON VALLEY UNION",".7679","000","32.795056","-116.95230","0606810"
"EJE ELEMENTARY ACADEMY CHARTER","CAJON VALLEY UNION","76799","563","32.784935","-116.97083","0606810"
"LOS COCHES CREEK MIDDLE","CAJON VALLEY UNION","76799","005","32.858622","-116.81938","0606810"
"EJE MIDDLE ACADEMY","CAJON VALLEY UNION","76799","255","32.784935","-116.97083","0606810"
"EMPOWER","CAJON VALLEY UNION","76799","176","32.795836","-116.95489","0606810"
"ANZA ELEMENTARY","CAJON VALLEY UNION","76799","568","32.786000","-116.94780","0606810"
"BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION","76799","576","32.807818","-116.93171","0606810"
"CAJON VALLEY MIDDLE","CAJON VALLEY UNION","76799","584","32.798383","-116.95555","0606810"
"CHASE AVENUE ELEMENTARY","CAJON VALLEY UNION","76799","592","32.780336","-116.96003","0606810"
"CREST ELEMENTARY","CAJON VALLEY UNION","76799","600","32.805538","-116.86647","0606810"
"EMERALD MIDDLE","CAJON VALLEY UNION","76799","626","32.778996","-116.96869","0606810"
"FLYING HILLS ELEMENTARY","CAJON VALLEY UNION","76799","634","32.811827","-116.98240","0606810"
"FUERTE ELEMENTARY","CAJON VALLEY UNION","76799","642","32.762217","-116.94678","0606810"
"GREENFIELD MIDDLE","CAJON VALLEY UNION","76799","659","32.811048","-116.92834","0606810"
"JOHNSON ELEMENTARY","CAJON VALLEY UNION","76799","675","32.800800","-116.95620","0606810"
"LEXINGTON ELEMENTARY","CAJON VALLEY UNION","76799","683","32.791145","-116.94234","0606810"
"MADISON AVENUE ELEMENTARY","CAJON VALLEY UNION","76799","691","32.800143","-116.92200","0606810"
"MAGNOLIA ELEMENTARY","CAJON VALLEY UNION","76799","709","32.813388","-116.95404","0606810"
"MERIDIAN ELEMENTARY","CAJON VALLEY UNION","76799","717","32.788386","-116.92685","0606810"
"NARANCA ELEMENTARY","CAJON VALLEY UNION","76799","725","32.803995","-116.94638","0606810"
"RIOS ELEMENTARY","CAJON VALLEY UNION","76799","733","32.840076","-116.87577","0606810"
"W. D. HALL ELEMENTARY","CAJON VALLEY UNION","76799","741","32.820878","-116.93116","0606810"
"AVOCADO ELEMENTARY","CAJON VALLEY UNION","76799","082","32.750432","-116.96075","0606810"
"SEVICK SPECIAL EDUCATION","CAJON VALLEY UNION","76799","199","32.800143","-116.92221","0606810"
"MONTGOMERY MIDDLE","CAJON VALLEY UNION","76799","207","32.796530","-116.92542","0606810"
"VISTA GRANDE ELEMENTARY","CAJON VALLEY UNION","76799","794","32.765080","-116.91501","0606810"
"RANCHO SAN DIEGO ELEMENTARY","CAJON VALLEY UNION","76799","025","32.754628","-116.93287","0606810"
"JAMACHA ELEMENTARY","CAJON VALLEY UNION","76799","787","32.740143","-116.91223","0606810"
"BLOSSOM VALLEY ELEMENTARY","CAJON VALLEY UNION","76799","148","32.861732","-116.84665","0606810"
"HILLSDALE MIDDLE","CAJON VALLEY UNION","76799","890","32.749440","-116.93240","0606810"
"CAJON VALLEY HOME","CAJON VALLEY UNION","76799","319","32.807708","-116.93212","0606810"
NA,"CARDIFF ELEMENTARY",".7680","70000000","33.025044","-117.28220","0607470"
"ADA W. HARRIS ELEMENTARY","CARDIFF ELEMENTARY","76800","76037758","33.031280","-117.27349","0607470"
"CARDIFF ELEMENTARY","CARDIFF ELEMENTARY","76800","76037766","33.025044","-117.28220","0607470"
NA,"CHULA VISTA ELEMENTARY",".7680","000","32.631751","-117.05914","0608610"
"HEDENKAMP (ANNE AND WILLIAM) ELEMENTARY","CHULA VISTA ELEMENTARY","76802","592","32.616740","-117.01500","0608610"
"LIBERTY ELEMENTARY","CHULA VISTA ELEMENTARY","76802","957","32.663976","-116.97761","0608610"
"SALT CREEK ELEMENTARY","CHULA VISTA ELEMENTARY","76802","965","32.649018","-116.94925","0608610"
"VETERANS ELEMENTARY","CHULA VISTA ELEMENTARY","76802","662","32.623835","-116.97634","0608610"
"WOLF CANYON ELEMENTARY","CHULA VISTA ELEMENTARY","76802","009","32.611931","-116.97324","0608610"
"LEONARDO DA VINCI HEALTH SCIENCES CHARTER","CHULA VISTA ELEMENTARY","76802","594","32.619689","-117.04798","0608610"
"HOWARD GARDNER COMMUNITY CHARTER","CHULA VISTA ELEMENTARY","76802","321","32.641093","-117.09543","0608610"
"CAMARENA (ENRIQUE S.) ELEMENTARY","CHULA VISTA ELEMENTARY","76802","431","32.622811","-116.95651","0608610"
"SPECIAL EDUCATION PRESCHOOL","CHULA VISTA ELEMENTARY","76802","474","32.631632","-117.05816","0608610"
"MURAOKA (SABURO) ELEMENTARY","CHULA VISTA ELEMENTARY","76802","277","32.615167","-116.99163","0608610"
"LEARNING CHOICE ACADEMY - CHULA VISTA","CHULA VISTA ELEMENTARY","76802","073","32.652419","-116.96551","0608610"
"CASTLE PARK ELEMENTARY","CHULA VISTA ELEMENTARY","76802","824","32.615057","-117.05726","0608610"
"ALLEN (ELLA B.) ELEMENTARY","CHULA VISTA ELEMENTARY","76802","832","32.656765","-117.03358","0608610"
"ROHR (FRED H.) ELEMENTARY","CHULA VISTA ELEMENTARY","76802","840","32.602452","-117.04055","0608610"
