siteid,ClaimDate,ProgramGroupYear,SiteName,Name,sponsor_id,MealGroupCode,MealTypeCode,DaysServedQty,MlsServedFree
4261,2018-06-01,2018,BAKER BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_LUNCH,SFSP_LUNCH_VENDED,18,811
4261,2018-06-01,2018,BAKER BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,18,827
4265,2018-06-01,2018,BRONNER BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,18,336
4265,2018-06-01,2018,BRONNER BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,18,546
4269,2018-06-01,2018,CLAIREMONT BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_LUNCH,SFSP_LUNCH_VENDED,18,1176
4269,2018-06-01,2018,CLAIREMONT BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,18,1554
4273,2018-06-01,2018,CONRAD PREBYS ESCONDIDO,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_LUNCH,SFSP_LUNCH_VENDED,18,1098
4273,2018-06-01,2018,CONRAD PREBYS ESCONDIDO,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,18,1386
4281,2018-06-01,2018,ENCANTO BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_LUNCH,SFSP_LUNCH_VENDED,18,629
4281,2018-06-01,2018,ENCANTO BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,18,772
4297,2018-06-01,2018,PAYNE FAMILY BRANCH (FORMERLY NATIONAL CITY BRANCH),BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_LUNCH,SFSP_LUNCH_VENDED,18,1080
4297,2018-06-01,2018,PAYNE FAMILY BRANCH (FORMERLY NATIONAL CITY BRANCH),BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,18,1151
4305,2018-06-01,2018,RON ROBERTS BRANCH (FORMERLY LINDA VISTA BRANCH),BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_LUNCH,SFSP_LUNCH_VENDED,18,829
4305,2018-06-01,2018,RON ROBERTS BRANCH (FORMERLY LINDA VISTA BRANCH),BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,18,1016
4309,2018-06-01,2018,SULPIZIO FAMILY BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_LUNCH,SFSP_LUNCH_VENDED,18,744
4309,2018-06-01,2018,SULPIZIO FAMILY BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,18,1312
4313,2018-06-01,2018,WILLIAM J OAKES BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_LUNCH,SFSP_LUNCH_VENDED,18,528
4313,2018-06-01,2018,WILLIAM J OAKES BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,18,1057
