"ProgramCode","ProgramGroupYear","CountyDesc","ClaimDate","Name","SiteName","MealGroupCode","MealTypeCode","DaysServedQty","MlsServedFree"
"SFSP",2018,"SAN DIEGO","2018-06-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","BAKER BRANCH","SFSP_LUNCH","SFSP_LUNCH_VENDED",18,811
"SFSP",2018,"SAN DIEGO","2018-06-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","BAKER BRANCH","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",18,827
"SFSP",2018,"SAN DIEGO","2018-06-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","BRONNER BRANCH","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",18,336
"SFSP",2018,"SAN DIEGO","2018-06-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","BRONNER BRANCH","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",18,546
"SFSP",2018,"SAN DIEGO","2018-06-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","CLAIREMONT BRANCH","SFSP_LUNCH","SFSP_LUNCH_VENDED",18,1176
"SFSP",2018,"SAN DIEGO","2018-06-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","CLAIREMONT BRANCH","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",18,1554
"SFSP",2018,"SAN DIEGO","2018-06-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","CONRAD PREBYS ESCONDIDO","SFSP_LUNCH","SFSP_LUNCH_VENDED",18,1098
"SFSP",2018,"SAN DIEGO","2018-06-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","CONRAD PREBYS ESCONDIDO","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",18,1386
"SFSP",2018,"SAN DIEGO","2018-06-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","ENCANTO BRANCH","SFSP_LUNCH","SFSP_LUNCH_VENDED",18,629
"SFSP",2018,"SAN DIEGO","2018-06-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","ENCANTO BRANCH","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",18,772
"SFSP",2018,"SAN DIEGO","2018-06-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","PAYNE FAMILY BRANCH (FORMERLY NATIONAL CITY BRANCH)","SFSP_LUNCH","SFSP_LUNCH_VENDED",18,1080
"SFSP",2018,"SAN DIEGO","2018-06-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","PAYNE FAMILY BRANCH (FORMERLY NATIONAL CITY BRANCH)","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",18,1151
"SFSP",2018,"SAN DIEGO","2018-06-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","RON ROBERTS BRANCH (FORMERLY LINDA VISTA BRANCH)","SFSP_LUNCH","SFSP_LUNCH_VENDED",18,829
"SFSP",2018,"SAN DIEGO","2018-06-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","RON ROBERTS BRANCH (FORMERLY LINDA VISTA BRANCH)","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",18,1016
"SFSP",2018,"SAN DIEGO","2018-06-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","SULPIZIO FAMILY BRANCH","SFSP_LUNCH","SFSP_LUNCH_VENDED",18,744
"SFSP",2018,"SAN DIEGO","2018-06-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","SULPIZIO FAMILY BRANCH","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",18,1312
"SFSP",2018,"SAN DIEGO","2018-06-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","WILLIAM J OAKES BRANCH","SFSP_LUNCH","SFSP_LUNCH_VENDED",18,528
"SFSP",2018,"SAN DIEGO","2018-06-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","WILLIAM J OAKES BRANCH","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",18,1057
"SFSP",2018,"SAN DIEGO","2018-06-01","FEEDING AMERICA SAN DIEGO","BORREGO SPRINGS BRANCH LIBRARY","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",12,242
"SFSP",2018,"SAN DIEGO","2018-06-01","FEEDING AMERICA SAN DIEGO","BOYS AND GIRLS CLUB SAN MARCOS","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",14,3200
"SFSP",2018,"SAN DIEGO","2018-06-01","FEEDING AMERICA SAN DIEGO","CASA DE SALUD YOUTH CENTER","SFSP_LUNCH","SFSP_LUNCH_VENDED",12,249
"SFSP",2018,"SAN DIEGO","2018-06-01","FEEDING AMERICA SAN DIEGO","CASA DE SALUD YOUTH CENTER","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",14,191
"SFSP",2018,"SAN DIEGO","2018-06-01","FEEDING AMERICA SAN DIEGO","JACUMBA BRANCH LIBRARY","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",12,156
"SFSP",2018,"SAN DIEGO","2018-06-01","FEEDING AMERICA SAN DIEGO","JACUMBA BRANCH LIBRARY","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",14,84
"SFSP",2018,"SAN DIEGO","2018-06-01","FEEDING AMERICA SAN DIEGO","JULIAN BRANCH LIBRARY","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",12,582
"SFSP",2018,"SAN DIEGO","2018-06-01","FEEDING AMERICA SAN DIEGO","JULIAN ELEMENTARY","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",12,363
"SFSP",2018,"SAN DIEGO","2018-06-01","FEEDING AMERICA SAN DIEGO","LINCOLN ACRES BRANCH LIBRARY","SFSP_LUNCH","SFSP_LUNCH_VENDED",12,281
"SFSP",2018,"SAN DIEGO","2018-06-01","FEEDING AMERICA SAN DIEGO","MESA GRANDE INDIAN HOUSING AUTHORITY","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",12,166
"SFSP",2018,"SAN DIEGO","2018-06-01","FEEDING AMERICA SAN DIEGO","MISSION COVE APARTMENTS","SFSP_LUNCH","SFSP_LUNCH_VENDED",12,90
"SFSP",2018,"SAN DIEGO","2018-06-01","FEEDING AMERICA SAN DIEGO","NORTH COUNTY HEALTH SERVICES SAN MARCOS","SFSP_LUNCH","SFSP_LUNCH_VENDED",12,167
"SFSP",2018,"SAN DIEGO","2018-06-01","FEEDING AMERICA SAN DIEGO","RAMONA BRANCH LIBRARY","SFSP_LUNCH","SFSP_LUNCH_VENDED",12,501
"SFSP",2018,"SAN DIEGO","2018-06-01","FEEDING AMERICA SAN DIEGO","VALLEY CENTER BRANCH LIBRARY","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",12,440
"SFSP",2018,"SAN DIEGO","2018-06-01","FEEDING AMERICA SAN DIEGO","VCC PROJECT REACH LIBBY LAKE","SFSP_LUNCH","SFSP_LUNCH_VENDED",12,199
