site_id,new_id,sitename,district
4549,1,1ST SAMOAN CONGREGATIONAL CHURCH,
20,2,37 ECB,
5169,3,64 DEGREES,
5,4,A.B & JESSIE POLINSKY CHILDREN'S CENTER,
4785,5,ABBY REINKE YOUTH CENTER,
9,6,ABRAXAS CONTINUATION HIGH,POWAY UNIFIED
13,7,ACADEMY OF ARTS AND SCIENCES,MOUNTAIN EMPIRE UNIFIED
17,8,ACADEMY OF ARTS AND SCIENCES: DEL MAR ELEMENTARY (K-5),MOUNTAIN EMPIRE UNIFIED
21,9,ACADEMY OF ARTS AND SCIENCES: DEL MAR MIDDLE & HIGH (6-12),MOUNTAIN EMPIRE UNIFIED
25,10,ACADEMY OF ARTS AND SCIENCES: EL CAJON ELEMENTARY (K-5),MOUNTAIN EMPIRE UNIFIED
29,11,ACADEMY OF ARTS AND SCIENCES: EL CAJON MIDDLE AND HIGH (6-12),MOUNTAIN EMPIRE UNIFIED
33,12,ADA W. HARRIS ELEMENTARY,CARDIFF ELEMENTARY
37,13,ADAMS ELEMENTARY,SAN DIEGO UNIFIED
4853,14,ADAMS REC CENTER,
4857,15,ADMIRAL HARTMAN CYP,
41,16,ADOBE BLUFFS ELEMENTARY,POWAY UNIFIED
5173,17,AL RAHMA LEARNING CENTER,
45,18,ALAMOSA PARK ELEMENTARY,VISTA UNIFIED
49,19,ALBA,
,20,ALBA-ANNEX,SAN DIEGO UNIFIED
53,21,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,SAN DIEGO UNIFIED
57,22,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,SAN DIEGO UNIFIED
61,23,ALBERT EINSTEIN ACADEMY ELEMENTARY,
65,24,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS & SCIENCES - AGUA DULC",
69,25,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS & SCIENCES - ODYSSEY",
73,26,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS AND SCIENCES",
77,27,ALCOTT ELEMENTARY,SAN DIEGO UNIFIED
81,28,ALL TRIBES CHARTER,WARNER UNIFIED
85,29,ALL TRIBES ELEMENTARY CHARTER,WARNER UNIFIED
89,30,ALLEN (ELLA B.) ELEMENTARY,CHULA VISTA ELEMENTARY
4861,31,ALLIED GARDENS PARK & REC,
5205,32,ALPINE COMMUNITY DAY,ALPINE UNION ELEMENTARY
93,33,ALPINE ELEMENTARY,ALPINE UNION ELEMENTARY
97,34,ALTA VISTA ACADEMY,SWEETWATER UNION HIGH
101,35,ALTA VISTA HIGH (CONTINUATION),VISTA UNIFIED
105,36,ALVIN M. DUNN ELEMENTARY,SAN MARCOS UNIFIED
