sitename,alt_nmaes,sponsorname,district,is_school,school_code,dist_code
MITCHELL BRANCH,MITCHELL BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,,,,
BGC KUMEYAAY NATION,BGC KUMEYAAY NATION,BOYS & GIRLS CLUBS OF AMERICA,,,,
CHULA VISTA SITE,CHULA VISTA SITE,BOYS & GIRLS CLUBS OF AMERICA,,,,
IMPERIAL BEACH,IMPERIAL BEACH,BOYS & GIRLS CLUBS OF AMERICA,,,,
PACIFIC VILLAGE,PACIFIC VILLAGE,BOYS & GIRLS CLUBS OF AMERICA,,,,
64 DEGREES,65 DEGREES,HARVEY MUDD COLLEGE UPWARD BOUND,,,,
AL RAHMA LEARNING CENTER,AL RAHMA LEARNING CENTER,HEAVEN'S WINDOWS,,,,
BLESSED SACRAMENT PARISH SCHOOL,BLESSED SACRAMENT PARISH SCHOOL,HEAVEN'S WINDOWS,,,,
HALECREST YMCA,HALECREST YMCA,HEAVEN'S WINDOWS,,,,
NU-WAY INTERNATIONAL CHRISTIAN MINISTRIES,NU-WAY INTERNATIONAL CHRISTIAN MINISTRIES,HEAVEN'S WINDOWS,,,,
OTAY-NESTOR BRANCH LIBRARY,OTAY-NESTOR BRANCH LIBRARY,HEAVEN'S WINDOWS,,,,
TORREY LEARNING CENTER,TORREY LEARNING CENTER,HEAVEN'S WINDOWS,,,,
UMI LEARNING CENTER,UMI LEARNING CENTER,HEAVEN'S WINDOWS,,,,
MT. ERIE CHRISTIAN ACADEMY,MT. ERIE CHRISTIAN ACADEMY,JAMES E. ALDREDGE FOUNDATION,,,,
ALPINE COMMUNITY DAY,ALPINE COMMUNITY DAY,,ALPINE UNION ELEMENTARY,TRUE,,
CARLSBAD ADULT TRANSITION,CARLSBAD ADULT TRANSITION,,CARLSBAD UNIFIED,TRUE,,
CHULA VISTA ADULT,CHULA VISTA ADULT,,SWEETWATER UNION HIGH,TRUE,,
CORONADO UNIFIED SPECIAL EDUCATION PRE-K,CORONADO UNIFIED SPECIAL EDUCATION PRE-K,,CORONADO UNIFIED,TRUE,,
EL CAJON ADULT CENTER,EL CAJON ADULT CENTER,,GROSSMONT UNION HIGH,TRUE,,
ESCONDIDO ADULT,ESCONDIDO ADULT,,ESCONDIDO UNION HIGH,TRUE,,
FOOTHILLS ADULT EDUCATION CENTER,FOOTHILLS ADULT EDUCATION CENTER,,GROSSMONT UNION HIGH,TRUE,,
GROSSMONT ADULT,GROSSMONT ADULT,,GROSSMONT UNION HIGH,TRUE,,
GROSSMONT UNION HIGH SPECIAL EDUCATION PROGRAM,GROSSMONT UNION HIGH SPECIAL EDUCATION PROGRAM,,GROSSMONT UNION HIGH,TRUE,,
HAWKING S.T.E.A.M. CHARTER SCHOOL 2,HAWKING S.T.E.A.M. CHARTER SCHOOL 2,,SWEETWATER UNION HIGH,TRUE,,
HIGH TECH ELEMENTARY MESA,HIGH TECH ELEMENTARY MESA,,SBC - HIGH TECH HIGH,TRUE,,
HIGH TECH HIGH CHULA VISTA,HIGH TECH HIGH CHULA VISTA,,SBC - HIGH TECH HIGH,TRUE,,
HIGH TECH MIDDLE MESA,HIGH TECH MIDDLE MESA,,SBC - HIGH TECH HIGH,TRUE,,
HOPE INFANT-TODDLER SPECIAL EDUCATION,HOPE INFANT-TODDLER SPECIAL EDUCATION,,SAN DIEGO COUNTY OFFICE OF EDUCATION,TRUE,,
INNOVATIONS ACADEMY,INNOVATIONS ACADEMY,,SAN DIEGO UNIFIED,TRUE,,
"INTERNATIONAL HIGH SCHOOL OF SCIENCE, TECHNOLOGY, ENGINEERING, ARTS AND MATHEMATICS","INTERNATIONAL HIGH SCHOOL OF SCIENCE, TECHNOLOGY, ENGINEERING, ARTS AND MATHEMATICS",,SAN DIEGO UNIFIED,TRUE,,
JCS - MANZANITA,JCS - MANZANITA,,SAN DIEGO COUNTY OFFICE OF EDUCATION,TRUE,,
JULIAN ADULT,JULIAN ADULT,,JULIAN UNION HIGH,TRUE,,
LAKESIDE EARLY ADVANTAGE PRESCHOOL,LAKESIDE EARLY ADVANTAGE PRESCHOOL,,LAKESIDE UNION ELEMENTARY,TRUE,,
MONTGOMERY ADULT,MONTGOMERY ADULT,,SWEETWATER UNION HIGH,TRUE,,
MOUNTAIN EMPIRE SPECIAL EDUCATION PRESCHOOL,MOUNTAIN EMPIRE SPECIAL EDUCATION PRESCHOOL,,MOUNTAIN EMPIRE UNIFIED,TRUE,,
MT. MIGUEL ADULT CENTER,MT. MIGUEL ADULT CENTER,,GROSSMONT UNION HIGH,TRUE,,
NATIONAL CITY ADULT,NATIONAL CITY ADULT,,SWEETWATER UNION HIGH,TRUE,,
NATIONAL SCHOOL DISTRICT PRESCHOOL,NATIONAL SCHOOL DISTRICT PRESCHOOL,,NATIONAL ELEMENTARY,TRUE,,
