name,alt_names,is_district 
A B VINES MINISTRIES,A B VINES MINISTRIES,
A PLACE OF OUR OWN CHILD,A PLACE OF OUR OWN CHILD,
ALBERT EINSTEIN ACADEMIES,ALBERT EINSTEIN ACADEMIES,
"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS SCIENCES (AEALAS)","ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS SCIENCES (AEALAS)",
ALL KIDS ACADEMY HEAD START INC.,ALL KIDS ACADEMY HEAD START INC.,
ALPINE UNION ELEMENTARY,ALPINE UNION ELEMENTARY,TRUE
AMERICA'S FINEST CHARTER  SCHOOL,AMERICA'S FINEST CHARTER  SCHOOL,
AMERICARE ADHC INC,AMERICARE ADHC INC,
ASSOC STUDENTS CSU SAN DIEGO CHILDRENS CENTER,ASSOC STUDENTS CSU SAN DIEGO CHILDRENS CENTER,
ATC PACIFIC LLC,ATC PACIFIC LLC,
"BEACON CLASSICAL ACADEMY, INC.","BEACON CLASSICAL ACADEMY, INC.",
BELLA MENTE CHARTER SCHOOL,BELLA MENTE CHARTER SCHOOL,
BONSALL UNIFIED,BONSALL UNIFIED,TRUE
BORREGO SPRINGS UNIFIED,BORREGO SPRINGS UNIFIED,TRUE
BOYS & GIRLS CLUB OF GREATER SAN DIEGO,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,
BOYS & GIRLS CLUB OF IMPERIAL BEACH,BOYS & GIRLS CLUB OF IMPERIAL BEACH,
"BOYS & GIRLS CLUBS OF OCEANSIDE, CALIFORNIA, INCORPORATED","BOYS & GIRLS CLUBS OF OCEANSIDE, CALIFORNIA, INCORPORATED",
BOYS CLUB OF FALLBROOK,BOYS CLUB OF FALLBROOK,
BUILDING BETTER COMMUNITIES,BUILDING BETTER COMMUNITIES,
CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE
CALVIN CHRISTIAN SCHOOL,CALVIN CHRISTIAN SCHOOL,
"CAMP OLIVER, INC.","CAMP OLIVER, INC.",
CARDIFF ELEMENTARY,CARDIFF ELEMENTARY,TRUE
CARLSBAD UNIFIED,CARLSBAD UNIFIED,TRUE
CENTER FOR POSITIVE CHANGES INC.,CENTER FOR POSITIVE CHANGES INC.,
CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE
CIRCLE OF FRIENDS,CIRCLE OF FRIENDS,
CITY HEIGHTS PREPARATORY CHARTER SCHOOL,CITY HEIGHTS PREPARATORY CHARTER SCHOOL,
COLEMAN TECH CHARTER HIGH SCHOOL,COLEMAN TECH CHARTER HIGH SCHOOL,
CORONADO UNIFIED,CORONADO UNIFIED,TRUE
CSU SAN DIEGO (BEST),CSU SAN DIEGO (BEST),
DEHESA ELEMENTARY,DEHESA ELEMENTARY,TRUE
DEL MAR UNION ELEMENTARY,DEL MAR UNION ELEMENTARY,TRUE
DINO DAY CARE INC,DINO DAY CARE INC,
EJE ACADEMIES,EJE ACADEMIES,
EMPOWER CHARTER SCHOOL,EMPOWER CHARTER SCHOOL,
ENCINITAS UNION ELEMENTARY,ENCINITAS UNION ELEMENTARY,TRUE
EPIPHANY PREP SCHOOL OF SAN DIEGO,EPIPHANY PREP SCHOOL OF SAN DIEGO,
ESCONDIDO UNION,ESCONDIDO UNION,TRUE
ESCONDIDO UNION HIGH,"ESCONDIDO UNION HIGH, ESCONDIDO UNION HIGH SCHOOL DISTRICT",TRUE
EXPLORER ELEMENTARY CHARTER SCHOOL,EXPLORER ELEMENTARY CHARTER SCHOOL,
