"county","fnsreportdate","fnssubtype","programcode","ProgramGroupYear","sponsorname","sponsortype_a","sponsortype_b","mealgroupcode","mealtypecode","siteqty","daysservedqty","freeeligqty","redceligqty","paideligqty","mlsservedfree","mlsservedredc","mlsservedpaid","mlsservedtotal","avgdailymeals","academicyear"
"SAN DIEGO",2016-06-01,"90DAY","SSFO",2016,"ESCONDIDO UNION SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST_SEVERENEED",1,4,0,0,181,22,0,0,22,5.5,"2015-2016"
"SAN DIEGO",2016-06-01,"90DAY","SSFO",2016,"ESCONDIDO UNION SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",1,4,0,0,181,552,0,0,552,138,"2015-2016"
"SAN DIEGO",2016-06-01,"90DAY","SSFO",2016,"LEMON GROVE SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",3,14,0,0,360,3024,0,0,3024,288.86,"2015-2016"
"SAN DIEGO",2016-06-01,"90DAY","SSFO",2016,"SWEETWATER UNION HIGH SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",12,19,0,0,34158,34158,0,0,34158,2181.47,"2015-2016"
"SAN DIEGO",2016-06-01,"90DAY","SSFO",2016,"VISTA UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST_SEVERENEED",3,18,0,0,301,4533,0,0,4533,299.52,"2015-2016"
"SAN DIEGO",2016-06-01,"90DAY","SSFO",2016,"VISTA UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",15,19,0,0,1690,25085,0,0,25085,1683.03,"2015-2016"
"SAN DIEGO",2016-06-01,"90DAY","SSFO",2016,"VISTA UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_SNACKPM","SSFO_SNACKPM",1,19,0,0,123,2337,0,0,2337,123,"2015-2016"
"SAN DIEGO",2016-07-01,"90DAY","SSFO",2016,"CARLSBAD UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",2,20,0,0,325,4042,0,0,4042,210.28,"2016-2017"
"SAN DIEGO",2016-07-01,"90DAY","SSFO",2016,"CARLSBAD UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_SNACKPM","SSFO_SNACKPM",1,20,0,0,225,3628,0,0,3628,181.4,"2016-2017"
"SAN DIEGO",2016-07-01,"90DAY","SSFO",2016,"SAN DIEGO UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST_SEVERENEED",18,20,0,0,2069,22086,0,0,22086,1762.12,"2016-2017"
