siteid,reportdate,ProgramGroupYear,SiteName,sponsorname,sponsor_id,MealGroupCode,MealTypeCode,DaysServedQty,MlsServedFree
169,2017-10-01,2018,AVONDALE ELEMENTARY,LA MESA-SPRING VALLEY,240,SSFO_LUNCH,SSFO_LUNCH,10,582
169,2017-10-01,2018,AVONDALE ELEMENTARY,LA MESA-SPRING VALLEY,240,SSFO_SNACKPM,SSFO_SNACKPM,10,691
1977,2017-10-01,2018,LA MESA DALE ELEMENTARY,LA MESA-SPRING VALLEY,240,SSFO_LUNCH,SSFO_LUNCH,10,450
1977,2017-10-01,2018,LA MESA DALE ELEMENTARY,LA MESA-SPRING VALLEY,240,SSFO_SNACKPM,SSFO_SNACKPM,10,591
2069,2017-10-01,2018,LEMON AVENUE ELEMENTARY,LA MESA-SPRING VALLEY,240,SSFO_LUNCH,SSFO_LUNCH,10,701
2069,2017-10-01,2018,LEMON AVENUE ELEMENTARY,LA MESA-SPRING VALLEY,240,SSFO_SNACKPM,SSFO_SNACKPM,10,1032
2185,2017-10-01,2018,LOMA ELEMENTARY,LA MESA-SPRING VALLEY,240,SSFO_LUNCH,SSFO_LUNCH,10,626
2185,2017-10-01,2018,LOMA ELEMENTARY,LA MESA-SPRING VALLEY,240,SSFO_SNACKPM,SSFO_SNACKPM,10,607
3717,2017-10-01,2018,SPRING VALLEY ACADEMY,LA MESA-SPRING VALLEY,240,SSFO_LUNCH,SSFO_LUNCH,10,356
3717,2017-10-01,2018,SPRING VALLEY ACADEMY,LA MESA-SPRING VALLEY,240,SSFO_SNACKPM,SSFO_SNACKPM,10,390
109,2017-12-01,2018,AMERICA'S FINEST CHARTER,SAN DIEGO UNIFIED,340,SSFO_BREAKFAST,SSFO_BREAKFAST_SEVERENEED,9,460
109,2017-12-01,2018,AMERICA'S FINEST CHARTER,SAN DIEGO UNIFIED,340,SSFO_LUNCH,SSFO_LUNCH,9,452
4909,2018-01-01,2018,CITY HEIGHTS REC CENTER,SAN DIEGO UNIFIED,340,SSFO_LUNCH,SSFO_LUNCH,8,185
4909,2018-01-01,2018,CITY HEIGHTS REC CENTER,SAN DIEGO UNIFIED,340,SSFO_SNACKPM,SSFO_SNACKPM,8,197
4913,2018-01-01,2018,COLINA DEL SOL PARK & REC,SAN DIEGO UNIFIED,340,SSFO_LUNCH,SSFO_LUNCH,8,564
4913,2018-01-01,2018,COLINA DEL SOL PARK & REC,SAN DIEGO UNIFIED,340,SSFO_SNACKPM,SSFO_SNACKPM,8,200
4917,2018-01-01,2018,COPLEY YMCA,SAN DIEGO UNIFIED,340,SSFO_LUNCH,SSFO_LUNCH,8,640
4917,2018-01-01,2018,COPLEY YMCA,SAN DIEGO UNIFIED,340,SSFO_SNACKPM,SSFO_SNACKPM,8,1160
4985,2018-01-01,2018,NORTH PARK REC CENTER,SAN DIEGO UNIFIED,340,SSFO_LUNCH,SSFO_LUNCH,8,200
4985,2018-01-01,2018,NORTH PARK REC CENTER,SAN DIEGO UNIFIED,340,SSFO_SNACKPM,SSFO_SNACKPM,8,200
193,2018-03-01,2018,BANCROFT ELEMENTARY,LA MESA-SPRING VALLEY,240,SSFO_SNACKPM,SSFO_SNACKPM,4,202
1549,2018-03-01,2018,HIGHLANDS ELEMENTARY,LA MESA-SPRING VALLEY,240,SSFO_SNACKPM,SSFO_SNACKPM,4,173
1977,2018-03-01,2018,LA MESA DALE ELEMENTARY,LA MESA-SPRING VALLEY,240,SSFO_SNACKPM,SSFO_SNACKPM,4,161
2553,2018-03-01,2018,MURDOCK ELEMENTARY,LA MESA-SPRING VALLEY,240,SSFO_SNACKPM,SSFO_SNACKPM,4,217
3717,2018-03-01,2018,SPRING VALLEY ACADEMY,LA MESA-SPRING VALLEY,240,SSFO_SNACKPM,SSFO_SNACKPM,4,51
4909,2018-03-01,2018,CITY HEIGHTS REC CENTER,SAN DIEGO UNIFIED,340,SSFO_LUNCH,SSFO_LUNCH,4,96
4909,2018-03-01,2018,CITY HEIGHTS REC CENTER,SAN DIEGO UNIFIED,340,SSFO_SNACKPM,SSFO_SNACKPM,4,108
4913,2018-03-01,2018,COLINA DEL SOL PARK & REC,SAN DIEGO UNIFIED,340,SSFO_LUNCH,SSFO_LUNCH,4,200
4913,2018-03-01,2018,COLINA DEL SOL PARK & REC,SAN DIEGO UNIFIED,340,SSFO_SNACKPM,SSFO_SNACKPM,4,135
4917,2018-03-01,2018,COPLEY YMCA,SAN DIEGO UNIFIED,340,SSFO_LUNCH,SSFO_LUNCH,5,690
4917,2018-03-01,2018,COPLEY YMCA,SAN DIEGO UNIFIED,340,SSFO_SNACKPM,SSFO_SNACKPM,5,690
4985,2018-03-01,2018,NORTH PARK REC CENTER,SAN DIEGO UNIFIED,340,SSFO_LUNCH,SSFO_LUNCH,4,100
4985,2018-03-01,2018,NORTH PARK REC CENTER,SAN DIEGO UNIFIED,340,SSFO_SNACKPM,SSFO_SNACKPM,4,100
193,2018-04-01,2018,BANCROFT ELEMENTARY,LA MESA-SPRING VALLEY,240,SSFO_SNACKPM,SSFO_SNACKPM,5,286
1549,2018-04-01,2018,HIGHLANDS ELEMENTARY,LA MESA-SPRING VALLEY,240,SSFO_SNACKPM,SSFO_SNACKPM,5,244
1977,2018-04-01,2018,LA MESA DALE ELEMENTARY,LA MESA-SPRING VALLEY,240,SSFO_SNACKPM,SSFO_SNACKPM,5,239
2553,2018-04-01,2018,MURDOCK ELEMENTARY,LA MESA-SPRING VALLEY,240,SSFO_SNACKPM,SSFO_SNACKPM,5,373
3717,2018-04-01,2018,SPRING VALLEY ACADEMY,LA MESA-SPRING VALLEY,240,SSFO_SNACKPM,SSFO_SNACKPM,5,108
4909,2018-04-01,2018,CITY HEIGHTS REC CENTER,SAN DIEGO UNIFIED,340,SSFO_LUNCH,SSFO_LUNCH,18,629
4909,2018-04-01,2018,CITY HEIGHTS REC CENTER,SAN DIEGO UNIFIED,340,SSFO_SNACKPM,SSFO_SNACKPM,18,654
4913,2018-04-01,2018,COLINA DEL SOL PARK & REC,SAN DIEGO UNIFIED,340,SSFO_LUNCH,SSFO_LUNCH,18,1220
4913,2018-04-01,2018,COLINA DEL SOL PARK & REC,SAN DIEGO UNIFIED,340,SSFO_SNACKPM,SSFO_SNACKPM,18,1245
4917,2018-04-01,2018,COPLEY YMCA,SAN DIEGO UNIFIED,340,SSFO_LUNCH,SSFO_LUNCH,18,1523
