"ProgramCode","ProgramGroupYear","CountyDesc","ClaimDate","Name","SiteName","MealGroupCode","MealTypeCode","DaysServedQty","MlsServedFree"
"SSFO",2018,"SAN DIEGO","2017-10-01","LA MESA-SPRING VALLEY","AVONDALE ELEMENTARY","SSFO_LUNCH","SSFO_LUNCH",10,582
"SSFO",2018,"SAN DIEGO","2017-10-01","LA MESA-SPRING VALLEY","AVONDALE ELEMENTARY","SSFO_SNACKPM","SSFO_SNACKPM",10,691
"SSFO",2018,"SAN DIEGO","2017-10-01","LA MESA-SPRING VALLEY","LA MESA DALE ELEMENTARY","SSFO_LUNCH","SSFO_LUNCH",10,450
"SSFO",2018,"SAN DIEGO","2017-10-01","LA MESA-SPRING VALLEY","LA MESA DALE ELEMENTARY","SSFO_SNACKPM","SSFO_SNACKPM",10,591
"SSFO",2018,"SAN DIEGO","2017-10-01","LA MESA-SPRING VALLEY","LEMON AVENUE ELEMENTARY","SSFO_LUNCH","SSFO_LUNCH",10,701
"SSFO",2018,"SAN DIEGO","2017-10-01","LA MESA-SPRING VALLEY","LEMON AVENUE ELEMENTARY","SSFO_SNACKPM","SSFO_SNACKPM",10,1032
"SSFO",2018,"SAN DIEGO","2017-10-01","LA MESA-SPRING VALLEY","LOMA ELEMENTARY","SSFO_LUNCH","SSFO_LUNCH",10,626
"SSFO",2018,"SAN DIEGO","2017-10-01","LA MESA-SPRING VALLEY","LOMA ELEMENTARY","SSFO_SNACKPM","SSFO_SNACKPM",10,607
"SSFO",2018,"SAN DIEGO","2017-10-01","LA MESA-SPRING VALLEY","SPRING VALLEY ACADEMY","SSFO_LUNCH","SSFO_LUNCH",10,356
"SSFO",2018,"SAN DIEGO","2017-10-01","LA MESA-SPRING VALLEY","SPRING VALLEY ACADEMY","SSFO_SNACKPM","SSFO_SNACKPM",10,390
"SSFO",2018,"SAN DIEGO","2017-12-01","SAN DIEGO UNIFIED","AMERICA'S FINEST CHARTER","SSFO_BREAKFAST","SSFO_BREAKFAST_SEVERENEED",9,460
"SSFO",2018,"SAN DIEGO","2017-12-01","SAN DIEGO UNIFIED","AMERICA'S FINEST CHARTER","SSFO_LUNCH","SSFO_LUNCH",9,452
"SSFO",2018,"SAN DIEGO","2018-01-01","SAN DIEGO UNIFIED","CITY HEIGHTS REC CENTER","SSFO_LUNCH","SSFO_LUNCH",8,185
"SSFO",2018,"SAN DIEGO","2018-01-01","SAN DIEGO UNIFIED","CITY HEIGHTS REC CENTER","SSFO_SNACKPM","SSFO_SNACKPM",8,197
